"ID"	"Pathway"	"Z-score"
"hsa04360"	"Axon guidance"	"20.03"
"hsa04510"	"Focal adhesion"	"16.563"
"hsa05200"	"Pathways in cancer"	"15.221"
"hsa05165"	"Human papillomavirus infection"	"13.326"
"hsa04014"	"Ras signaling pathway"	"13.038"
"hsa05205"	"Proteoglycans in cancer"	"12.828"
"hsa04520"	"Adherens junction"	"12.721"
"hsa04810"	"Regulation of actin cytoskeleton"	"11.719"
"hsa04015"	"Rap1 signaling pathway"	"11.698"
"hsa05220"	"Chronic myeloid leukemia"	"10.654"
"hsa04151"	"PI3K-Akt signaling pathway"	"10.442"
"hsa05212"	"Pancreatic cancer"	"10.207"
"hsa05225"	"Hepatocellular carcinoma"	"9.97"
"hsa05218"	"Melanoma"	"9.874"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"9.841"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"9.832"
"hsa05206"	"MicroRNAs in cancer"	"9.818"
"hsa05226"	"Gastric cancer"	"9.714"
"hsa05210"	"Colorectal cancer"	"9.699"
"hsa05161"	"Hepatitis B"	"9.604"
"hsa04512"	"ECM-receptor interaction"	"9.6"
"hsa05215"	"Prostate cancer"	"9.553"
"hsa05224"	"Breast cancer"	"9.361"
"hsa05202"	"Transcriptional misregulation in cancer"	"9.267"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"9.216"
"hsa04934"	"Cushing,s syndrome"	"9.053"
"hsa04660"	"T cell receptor signaling pathway"	"8.851"
"hsa04010"	"MAPK signaling pathway"	"8.499"
"hsa05219"	"Bladder cancer"	"8.376"
"hsa05217"	"Basal cell carcinoma"	"8.356"
"hsa05213"	"Endometrial cancer"	"8.329"
"hsa04370"	"VEGF signaling pathway"	"8.223"
"hsa04917"	"Prolactin signaling pathway"	"7.95"
"hsa05216"	"Thyroid cancer"	"7.806"
"hsa04390"	"Hippo signaling pathway"	"7.798"
"hsa04012"	"ErbB signaling pathway"	"7.783"
"hsa04350"	"TGF-beta signaling pathway"	"7.744"
"hsa04218"	"Cellular senescence"	"7.68"
"hsa05211"	"Renal cell carcinoma"	"7.676"
"hsa04919"	"Thyroid hormone signaling pathway"	"7.652"
"hsa05166"	"HTLV-I infection"	"7.543"
"hsa05214"	"Glioma"	"7.479"
"hsa05221"	"Acute myeloid leukemia"	"7.471"
"hsa04310"	"Wnt signaling pathway"	"7.453"
"hsa04068"	"FoxO signaling pathway"	"7.383"
"hsa04722"	"Neurotrophin signaling pathway"	"7.381"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"7.273"
"hsa05131"	"Shigellosis"	"7.153"
"hsa05223"	"Non-small cell lung cancer"	"6.983"
"hsa04659"	"Th17 cell differentiation"	"6.934"
"hsa05231"	"Choline metabolism in cancer"	"6.917"
"hsa05203"	"Viral carcinogenesis"	"6.817"
"hsa04380"	"Osteoclast differentiation"	"6.76"
"hsa04664"	"Fc epsilon RI signaling pathway"	"6.754"
"hsa04330"	"Notch signaling pathway"	"6.741"
"hsa04670"	"Leukocyte transendothelial migration"	"6.687"
"hsa05100"	"Bacterial invasion of epithelial cells"	"6.662"
"hsa04630"	"Jak-STAT signaling pathway"	"6.531"
"hsa04625"	"C-type lectin receptor signaling pathway"	"6.504"
"hsa04916"	"Melanogenesis"	"6.485"
"hsa05222"	"Small cell lung cancer"	"6.351"
"hsa04926"	"Relaxin signaling pathway"	"6.293"
"hsa04921"	"Oxytocin signaling pathway"	"6.064"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"6.045"
"hsa04662"	"B cell receptor signaling pathway"	"6.016"
"hsa04611"	"Platelet activation"	"5.99"
"hsa04115"	"p53 signaling pathway"	"5.908"
"hsa04720"	"Long-term potentiation"	"5.784"
