"Pathway"	"Z-score"
"Cytokine-cytokine receptor interaction - Homo sapiens (human)"	"68.965"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"67.279"
"Chemokine signaling pathway - Homo sapiens (human)"	"37.545"
"Toll-like receptor signaling pathway - Homo sapiens (human)"	"36.764"
"Pathways in cancer - Homo sapiens (human)"	"36.444"
"Natural killer cell mediated cytotoxicity - Homo sapiens (human)"	"34.869"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"33.201"
"Hepatitis C - Homo sapiens (human)"	"32.685"
"Measles - Homo sapiens (human)"	"30.825"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"30.475"
"Osteoclast differentiation - Homo sapiens (human)"	"29.562"
"Hepatitis B - Homo sapiens (human)"	"29.441"
"Tuberculosis - Homo sapiens (human)"	"27.978"
"RIG-I-like receptor signaling pathway - Homo sapiens (human)"	"26.932"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"26.554"
"NF-kappa B signaling pathway - Homo sapiens (human)"	"26.057"
"Th17 cell differentiation - Homo sapiens (human)"	"25.864"
"Hematopoietic cell lineage - Homo sapiens (human)"	"25.401"
"Taste transduction - Homo sapiens (human)"	"25.197"
"Herpes simplex infection - Homo sapiens (human)"	"24.773"
"Autoimmune thyroid disease - Homo sapiens (human)"	"24.769"
"Neuroactive ligand-receptor interaction - Homo sapiens (human)"	"24.497"
"TNF signaling pathway - Homo sapiens (human)"	"24.366"
"Inflammatory bowel disease (IBD) - Homo sapiens (human)"	"23.857"
"Phospholipase D signaling pathway - Homo sapiens (human)"	"23.749"
"Ras signaling pathway - Homo sapiens (human)"	"23.358"
"Necroptosis - Homo sapiens (human)"	"23.087"
"Rap1 signaling pathway - Homo sapiens (human)"	"22.71"
"Th1 and Th2 cell differentiation - Homo sapiens (human)"	"22.626"
"Leishmaniasis - Homo sapiens (human)"	"21.918"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"21.913"
"Focal adhesion - Homo sapiens (human)"	"21.737"
"Prolactin signaling pathway - Homo sapiens (human)"	"21.674"
"Influenza A - Homo sapiens (human)"	"21.519"
"Chagas disease (American trypanosomiasis) - Homo sapiens (human)"	"20.926"
"Fc epsilon RI signaling pathway - Homo sapiens (human)"	"20.812"
"Acute myeloid leukemia - Homo sapiens (human)"	"20.144"
"ErbB signaling pathway - Homo sapiens (human)"	"20.122"
"B cell receptor signaling pathway - Homo sapiens (human)"	"20.081"
"Human papillomavirus infection - Homo sapiens (human)"	"20.016"
"Proteoglycans in cancer - Homo sapiens (human)"	"19.96"
"Cytosolic DNA-sensing pathway - Homo sapiens (human)"	"19.924"
"T cell receptor signaling pathway - Homo sapiens (human)"	"19.219"
"Regulation of actin cytoskeleton - Homo sapiens (human)"	"18.926"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"18.614"
"Adipocytokine signaling pathway - Homo sapiens (human)"	"18.448"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"18.285"
"Chronic myeloid leukemia - Homo sapiens (human)"	"18.154"
"MAPK signaling pathway - Homo sapiens (human)"	"18.099"
"IL-17 signaling pathway - Homo sapiens (human)"	"18.068"
"Malaria - Homo sapiens (human)"	"17.767"
"Intestinal immune network for IgA production - Homo sapiens (human)"	"17.649"
"Toxoplasmosis - Homo sapiens (human)"	"17.506"
"MicroRNAs in cancer - Homo sapiens (human)"	"17.455"
"Leukocyte transendothelial migration - Homo sapiens (human)"	"17.045"
"Non-small cell lung cancer - Homo sapiens (human)"	"16.561"
"Axon guidance - Homo sapiens (human)"	"16.482"
"Melanoma - Homo sapiens (human)"	"16.178"
"Pertussis - Homo sapiens (human)"	"16.131"
"Fc gamma R-mediated phagocytosis - Homo sapiens (human)"	"16.062"
"Sphingolipid signaling pathway - Homo sapiens (human)"	"15.768"
"Pancreatic cancer - Homo sapiens (human)"	"15.745"
"Prostate cancer - Homo sapiens (human)"	"15.195"
"Renal cell carcinoma - Homo sapiens (human)"	"14.772"
"cAMP signaling pathway - Homo sapiens (human)"	"14.747"
"Insulin resistance - Homo sapiens (human)"	"14.705"
"HIF-1 signaling pathway - Homo sapiens (human)"	"14.398"
"Relaxin signaling pathway - Homo sapiens (human)"	"14.387"
"Glioma - Homo sapiens (human)"	"14.106"
"Amoebiasis - Homo sapiens (human)"	"14.08"
"Small cell lung cancer - Homo sapiens (human)"	"13.987"
"Gastric cancer - Homo sapiens (human)"	"13.746"
"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"	"13.731"
"HTLV-I infection - Homo sapiens (human)"	"13.691"
"Choline metabolism in cancer - Homo sapiens (human)"	"13.56"
"Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	"13.3"
"Apoptosis - Homo sapiens (human)"	"13.253"
"Regulation of lipolysis in adipocytes - Homo sapiens (human)"	"13.156"
"Cholinergic synapse - Homo sapiens (human)"	"12.906"
"Breast cancer - Homo sapiens (human)"	"12.588"
"VEGF signaling pathway - Homo sapiens (human)"	"12.531"
"Platelet activation - Homo sapiens (human)"	"12.002"
"Bacterial invasion of epithelial cells - Homo sapiens (human)"	"11.944"
"Hepatocellular carcinoma - Homo sapiens (human)"	"11.72"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"11.16"
"Staphylococcus aureus infection - Homo sapiens (human)"	"11.156"
"FoxO signaling pathway - Homo sapiens (human)"	"11.073"
"Primary immunodeficiency - Homo sapiens (human)"	"11.004"
"Type II diabetes mellitus - Homo sapiens (human)"	"10.969"
"Endometrial cancer - Homo sapiens (human)"	"10.931"
"Rheumatoid arthritis - Homo sapiens (human)"	"10.826"
"Adherens junction - Homo sapiens (human)"	"10.747"
"Complement and coagulation cascades - Homo sapiens (human)"	"10.594"
"Viral carcinogenesis - Homo sapiens (human)"	"10.507"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"10.389"
"Apoptosis - multiple species - Homo sapiens (human)"	"10.374"
"African trypanosomiasis - Homo sapiens (human)"	"10.271"
"Colorectal cancer - Homo sapiens (human)"	"10.269"
"Allograft rejection - Homo sapiens (human)"	"9.819"
"Graft-versus-host disease - Homo sapiens (human)"	"9.808"
