46,49,62,59,132,55,50,90,104,99,72,68,64,104,55,16,16,15,33,34,66,47,16,9,83,33,93,50,5,3,93,37,82,108,13,36,103,126,133,94,91,52,133,23,102,112,2,48,22,77
49,10,46,34,71,45,20,52,46,77,47,43,39,57,30,9,11,9,26,15,40,22,6,8,58,17,50,24,7,3,47,28,49,61,5,23,48,56,71,61,41,29,36,22,57,65,2,25,6,43
62,46,17,54,68,49,27,58,59,69,40,49,46,63,40,15,8,9,28,25,46,24,13,7,54,23,57,28,2,1,56,25,44,63,10,25,71,70,73,53,57,35,64,12,74,72,2,26,13,56
59,34,54,23,75,38,35,63,70,94,63,66,53,79,54,10,12,7,42,23,60,31,15,9,73,14,51,33,5,3,62,32,58,83,16,16,69,70,90,71,56,40,66,12,75,97,4,35,10,59
132,71,68,75,68,74,50,104,106,139,92,102,88,115,78,27,15,18,48,42,97,48,22,17,103,34,94,52,4,4,98,46,77,136,17,32,83,129,135,105,135,62,118,30,137,163,10,38,9,79
55,45,49,38,74,24,31,66,69,74,66,61,46,76,38,14,14,8,30,23,55,42,13,4,76,23,59,26,12,3,62,29,56,70,16,14,63,75,74,75,64,32,94,12,68,87,6,27,14,63
50,20,27,35,50,31,8,51,48,58,35,39,22,50,30,7,11,2,25,8,41,28,9,5,36,10,35,27,3,1,31,17,34,53,7,14,37,49,56,43,41,27,31,16,56,59,1,25,8,36
90,52,58,63,104,66,51,46,88,116,82,78,59,104,62,11,13,10,52,31,80,46,16,6,91,28,87,41,8,1,85,43,74,117,17,29,85,98,118,100,83,48,109,23,100,124,2,36,15,68
104,46,59,70,106,69,48,88,31,118,65,93,62,94,60,22,16,10,52,24,66,53,13,5,97,30,85,60,9,3,82,52,71,107,20,25,102,122,129,108,82,40,85,28,96,128,12,28,16,76
99,77,69,94,139,74,58,116,118,65,90,101,87,133,75,27,21,11,68,36,108,67,28,11,98,28,106,59,11,9,119,61,86,118,19,30,125,146,152,126,121,67,125,27,158,135,8,51,26,83
72,47,40,63,92,66,35,82,65,90,24,64,50,84,45,20,12,12,36,28,77,34,17,2,65,20,67,28,6,5,73,32,45,86,12,16,77,100,92,79,73,36,85,22,81,86,1,38,13,46
