gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
FZD5,5.36,5.17,3.99,-0.34,-0.8,-0.97,-1.49,-0.38,4.84,-0.8,11.59
WLS,4.23,4.27,4.45,-0.84,-0.52,-1.02,0.21,-0.46,4.31,-0.53,9.91
HNF1A,4.4,1.26,3.98,-0.55,-0.4,-0.81,-0.16,-0.69,3.21,-0.52,7.68
FLII,4.13,2.16,4.12,0.25,1.44,-0.65,-0.27,-1.01,3.47,-0.05,7.1
ARPC1B,1.76,1.38,6.06,-0.18,0.43,-0.18,-0.15,-0.05,3.07,-0.02,6.23
WDR7,4.85,4.03,5.48,4.63,-0.68,0.57,3.36,0.55,4.79,1.68,5.75
RBM15,1.31,2.03,4.16,-1.07,-1.05,1.42,0.71,-1.45,2.5,-0.29,5.7
FASN,3.84,4.61,2.97,0.01,5.15,-0.46,-0.54,0.42,3.81,0.92,5.55
PPCS,2.64,1.98,2.53,0.31,-0.73,0.02,-0.14,-0.84,2.38,-0.28,5.44
PORCN,0.95,3.31,0.85,-1.04,-0.89,-0.37,-0.98,-0.95,1.7,-0.85,5.38
EGFR,3.9,1.53,4.27,3.04,0.18,-0.49,0.29,-0.46,3.23,0.51,5.32
TPK1,5.22,0.37,0.24,-0.91,-1.01,-0.86,0.77,-1.01,1.94,-0.61,5.31
ADRBK1,2.37,4.54,-0.34,-0.7,0.27,-0.87,0.58,-1.13,2.19,-0.37,5.27
NANS,2.55,0.01,4.24,-0.28,-0.62,-0.39,0.17,-0.39,2.27,-0.3,5.26
MPDU1,3.58,3.14,1.09,-0.01,0.49,0.4,-0.19,-0.37,2.61,0.06,5.1
PPARG,-0.03,2.74,1.65,-0.66,-0.94,-0.85,-0.95,-1.25,1.45,-0.93,5.07
ACLY,2.99,3.62,3.8,2.45,1.29,-0.78,0.48,0.85,3.47,0.86,5
SLC2A1,2.88,2.2,1.2,0.25,-0.64,-0.66,0.93,-1.38,2.09,-0.3,4.91
DET1,2.41,2.8,2.56,0.38,0.76,-0.73,-0.35,0.65,2.59,0.14,4.89
GFPT1,3.65,1.8,3.3,0.02,0.3,1.08,1.52,-0.79,2.92,0.43,4.89
STK40,2.05,3.09,-0.16,-0.44,-1.16,-0.54,-0.4,-0.72,1.66,-0.66,4.86
RABIF,3.29,3.67,2.56,1.29,-0.12,0.47,1.01,0.69,3.17,0.67,4.85
TFRC,3.2,3.44,3.3,3.01,-1.19,2.26,0.25,-0.3,3.32,0.81,4.82
FPGS,3.16,1.84,2.03,1.2,-1,-0.06,0.94,-1.24,2.34,-0.03,4.8
MPI,2,2.56,1.17,-0.2,-1.28,-0.81,1,-0.59,1.91,-0.37,4.71
DUSP4,1.61,1.52,3.68,0.12,-0.19,-0.09,-0.42,0.35,2.27,-0.05,4.68
TTC7A,3.22,1.31,1.72,-0.24,-0.53,-0.78,0.82,-0.04,2.08,-0.16,4.56
IGF1R,2.49,4.32,1,-0.68,0.56,-0.23,3.01,-1.16,2.6,0.3,4.55
ALG3,2.84,3.58,-0.54,-0.39,0.25,-0.44,0.21,-0.78,1.96,-0.23,4.48
MECOM,0.92,1.98,2.86,-0.3,-0.47,-0.6,-0.12,0.58,1.92,-0.18,4.29
MESDC2,2.79,3.25,3.24,0.31,-0.06,-0.13,1.33,2.75,3.09,0.84,4.29
KLF3,1.39,-0.11,4.9,-0.24,-0.97,-0.33,1.24,0.04,2.06,-0.05,4.27
WNT3,-0.1,5.21,0.4,-0.4,-0.12,0.08,-0.37,-0.42,1.84,-0.24,4.27
CNPY2,1.71,1.13,2.91,-0.24,0.6,-0.34,-0.56,-0.31,1.92,-0.17,4.26
TRIB1,1.04,3.53,-0.38,-0.46,-0.77,-0.81,-0.5,-0.47,1.4,-0.6,4.2
STX4,1.14,3.46,-0.65,-0.76,-1.22,-0.43,0.2,-1.09,1.32,-0.66,4.17
MED16,3.18,1.84,2.36,1.28,3.08,0,-1.41,-1.21,2.46,0.35,4.15
RRAGA,3.64,-1.27,6.66,2.02,1.78,0.51,-0.06,-0.05,3.01,0.84,4.12
SLC25A1,2.37,2.63,-0.05,-0.26,-0.64,-0.52,-0.56,0.27,1.65,-0.34,4.11
CIT,2.61,0.99,3.25,-0.32,0.29,-0.49,3.12,-1.44,2.28,0.23,4.07
CDX2,3.62,2.31,0.4,1.04,-0.87,-0.22,0.78,-0.31,2.11,0.09,4.06
WDR26,2.69,-0.24,2.58,-0.12,0.63,-0.02,-0.66,-1.24,1.68,-0.28,4.04
VPS4B,2.07,2.33,-1.06,-0.46,-0.92,-0.91,-1.16,-0.4,1.12,-0.77,4.02
GATA6,0.78,3.74,1.11,2.25,-1.15,-0.46,0.14,-1.25,1.88,-0.09,4
MMACHC,0.76,2.78,1.26,-0.65,0.19,0.05,-0.14,-1.08,1.6,-0.33,3.98
PPP5C,3.18,-0.81,0.9,-0.88,-1.02,-0.67,-0.49,-0.79,1.09,-0.77,3.98
STT3A,1.97,3.14,1.66,-0.2,0.2,0.17,1.18,-0.14,2.25,0.24,3.98
KATNA1,1.54,2.23,1.2,-0.76,0.12,0.99,-0.57,-1.14,1.66,-0.27,3.97
UBE2Z,1,3.39,0.81,-1.01,-0.73,0.55,-0.19,0.4,1.73,-0.2,3.95
