"ID"	"Pathway"	"Z-score"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"29.986"
"hsa00020"	"Citrate cycle (TCA cycle)"	"21.601"
"hsa00620"	"Pyruvate metabolism"	"21.47"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"21.187"
"hsa00260"	"Glycine, serine and threonine metabolism"	"18.449"
"hsa00640"	"Propanoate metabolism"	"16.967"
"hsa03050"	"Proteasome"	"16.523"
"hsa00270"	"Cysteine and methionine metabolism"	"16.486"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"16.486"
"hsa00030"	"Pentose phosphate pathway"	"16.214"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"15.839"
"hsa00071"	"Fatty acid degradation"	"15.63"
"hsa00051"	"Fructose and mannose metabolism"	"15.419"
"hsa00480"	"Glutathione metabolism"	"14.53"
"hsa00500"	"Starch and sucrose metabolism"	"14.038"
"hsa04146"	"Peroxisome"	"13.953"
"hsa00052"	"Galactose metabolism"	"13.847"
"hsa00330"	"Arginine and proline metabolism"	"13.822"
"hsa04612"	"Antigen processing and presentation"	"13.361"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"13.244"
"hsa04922"	"Glucagon signaling pathway"	"13.114"
"hsa00220"	"Arginine biosynthesis"	"12.887"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"12.835"
"hsa05134"	"Legionellosis"	"12.728"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"12.61"
"hsa00380"	"Tryptophan metabolism"	"12.507"
"hsa00983"	"Drug metabolism - other enzymes"	"12.252"
"hsa05230"	"Central carbon metabolism in cancer"	"11.596"
"hsa00982"	"Drug metabolism - cytochrome P450"	"11.495"
"hsa00190"	"Oxidative phosphorylation"	"11.104"
"hsa04217"	"Necroptosis"	"10.948"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"10.916"
"hsa04213"	"Longevity regulating pathway - multiple species"	"10.847"
"hsa00410"	"beta-Alanine metabolism"	"10.619"
"hsa04145"	"Phagosome"	"10.56"
"hsa05204"	"Chemical carcinogenesis"	"10.542"
"hsa00340"	"Histidine metabolism"	"10.507"
"hsa00350"	"Tyrosine metabolism"	"10.434"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"9.885"
"hsa00650"	"Butanoate metabolism"	"9.173"
"hsa03018"	"RNA degradation"	"9.047"
"hsa00561"	"Glycerolipid metabolism"	"9.034"
"hsa05322"	"Systemic lupus erythematosus"	"9"
"hsa04966"	"Collecting duct acid secretion"	"8.941"
"hsa04530"	"Tight junction"	"8.857"
"hsa00900"	"Terpenoid backbone biosynthesis"	"8.676"
"hsa00310"	"Lysine degradation"	"8.672"
"hsa05164"	"Influenza A"	"8.63"
"hsa05145"	"Toxoplasmosis"	"8.584"
"hsa05130"	"Pathogenic Escherichia coli infection"	"8.554"
"hsa00360"	"Phenylalanine metabolism"	"8.511"
"hsa05169"	"Epstein-Barr virus infection"	"8.139"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"8.064"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"8.034"
"hsa00061"	"Fatty acid biosynthesis"	"7.903"
"hsa00564"	"Glycerophospholipid metabolism"	"7.895"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"7.865"
"hsa05012"	"Parkinson,s disease"	"7.851"
"hsa04066"	"HIF-1 signaling pathway"	"7.81"
"hsa05110"	"Vibrio cholerae infection"	"7.808"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"7.804"
"hsa05010"	"Alzheimer,s disease"	"7.737"
"hsa00120"	"Primary bile acid biosynthesis"	"7.708"
"hsa05034"	"Alcoholism"	"7.603"
"hsa04152"	"AMPK signaling pathway"	"7.592"
"hsa00670"	"One carbon pool by folate"	"7.474"
"hsa00140"	"Steroid hormone biosynthesis"	"7.346"
"hsa04915"	"Estrogen signaling pathway"	"7.167"
"hsa04136"	"Autophagy - other"	"7.159"
"hsa03320"	"PPAR signaling pathway"	"7.134"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"7.096"
"hsa00830"	"Retinol metabolism"	"7.08"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"7.035"
"hsa04540"	"Gap junction"	"6.933"
"hsa04930"	"Type II diabetes mellitus"	"6.808"
"hsa04910"	"Insulin signaling pathway"	"6.71"
"hsa00910"	"Nitrogen metabolism"	"6.608"
"hsa04975"	"Fat digestion and absorption"	"6.534"
"hsa04140"	"Autophagy - animal"	"6.07"
"hsa00053"	"Ascorbate and aldarate metabolism"	"6.024"
"hsa00230"	"Purine metabolism"	"5.914"
"hsa05020"	"Prion diseases"	"5.848"
"hsa04714"	"Thermogenesis"	"5.822"
"hsa04022"	"cGMP-PKG signaling pathway"	"5.547"
"hsa04216"	"Ferroptosis"	"5.344"
"hsa04010"	"MAPK signaling pathway"	"5.315"
"hsa05162"	"Measles"	"5.301"
"hsa03013"	"RNA transport"	"5.258"
"hsa04721"	"Synaptic vesicle cycle"	"5.126"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"5.107"
"hsa04950"	"Maturity onset diabetes of the young"	"5.072"
"hsa04921"	"Oxytocin signaling pathway"	"5.04"
"hsa00450"	"Selenocompound metabolism"	"5.022"
"hsa00730"	"Thiamine metabolism"	"4.892"
"hsa00592"	"alpha-Linolenic acid metabolism"	"4.828"
"hsa00590"	"Arachidonic acid metabolism"	"4.778"
"hsa04150"	"mTOR signaling pathway"	"4.753"
"hsa04260"	"Cardiac muscle contraction"	"4.683"
"hsa00790"	"Folate biosynthesis"	"4.682"
"hsa04931"	"Insulin resistance"	"4.563"
"hsa00100"	"Steroid biosynthesis"	"4.19"
"hsa00240"	"Pyrimidine metabolism"	"4.166"
"hsa00040"	"Pentose and glucuronate interconversions"	"4.081"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"3.911"
"hsa04210"	"Apoptosis"	"3.89"
"hsa04621"	"NOD-like receptor signaling pathway"	"3.823"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"3.776"
"hsa00062"	"Fatty acid elongation"	"3.489"
"hsa00785"	"Lipoic acid metabolism"	"3.434"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"3.425"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"3.39"
"hsa04144"	"Endocytosis"	"3.153"
"hsa04122"	"Sulfur relay system"	"2.937"
"hsa04270"	"Vascular smooth muscle contraction"	"2.895"
"hsa04114"	"Oocyte meiosis"	"2.753"
"hsa04730"	"Long-term depression"	"2.74"
"hsa05016"	"Huntington,s disease"	"2.632"
"hsa04722"	"Neurotrophin signaling pathway"	"2.611"
"hsa04068"	"FoxO signaling pathway"	"2.591"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"2.558"
"hsa00591"	"Linoleic acid metabolism"	"2.55"
"hsa05323"	"Rheumatoid arthritis"	"2.499"
"hsa05152"	"Tuberculosis"	"2.468"
"hsa03410"	"Base excision repair"	"2.459"
"hsa04142"	"Lysosome"	"2.325"
"hsa05133"	"Pertussis"	"2.324"
"hsa00510"	"N-Glycan biosynthesis"	"2.251"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"2.213"
"hsa04371"	"Apelin signaling pathway"	"2.209"
"hsa03430"	"Mismatch repair"	"2.099"
"hsa00740"	"Riboflavin metabolism"	"2.06"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"2.056"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"2.021"
"hsa04925"	"Aldosterone synthesis and secretion"	"2.005"
"hsa03030"	"DNA replication"	"1.995"
"hsa04979"	"Cholesterol metabolism"	"1.987"
"hsa04071"	"Sphingolipid signaling pathway"	"1.952"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"1.942"
"hsa04218"	"Cellular senescence"	"1.905"
"hsa04211"	"Longevity regulating pathway"	"1.871"
"hsa04912"	"GnRH signaling pathway"	"1.868"
"hsa04920"	"Adipocytokine signaling pathway"	"1.855"
"hsa04392"	"Hippo signaling pathway - multiple species"	"1.849"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"1.84"
"hsa02010"	"ABC transporters"	"1.812"
"hsa05216"	"Thyroid cancer"	"1.741"
"hsa05203"	"Viral carcinogenesis"	"1.725"
"hsa00511"	"Other glycan degradation"	"1.723"
"hsa04625"	"C-type lectin receptor signaling pathway"	"1.703"
"hsa04918"	"Thyroid hormone synthesis"	"1.67"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"1.646"
"hsa00430"	"Taurine and hypotaurine metabolism"	"1.64"
"hsa05132"	"Salmonella infection"	"1.599"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"1.492"
"hsa04728"	"Dopaminergic synapse"	"1.476"
"hsa05160"	"Hepatitis C"	"1.437"
"hsa00780"	"Biotin metabolism"	"1.382"
"hsa00562"	"Inositol phosphate metabolism"	"1.35"
"hsa04370"	"VEGF signaling pathway"	"1.268"
"hsa04924"	"Renin secretion"	"1.266"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"1.229"
"hsa04972"	"Pancreatic secretion"	"1.149"
"hsa05140"	"Leishmaniasis"	"1.103"
"hsa04720"	"Long-term potentiation"	"1.087"
"hsa04970"	"Salivary secretion"	"1.032"
"hsa04151"	"PI3K-Akt signaling pathway"	"1.024"
"hsa00232"	"Caffeine metabolism"	"0.961"
"hsa04710"	"Circadian rhythm"	"0.879"
"hsa00920"	"Sulfur metabolism"	"0.877"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"0.851"
"hsa05031"	"Amphetamine addiction"	"0.793"
"hsa03015"	"mRNA surveillance pathway"	"0.7"
"hsa04611"	"Platelet activation"	"0.656"
"hsa04911"	"Insulin secretion"	"0.58"
"hsa04917"	"Prolactin signaling pathway"	"0.55"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"0.481"
"hsa05231"	"Choline metabolism in cancer"	"0.443"
"hsa05219"	"Bladder cancer"	"0.44"
"hsa03450"	"Non-homologous end-joining"	"0.372"
"hsa04658"	"Th1 and Th2 cell differentiation"	"0.313"
"hsa04919"	"Thyroid hormone signaling pathway"	"0.241"
"hsa04657"	"IL-17 signaling pathway"	"0.197"
"hsa04390"	"Hippo signaling pathway"	"0.182"
"hsa04137"	"Mitophagy - animal"	"0.152"
"hsa04727"	"GABAergic synapse"	"0.138"
"hsa04973"	"Carbohydrate digestion and absorption"	"0.111"
"hsa04659"	"Th17 cell differentiation"	"0.105"
"hsa05211"	"Renal cell carcinoma"	"0.058"
"hsa04664"	"Fc epsilon RI signaling pathway"	"0.007"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"-0.017"
