"GO.ID"	"GO.Term"	"Z-score"
"GO:0000209"	"protein polyubiquitination"	"15.614"
"GO:0018350"	"protein esterification"	"14.1"
"GO:0044258"	"intestinal lipid catabolic process"	"14.1"
"GO:0061024"	"membrane organization"	"12.729"
"GO:0043687"	"post-translational protein modification"	"11.938"
"GO:0031146"	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	"10.691"
"GO:0006511"	"ubiquitin-dependent protein catabolic process"	"10.25"
"GO:0000272"	"polysaccharide catabolic process"	"10.09"
"GO:0016579"	"protein deubiquitination"	"9.489"
"GO:0044245"	"polysaccharide digestion"	"9.191"
"GO:0006030"	"chitin metabolic process"	"9.023"
"GO:0006037"	"cell wall chitin metabolic process"	"9.023"
"GO:0043161"	"proteasome-mediated ubiquitin-dependent protein catabolic process"	"8.86"
"GO:0010499"	"proteasomal ubiquitin-independent protein catabolic process"	"8.446"
"GO:0006986"	"response to unfolded protein"	"8.421"
"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"8.294"
"GO:0043438"	"acetoacetic acid metabolic process"	"8.099"
"GO:0006032"	"chitin catabolic process"	"8.013"
"GO:0016567"	"protein ubiquitination"	"7.935"
"GO:0045604"	"regulation of epidermal cell differentiation"	"7.911"
"GO:0042941"	"D-alanine transport"	"7.838"
"GO:0019290"	"siderophore biosynthetic process"	"7.6"
"GO:0034620"	"cellular response to unfolded protein"	"7.33"
"GO:0021966"	"corticospinal neuron axon guidance"	"7.097"
"GO:0006779"	"porphyrin-containing compound biosynthetic process"	"7.041"
"GO:0042026"	"protein refolding"	"7.002"
"GO:1900170"	"negative regulation of glucocorticoid mediated signaling pathway"	"6.996"
"GO:1902213"	"positive regulation of prolactin signaling pathway"	"6.996"
"GO:0006888"	"ER to Golgi vesicle-mediated transport"	"6.951"
"GO:0015727"	"lactate transport"	"6.825"
"GO:0086047"	"membrane depolarization during Purkinje myocyte cell action potential"	"6.694"
"GO:0010498"	"proteasomal protein catabolic process"	"6.626"
"GO:0034605"	"cellular response to heat"	"6.544"
"GO:0043312"	"neutrophil degranulation"	"6.526"
"GO:0015701"	"bicarbonate transport"	"6.405"
"GO:0048073"	"regulation of eye pigmentation"	"6.374"
"GO:0006783"	"heme biosynthetic process"	"6.14"
"GO:1901858"	"regulation of mitochondrial DNA metabolic process"	"6.118"
"GO:1904120"	"positive regulation of otic vesicle morphogenesis"	"6.118"
"GO:0046034"	"ATP metabolic process"	"6.037"
"GO:0051453"	"regulation of intracellular pH"	"5.915"
"GO:0000821"	"regulation of arginine metabolic process"	"5.784"
"GO:0032436"	"positive regulation of proteasomal ubiquitin-dependent protein catabolic process"	"5.722"
"GO:0001574"	"ganglioside biosynthetic process"	"5.688"
