"Pathway"	"zscore"
"Endocytosis"	"10.064"
"Epstein-Barr virus infection"	"8.383"
"Proteasome"	"7.312"
"Longevity regulating pathway - multiple species"	"7.068"
"FoxO signaling pathway"	"6.575"
"Antigen processing and presentation"	"6.464"
"Toxoplasmosis"	"6.316"
"Measles"	"6.07"
"Estrogen signaling pathway"	"5.908"
"Protein processing in endoplasmic reticulum"	"5.903"
"Cell cycle"	"5.796"
"Legionellosis"	"5.643"
"Cellular senescence"	"5.638"
"Chronic myeloid leukemia"	"5.581"
"Hepatocellular carcinoma"	"5.302"
"HTLV-I infection"	"5.285"
"Ubiquitin mediated proteolysis"	"5.209"
"Vasopressin-regulated water reabsorption"	"5.162"
"TGF-beta signaling pathway"	"4.959"
"Hepatitis B"	"4.94"
"MAPK signaling pathway"	"4.938"
"Prostate cancer"	"4.835"
"Human papillomavirus infection"	"4.708"
"Tuberculosis"	"4.695"
"Collecting duct acid secretion"	"4.559"
"Synaptic vesicle cycle"	"4.482"
"Cushing's syndrome"	"4.471"
"Influenza A"	"4.335"
"Oocyte meiosis"	"4.324"
"Tight junction"	"4.291"
"Phagosome"	"4.181"
"Glioma"	"4.082"
"Oxidative phosphorylation"	"3.968"
"Viral carcinogenesis"	"3.931"
"Pathways in cancer"	"3.89"
"MicroRNAs in cancer"	"3.804"
"Notch signaling pathway"	"3.783"
"Gastric cancer"	"3.776"
"Adrenergic signaling in cardiomyocytes"	"3.696"
"Ferroptosis"	"3.677"
"Wnt signaling pathway"	"3.64"
"Small cell lung cancer"	"3.56"
"Melanogenesis"	"3.546"
"Fluid shear stress and atherosclerosis"	"3.515"
"Huntington's disease"	"3.509"
"p53 signaling pathway"	"3.502"
"Aldosterone synthesis and secretion"	"3.477"
"Pancreatic cancer"	"3.438"
"Mineral absorption"	"3.36"
"Bladder cancer"	"3.358"
"Porphyrin and chlorophyll metabolism"	"3.355"
"Pathogenic Escherichia coli infection"	"3.323"
"Circadian rhythm"	"3.244"
"Amphetamine addiction"	"3.205"
"mTOR signaling pathway"	"3.136"
"Hematopoietic cell lineage"	"3.115"
"Valine, leucine and isoleucine biosynthesis"	"3.087"
"AGE-RAGE signaling pathway in diabetic complications"	"3.068"
"Mitophagy - animal"	"3.067"
"Hippo signaling pathway"	"3.031"
"Non-small cell lung cancer"	"3.009"
"Parkinson's disease"	"3.006"
"Signaling pathways regulating pluripotency of stem cells"	"2.882"
"Autophagy - animal"	"2.83"
"Progesterone-mediated oocyte maturation"	"2.8"
"Hedgehog signaling pathway"	"2.795"
"Lysosome"	"2.772"
"Gap junction"	"2.753"
"Salivary secretion"	"2.746"
"Alzheimer's disease"	"2.72"
"Longevity regulating pathway"	"2.72"
"Shigellosis"	"2.717"
"Apelin signaling pathway"	"2.702"
"Transcriptional misregulation in cancer"	"2.645"
"Dopaminergic synapse"	"2.639"
"Riboflavin metabolism"	"2.558"
"Th17 cell differentiation"	"2.541"
"C-type lectin receptor signaling pathway"	"2.54"
"Nicotinate and nicotinamide metabolism"	"2.535"
"Apoptosis"	"2.486"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.484"
"Glutathione metabolism"	"2.466"
"Cardiac muscle contraction"	"2.421"
"Thermogenesis"	"2.412"
"Melanoma"	"2.406"
"PPAR signaling pathway"	"2.388"
"Other glycan degradation"	"2.352"
"Cell adhesion molecules (CAMs)"	"2.339"
"African trypanosomiasis"	"2.289"
"Phosphatidylinositol signaling system"	"2.263"
"Colorectal cancer"	"2.252"
"Long-term potentiation"	"2.252"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"2.234"
"Kaposi's sarcoma-associated herpesvirus infection"	"2.201"
"Endometrial cancer"	"2.162"
"TNF signaling pathway"	"2.112"
"Prion diseases"	"2.106"
"Acute myeloid leukemia"	"2.098"
"Malaria"	"2.083"
"NOD-like receptor signaling pathway"	"2.083"
"Necroptosis"	"2.061"
"Salmonella infection"	"2.046"
"Sulfur relay system"	"2.046"
"Thyroid hormone signaling pathway"	"2.015"
"Prolactin signaling pathway"	"2.005"
"Basal cell carcinoma"	"1.964"
"Glycosphingolipid biosynthesis - ganglio series"	"1.945"
"GnRH signaling pathway"	"1.926"
"Alcoholism"	"1.917"
"Tyrosine metabolism"	"1.91"
"Rheumatoid arthritis"	"1.907"
"Vibrio cholerae infection"	"1.873"
"IL-17 signaling pathway"	"1.87"
"Pertussis"	"1.869"
"Drug metabolism - other enzymes"	"1.821"
"Amyotrophic lateral sclerosis (ALS)"	"1.819"
"Non-alcoholic fatty liver disease (NAFLD)"	"1.818"
"AMPK signaling pathway"	"1.81"
"Thyroid cancer"	"1.798"
"Adipocytokine signaling pathway"	"1.741"
"Breast cancer"	"1.703"
"Cocaine addiction"	"1.691"
"ABC transporters"	"1.675"
"Oxytocin signaling pathway"	"1.653"
"Butanoate metabolism"	"1.646"
"SNARE interactions in vesicular transport"	"1.642"
"Autophagy - other"	"1.638"
"Jak-STAT signaling pathway"	"1.621"
"Thyroid hormone synthesis"	"1.612"
"Biotin metabolism"	"1.606"
"Fat digestion and absorption"	"1.587"
