"Pathway"	"Z-score"
"Glutathione metabolism"	"18.524"
"Ferroptosis"	"15.395"
"Selenocompound metabolism"	"9.708"
"Peroxisome"	"8.259"
"Mineral absorption"	"7.799"
"Longevity regulating pathway - multiple species"	"7.146"
"Pentose phosphate pathway"	"6.934"
"Prion diseases"	"6.438"
"Huntington's disease"	"6.351"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"5.696"
"Cysteine and methionine metabolism"	"5.573"
"Hepatocellular carcinoma"	"5.389"
"Amyotrophic lateral sclerosis (ALS)"	"5.135"
"Central carbon metabolism in cancer"	"4.656"
"FoxO signaling pathway"	"4.615"
"Oxidative phosphorylation"	"4.602"
"Parkinson's disease"	"4.445"
"Fluid shear stress and atherosclerosis"	"4.406"
"Drug metabolism - other enzymes"	"4.376"
"Thyroid hormone synthesis"	"4.287"
"Retrograde endocannabinoid signaling"	"4.284"
"Non-alcoholic fatty liver disease (NAFLD)"	"4.231"
"Vitamin digestion and absorption"	"3.907"
"Alzheimer's disease"	"3.884"
"Longevity regulating pathway"	"3.793"
"Maturity onset diabetes of the young"	"3.765"
"Glyoxylate and dicarboxylate metabolism"	"3.615"
"Galactose metabolism"	"3.351"
"Pathways in cancer"	"3.215"
"Thermogenesis"	"3.191"
"Fructose and mannose metabolism"	"3.177"
"Porphyrin and chlorophyll metabolism"	"3.171"
"Tryptophan metabolism"	"2.821"
"ABC transporters"	"2.646"
"Basal transcription factors"	"2.641"
"Nucleotide excision repair"	"2.608"
"Transcriptional misregulation in cancer"	"2.228"
"Drug metabolism - cytochrome P450"	"2.222"
"Arachidonic acid metabolism"	"2.21"
"Metabolism of xenobiotics by cytochrome P450"	"2.112"
"Glycolysis / Gluconeogenesis"	"2.017"
"Acute myeloid leukemia"	"2.016"
"Renal cell carcinoma"	"2.004"
"Chemical carcinogenesis"	"1.937"
"RNA degradation"	"1.816"
"HIF-1 signaling pathway"	"1.55"
"C-type lectin receptor signaling pathway"	"1.428"
"TNF signaling pathway"	"1.406"
"Thyroid hormone signaling pathway"	"1.349"
"Sphingolipid signaling pathway"	"1.264"
"AMPK signaling pathway"	"1.252"
"Cell cycle"	"1.213"
