"Pathway"	"zscore"
"Oxidative phosphorylation"	"21.443"
"Parkinson's disease"	"19.033"
"Glutathione metabolism"	"17.416"
"Retrograde endocannabinoid signaling"	"16.667"
"Alzheimer's disease"	"15.855"
"Thermogenesis"	"15.622"
"Glycolysis / Gluconeogenesis"	"15.386"
"Drug metabolism - other enzymes"	"13.05"
"Huntington's disease"	"13.049"
"Glycine, serine and threonine metabolism"	"11.723"
"Pyruvate metabolism"	"10.956"
"Citrate cycle (TCA cycle)"	"10.649"
"Non-alcoholic fatty liver disease (NAFLD)"	"10.55"
"Fructose and mannose metabolism"	"10.244"
"Cysteine and methionine metabolism"	"10.181"
"Glyoxylate and dicarboxylate metabolism"	"9.543"
"Valine, leucine and isoleucine degradation"	"9.251"
"Amino sugar and nucleotide sugar metabolism"	"9.069"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"9.06"
"Purine metabolism"	"8.982"
"Fluid shear stress and atherosclerosis"	"8.618"
"Arginine and proline metabolism"	"8.578"
"Starch and sucrose metabolism"	"8.532"
"Synthesis and degradation of ketone bodies"	"8.514"
"Pentose phosphate pathway"	"8.507"
"Aminoacyl-tRNA biosynthesis"	"8.391"
"Tyrosine metabolism"	"8.089"
"Phagosome"	"7.963"
"Pyrimidine metabolism"	"7.8"
"Drug metabolism - cytochrome P450"	"7.533"
"Phenylalanine metabolism"	"7.504"
"Galactose metabolism"	"7.503"
"Terpenoid backbone biosynthesis"	"7.241"
"Glycerolipid metabolism"	"7.141"
"Butanoate metabolism"	"7.107"
"Metabolism of xenobiotics by cytochrome P450"	"7.031"
"Alanine, aspartate and glutamate metabolism"	"6.802"
"Central carbon metabolism in cancer"	"6.797"
"Propanoate metabolism"	"6.614"
"Collecting duct acid secretion"	"6.577"
"Peroxisome"	"6.526"
"Vibrio cholerae infection"	"6.38"
"Chemical carcinogenesis"	"6.227"
"Pathogenic Escherichia coli infection"	"6.191"
"Antigen processing and presentation"	"6.069"
"Legionellosis"	"6.069"
"Valine, leucine and isoleucine biosynthesis"	"6.054"
"Epstein-Barr virus infection"	"6.034"
"Amyotrophic lateral sclerosis (ALS)"	"5.995"
"Glucagon signaling pathway"	"5.887"
"NOD-like receptor signaling pathway"	"5.833"
"Tryptophan metabolism"	"5.731"
"Protein processing in endoplasmic reticulum"	"5.729"
"Tight junction"	"5.726"
"Epithelial cell signaling in Helicobacter pylori infection"	"5.696"
"HIF-1 signaling pathway"	"5.632"
"Toxoplasmosis"	"5.552"
"Histidine metabolism"	"5.476"
"Fat digestion and absorption"	"5.457"
"Proteasome"	"5.423"
"Gap junction"	"5.298"
"Necroptosis"	"5.15"
"Arachidonic acid metabolism"	"5.045"
"beta-Alanine metabolism"	"4.959"
"Prion diseases"	"4.959"
"Influenza A"	"4.921"
"Adrenergic signaling in cardiomyocytes"	"4.799"
"Basal transcription factors"	"4.676"
"Arginine biosynthesis"	"4.65"
"Pentose and glucuronate interconversions"	"4.619"
"Aldosterone synthesis and secretion"	"4.617"
"Pertussis"	"4.594"
"Leishmaniasis"	"4.58"
"MAPK signaling pathway"	"4.549"
"Insulin signaling pathway"	"4.395"
"Thyroid hormone synthesis"	"4.325"
"Oxytocin signaling pathway"	"4.285"
"Salivary secretion"	"4.149"
"Rheumatoid arthritis"	"4.03"
"Apoptosis"	"3.927"
"GnRH signaling pathway"	"3.926"
"Cellular senescence"	"3.879"
"Folate biosynthesis"	"3.871"
"Neomycin, kanamycin and gentamicin biosynthesis"	"3.739"
"C-type lectin receptor signaling pathway"	"3.711"
"ABC transporters"	"3.678"
"Ascorbate and aldarate metabolism"	"3.678"
"Fatty acid degradation"	"3.551"
"Vascular smooth muscle contraction"	"3.499"
"Estrogen signaling pathway"	"3.455"
"Salmonella infection"	"3.445"
"Neurotrophin signaling pathway"	"3.392"
"RNA transport"	"3.322"
"cGMP-PKG signaling pathway"	"3.32"
"Base excision repair"	"3.259"
"Oocyte meiosis"	"3.254"
"Tuberculosis"	"3.239"
"TNF signaling pathway"	"3.199"
"Lysine degradation"	"3.183"
