"Pathway"	"zscore"
"Jak-STAT signaling pathway"	"22.052"
"Pathways in cancer"	"20.362"
"Cytokine-cytokine receptor interaction"	"18.397"
"PI3K-Akt signaling pathway"	"14.855"
"Hepatitis B"	"14.662"
"Proteoglycans in cancer"	"14.117"
"Human papillomavirus infection"	"13.957"
"MicroRNAs in cancer"	"13.862"
"Small cell lung cancer"	"13.82"
"Focal adhesion"	"13.801"
"Chronic myeloid leukemia"	"13.38"
"Regulation of actin cytoskeleton"	"13.176"
"Kaposi's sarcoma-associated herpesvirus infection"	"12.683"
"Non-small cell lung cancer"	"12.603"
"Osteoclast differentiation"	"12.541"
"Acute myeloid leukemia"	"12.261"
"TNF signaling pathway"	"12.162"
"Prostate cancer"	"11.877"
"Prolactin signaling pathway"	"11.783"
"Pancreatic cancer"	"11.731"
"NF-kappa B signaling pathway"	"11.064"
"ErbB signaling pathway"	"11.048"
"Chemokine signaling pathway"	"11.018"
"Hepatitis C"	"10.875"
"Natural killer cell mediated cytotoxicity"	"10.853"
"Hepatocellular carcinoma"	"10.711"
"Axon guidance"	"10.671"
"Gastric cancer"	"10.55"
"AGE-RAGE signaling pathway in diabetic complications"	"10.543"
"Glioma"	"10.519"
"Neuroactive ligand-receptor interaction"	"10.343"
"T cell receptor signaling pathway"	"10.156"
"Measles"	"9.846"
"Th17 cell differentiation"	"9.703"
"Rap1 signaling pathway"	"9.699"
"Breast cancer"	"9.671"
"Apoptosis"	"9.65"
"Toll-like receptor signaling pathway"	"9.613"
"C-type lectin receptor signaling pathway"	"9.602"
"Phospholipase D signaling pathway"	"9.538"
"Transcriptional misregulation in cancer"	"9.469"
"HTLV-I infection"	"9.441"
"Adipocytokine signaling pathway"	"9.329"
"Ras signaling pathway"	"9.324"
"Choline metabolism in cancer"	"9.314"
"Bladder cancer"	"9.251"
"MAPK signaling pathway"	"9.249"
"Inflammatory bowel disease (IBD)"	"9.237"
"Tuberculosis"	"9.204"
"Colorectal cancer"	"9.164"
"Neurotrophin signaling pathway"	"9.134"
"Relaxin signaling pathway"	"9.124"
"cAMP signaling pathway"	"9.087"
"Cellular senescence"	"9.025"
"Melanoma"	"8.974"
"B cell receptor signaling pathway"	"8.966"
"Fc gamma R-mediated phagocytosis"	"8.959"
"Viral carcinogenesis"	"8.934"
"Cushing's syndrome"	"8.929"
"Fluid shear stress and atherosclerosis"	"8.928"
"ECM-receptor interaction"	"8.837"
"Endometrial cancer"	"8.783"
"FoxO signaling pathway"	"8.767"
"Fc epsilon RI signaling pathway"	"8.749"
"Apoptosis - multiple species"	"8.488"
"p53 signaling pathway"	"8.456"
"RIG-I-like receptor signaling pathway"	"8.134"
"Insulin resistance"	"8.109"
"Mucin type O-glycan biosynthesis"	"7.828"
"Thyroid hormone signaling pathway"	"7.788"
"Sphingolipid signaling pathway"	"7.691"
"Amoebiasis"	"7.67"
"Longevity regulating pathway"	"7.561"
"Renal cell carcinoma"	"7.507"
"Bacterial invasion of epithelial cells"	"7.341"
"Signaling pathways regulating pluripotency of stem cells"	"7.174"
"IL-17 signaling pathway"	"6.948"
"Chagas disease (American trypanosomiasis)"	"6.916"
"Insulin signaling pathway"	"6.877"
"Autophagy - animal"	"6.858"
"Non-alcoholic fatty liver disease (NAFLD)"	"6.838"
"Herpes simplex infection"	"6.756"
"Shigellosis"	"6.676"
"Th1 and Th2 cell differentiation"	"6.63"
"NOD-like receptor signaling pathway"	"6.604"
"Inflammatory mediator regulation of TRP channels"	"6.582"
"HIF-1 signaling pathway"	"6.581"
"Leukocyte transendothelial migration"	"6.548"
"VEGF signaling pathway"	"6.545"
