"ID"	"Pathway"	"Z-score"
"hsa04330"	"Notch signaling pathway"	"35.248"
"hsa05217"	"Basal cell carcinoma"	"25.417"
"hsa05165"	"Human papillomavirus infection"	"18.11"
"hsa05224"	"Breast cancer"	"16.807"
"hsa04310"	"Wnt signaling pathway"	"14.923"
"hsa04390"	"Hippo signaling pathway"	"13.644"
"hsa04120"	"Ubiquitin mediated proteolysis"	"13.088"
"hsa05200"	"Pathways in cancer"	"12.23"
"hsa00514"	"Other types of O-glycan biosynthesis"	"11.853"
"hsa04658"	"Th1 and Th2 cell differentiation"	"11.615"
"hsa04934"	"Cushing,s syndrome"	"10.983"
"hsa05226"	"Gastric cancer"	"10.663"
"hsa05225"	"Hepatocellular carcinoma"	"10.384"
"hsa04919"	"Thyroid hormone signaling pathway"	"10.004"
"hsa05166"	"HTLV-I infection"	"9.998"
"hsa05206"	"MicroRNAs in cancer"	"9.706"
"hsa00430"	"Taurine and hypotaurine metabolism"	"9.436"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"9.121"
"hsa04916"	"Melanogenesis"	"8.851"
"hsa04110"	"Cell cycle"	"8.143"
"hsa04150"	"mTOR signaling pathway"	"7.653"
"hsa04340"	"Hedgehog signaling pathway"	"6.82"
"hsa05215"	"Prostate cancer"	"6.619"
"hsa05222"	"Small cell lung cancer"	"6.317"
"hsa05202"	"Transcriptional misregulation in cancer"	"5.21"
"hsa05161"	"Hepatitis B"	"5.153"
"hsa04350"	"TGF-beta signaling pathway"	"5.129"
"hsa05220"	"Chronic myeloid leukemia"	"4.633"
"hsa05203"	"Viral carcinogenesis"	"4.535"
"hsa04115"	"p53 signaling pathway"	"4.469"
"hsa04630"	"Jak-STAT signaling pathway"	"4.446"
"hsa04920"	"Adipocytokine signaling pathway"	"4.134"
"hsa05168"	"Herpes simplex infection"	"4.123"
"hsa05213"	"Endometrial cancer"	"3.978"
"hsa03420"	"Nucleotide excision repair"	"3.542"
"hsa05212"	"Pancreatic cancer"	"3.426"
"hsa04710"	"Circadian rhythm"	"3.282"
"hsa00592"	"alpha-Linolenic acid metabolism"	"3.279"
"hsa04530"	"Tight junction"	"3.225"
"hsa04144"	"Endocytosis"	"3.083"
"hsa05205"	"Proteoglycans in cancer"	"3.066"
"hsa05162"	"Measles"	"3.04"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"2.947"
"hsa04657"	"IL-17 signaling pathway"	"2.93"
"hsa04659"	"Th17 cell differentiation"	"2.864"
"hsa04668"	"TNF signaling pathway"	"2.847"
"hsa04151"	"PI3K-Akt signaling pathway"	"2.822"
"hsa04064"	"NF-kappa B signaling pathway"	"2.732"
"hsa05210"	"Colorectal cancer"	"2.706"
"hsa04721"	"Synaptic vesicle cycle"	"2.58"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"2.53"
"hsa05160"	"Hepatitis C"	"2.529"
"hsa05216"	"Thyroid cancer"	"2.523"
"hsa05010"	"Alzheimer,s disease"	"2.43"
