"Pathway"	"Z-score"
"Notch signaling pathway - Homo sapiens (human)"	"35.248"
"Basal cell carcinoma - Homo sapiens (human)"	"25.417"
"Human papillomavirus infection - Homo sapiens (human)"	"18.11"
"Breast cancer - Homo sapiens (human)"	"16.807"
"Wnt signaling pathway - Homo sapiens (human)"	"14.923"
"Hippo signaling pathway - Homo sapiens (human)"	"13.644"
"Ubiquitin mediated proteolysis - Homo sapiens (human)"	"13.088"
"Pathways in cancer - Homo sapiens (human)"	"12.23"
"Other types of O-glycan biosynthesis - Homo sapiens (human)"	"11.853"
"Th1 and Th2 cell differentiation - Homo sapiens (human)"	"11.615"
"Cushing,s syndrome - Homo sapiens (human)"	"10.983"
"Gastric cancer - Homo sapiens (human)"	"10.663"
"Hepatocellular carcinoma - Homo sapiens (human)"	"10.384"
"Thyroid hormone signaling pathway - Homo sapiens (human)"	"10.004"
"HTLV-I infection - Homo sapiens (human)"	"9.998"
"MicroRNAs in cancer - Homo sapiens (human)"	"9.706"
"Taurine and hypotaurine metabolism - Homo sapiens (human)"	"9.436"
"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"	"9.121"
"Melanogenesis - Homo sapiens (human)"	"8.851"
"Cell cycle - Homo sapiens (human)"	"8.143"
"mTOR signaling pathway - Homo sapiens (human)"	"7.653"
"Hedgehog signaling pathway - Homo sapiens (human)"	"6.82"
"Prostate cancer - Homo sapiens (human)"	"6.619"
"Small cell lung cancer - Homo sapiens (human)"	"6.317"
"Transcriptional misregulation in cancer - Homo sapiens (human)"	"5.21"
"Hepatitis B - Homo sapiens (human)"	"5.153"
"TGF-beta signaling pathway - Homo sapiens (human)"	"5.129"
"Chronic myeloid leukemia - Homo sapiens (human)"	"4.633"
"Viral carcinogenesis - Homo sapiens (human)"	"4.535"
"p53 signaling pathway - Homo sapiens (human)"	"4.469"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"4.446"
"Adipocytokine signaling pathway - Homo sapiens (human)"	"4.134"
"Herpes simplex infection - Homo sapiens (human)"	"4.123"
"Endometrial cancer - Homo sapiens (human)"	"3.978"
"Nucleotide excision repair - Homo sapiens (human)"	"3.542"
"Pancreatic cancer - Homo sapiens (human)"	"3.426"
"Circadian rhythm - Homo sapiens (human)"	"3.282"
"alpha-Linolenic acid metabolism - Homo sapiens (human)"	"3.279"
"Tight junction - Homo sapiens (human)"	"3.225"
"Endocytosis - Homo sapiens (human)"	"3.083"
"Proteoglycans in cancer - Homo sapiens (human)"	"3.066"
"Measles - Homo sapiens (human)"	"3.04"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"2.947"
"IL-17 signaling pathway - Homo sapiens (human)"	"2.93"
"Th17 cell differentiation - Homo sapiens (human)"	"2.864"
"TNF signaling pathway - Homo sapiens (human)"	"2.847"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"2.822"
"NF-kappa B signaling pathway - Homo sapiens (human)"	"2.732"
"Colorectal cancer - Homo sapiens (human)"	"2.706"
"Synaptic vesicle cycle - Homo sapiens (human)"	"2.58"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"2.53"
"Hepatitis C - Homo sapiens (human)"	"2.529"
"Thyroid cancer - Homo sapiens (human)"	"2.523"
"Alzheimer,s disease - Homo sapiens (human)"	"2.43"
"Shigellosis - Homo sapiens (human)"	"2.381"
"Apoptosis - Homo sapiens (human)"	"2.304"
"Cellular senescence - Homo sapiens (human)"	"2.237"
"Cytosolic DNA-sensing pathway - Homo sapiens (human)"	"2.235"
"Cholesterol metabolism - Homo sapiens (human)"	"2.15"
