"Pathway"	"zscore"
"Notch signaling pathway"	"35.248"
"Basal cell carcinoma"	"25.417"
"Human papillomavirus infection"	"18.11"
"Breast cancer"	"16.807"
"Wnt signaling pathway"	"14.923"
"Hippo signaling pathway"	"13.644"
"Ubiquitin mediated proteolysis"	"13.088"
"Pathways in cancer"	"12.23"
"Other types of O-glycan biosynthesis"	"11.853"
"Th1 and Th2 cell differentiation"	"11.615"
"Cushing's syndrome"	"10.983"
"Gastric cancer"	"10.663"
"Hepatocellular carcinoma"	"10.384"
"Thyroid hormone signaling pathway"	"10.004"
"HTLV-I infection"	"9.998"
"MicroRNAs in cancer"	"9.706"
"Taurine and hypotaurine metabolism"	"9.436"
"Signaling pathways regulating pluripotency of stem cells"	"9.121"
"Melanogenesis"	"8.851"
"Cell cycle"	"8.143"
"mTOR signaling pathway"	"7.653"
"Hedgehog signaling pathway"	"6.82"
"Prostate cancer"	"6.619"
"Small cell lung cancer"	"6.317"
"Transcriptional misregulation in cancer"	"5.21"
"Hepatitis B"	"5.153"
"TGF-beta signaling pathway"	"5.129"
"Chronic myeloid leukemia"	"4.633"
"Viral carcinogenesis"	"4.535"
"p53 signaling pathway"	"4.469"
"Jak-STAT signaling pathway"	"4.446"
"Adipocytokine signaling pathway"	"4.134"
"Herpes simplex infection"	"4.123"
"Endometrial cancer"	"3.978"
"Nucleotide excision repair"	"3.542"
"Pancreatic cancer"	"3.426"
"Circadian rhythm"	"3.282"
"alpha-Linolenic acid metabolism"	"3.279"
"Tight junction"	"3.225"
"Endocytosis"	"3.083"
"Proteoglycans in cancer"	"3.066"
"Measles"	"3.04"
"Kaposi's sarcoma-associated herpesvirus infection"	"2.947"
"IL-17 signaling pathway"	"2.93"
"Th17 cell differentiation"	"2.864"
"TNF signaling pathway"	"2.847"
"PI3K-Akt signaling pathway"	"2.822"
"NF-kappa B signaling pathway"	"2.732"
"Colorectal cancer"	"2.706"
"Synaptic vesicle cycle"	"2.58"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.53"
"Hepatitis C"	"2.529"
"Thyroid cancer"	"2.523"
"Alzheimer's disease"	"2.43"
"Shigellosis"	"2.381"
"Apoptosis"	"2.304"
"Cellular senescence"	"2.237"
"Cytosolic DNA-sensing pathway"	"2.235"
"Cholesterol metabolism"	"2.15"
"Acute myeloid leukemia"	"2.05"
"RIG-I-like receptor signaling pathway"	"2.048"
"Prolactin signaling pathway"	"1.955"
"Bladder cancer"	"1.871"
"Base excision repair"	"1.812"
"Epstein-Barr virus infection"	"1.777"
"T cell receptor signaling pathway"	"1.749"
"Lysosome"	"1.747"
"Biotin metabolism"	"1.73"
"Selenocompound metabolism"	"1.721"
"Osteoclast differentiation"	"1.675"
"Folate biosynthesis"	"1.61"
"Mineral absorption"	"1.566"
"Insulin resistance"	"1.554"
"DNA replication"	"1.509"
"Hippo signaling pathway - multiple species"	"1.5"
"Leishmaniasis"	"1.493"
"Fatty acid degradation"	"1.437"
"FoxO signaling pathway"	"1.376"
"Vitamin digestion and absorption"	"1.234"
"Inositol phosphate metabolism"	"1.17"
"Non-homologous end-joining"	"1.16"
"Endocrine and other factor-regulated calcium reabsorption"	"1.118"
"Toxoplasmosis"	"1.116"
"MAPK signaling pathway"	"1.067"
"Proximal tubule bicarbonate reclamation"	"1.042"
"Toll-like receptor signaling pathway"	"1.034"
"PPAR signaling pathway"	"1.032"
"Vitamin B6 metabolism"	"1.011"
"Neurotrophin signaling pathway"	"1.008"
"Mismatch repair"	"0.983"
"B cell receptor signaling pathway"	"0.951"
"Chagas disease (American trypanosomiasis)"	"0.905"
"Nicotine addiction"	"0.851"
"Huntington's disease"	"0.78"
"HIF-1 signaling pathway"	"0.732"
"Valine, leucine and isoleucine biosynthesis"	"0.723"
"Protein digestion and absorption"	"0.697"
"Non-small cell lung cancer"	"0.66"
"Glycerophospholipid metabolism"	"0.646"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"0.618"
"Adherens junction"	"0.601"
"Pantothenate and CoA biosynthesis"	"0.585"
"Pathogenic Escherichia coli infection"	"0.558"
"Carbohydrate digestion and absorption"	"0.546"
"Fructose and mannose metabolism"	"0.537"
"Glycerolipid metabolism"	"0.527"
"Steroid biosynthesis"	"0.482"
"Oocyte meiosis"	"0.472"
"Influenza A"	"0.463"
"C-type lectin receptor signaling pathway"	"0.427"
"Fatty acid biosynthesis"	"0.419"
"Collecting duct acid secretion"	"0.415"
"Apoptosis - multiple species"	"0.317"
"Glyoxylate and dicarboxylate metabolism"	"0.306"
"Glycine, serine and threonine metabolism"	"0.26"
"Mitophagy - animal"	"0.22"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.214"
"Inflammatory bowel disease (IBD)"	"0.21"
"Phosphatidylinositol signaling system"	"0.201"
"Melanoma"	"0.2"
"NOD-like receptor signaling pathway"	"0.195"
"AMPK signaling pathway"	"0.141"
"Arachidonic acid metabolism"	"0.131"
"Glycosaminoglycan degradation"	"0.117"
"Bacterial invasion of epithelial cells"	"0.04"
"Fanconi anemia pathway"	"0.026"
"Amphetamine addiction"	"0.013"
"Ferroptosis"	"0.002"
"D-Arginine and D-ornithine metabolism"	"-0.055"
"Aminoacyl-tRNA biosynthesis"	"-0.067"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.094"
"Nitrogen metabolism"	"-0.103"
"Sphingolipid metabolism"	"-0.137"
"Aldosterone synthesis and secretion"	"-0.148"
"Amyotrophic lateral sclerosis (ALS)"	"-0.173"
"Focal adhesion"	"-0.173"
"Sulfur metabolism"	"-0.223"
"Other glycan degradation"	"-0.241"
"Cocaine addiction"	"-0.242"
"Cortisol synthesis and secretion"	"-0.25"
"Tuberculosis"	"-0.325"
"Linoleic acid metabolism"	"-0.345"
"Fluid shear stress and atherosclerosis"	"-0.374"
"Type II diabetes mellitus"	"-0.377"
"Prion diseases"	"-0.378"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.413"
"Ether lipid metabolism"	"-0.443"
"cAMP signaling pathway"	"-0.452"
"Mannose type O-glycan biosynthesis"	"-0.504"
"Bile secretion"	"-0.537"
"Legionellosis"	"-0.548"
"Aldosterone-regulated sodium reabsorption"	"-0.577"
"Progesterone-mediated oocyte maturation"	"-0.602"
"beta-Alanine metabolism"	"-0.613"
"Dopaminergic synapse"	"-0.616"
"Glioma"	"-0.621"
"Lysine degradation"	"-0.658"
"Caffeine metabolism"	"-0.666"
"ECM-receptor interaction"	"-0.687"
"Primary immunodeficiency"	"-0.693"
"Pentose phosphate pathway"	"-0.703"
"Lipoic acid metabolism"	"-0.718"
"Galactose metabolism"	"-0.721"
"Histidine metabolism"	"-0.736"
"ErbB signaling pathway"	"-0.743"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.752"
"Sulfur relay system"	"-0.754"
"Riboflavin metabolism"	"-0.788"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.804"
"Ascorbate and aldarate metabolism"	"-0.806"
"AGE-RAGE signaling pathway in diabetic complications"	"-0.814"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.823"
"Citrate cycle (TCA cycle)"	"-0.825"
"D-Glutamine and D-glutamate metabolism"	"-0.913"
"Biosynthesis of unsaturated fatty acids"	"-0.923"
"Cardiac muscle contraction"	"-0.936"
"Insulin secretion"	"-0.939"
"Peroxisome"	"-0.95"
"Thyroid hormone synthesis"	"-0.965"
"Fc gamma R-mediated phagocytosis"	"-0.966"
"Glycosphingolipid biosynthesis - ganglio series"	"-0.992"
"Non-alcoholic fatty liver disease (NAFLD)"	"-1.024"
"Pentose and glucuronate interconversions"	"-1.034"
"Longevity regulating pathway"	"-1.041"
"Cysteine and methionine metabolism"	"-1.046"
"Salmonella infection"	"-1.076"
"Phenylalanine metabolism"	"-1.091"
"Long-term potentiation"	"-1.109"
"Fat digestion and absorption"	"-1.114"
"Nicotinate and nicotinamide metabolism"	"-1.126"
"RNA polymerase"	"-1.134"
"Pertussis"	"-1.145"
"Synthesis and degradation of ketone bodies"	"-1.145"
"Retinol metabolism"	"-1.174"
"Butanoate metabolism"	"-1.222"
"Phototransduction"	"-1.224"
"Phagosome"	"-1.24"
"Valine, leucine and isoleucine degradation"	"-1.254"
"Tyrosine metabolism"	"-1.322"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-1.324"
"Renal cell carcinoma"	"-1.356"
"Malaria"	"-1.359"
"Protein processing in endoplasmic reticulum"	"-1.364"
"Porphyrin and chlorophyll metabolism"	"-1.379"
"Starch and sucrose metabolism"	"-1.415"
"N-Glycan biosynthesis"	"-1.428"
"Glutathione metabolism"	"-1.432"
"Phosphonate and phosphinate metabolism"	"-1.496"
"ABC transporters"	"-1.519"
"Hematopoietic cell lineage"	"-1.521"
"Olfactory transduction"	"-1.536"
"Proteasome"	"-1.537"
"Arginine biosynthesis"	"-1.542"
"Mucin type O-glycan biosynthesis"	"-1.55"
"One carbon pool by folate"	"-1.569"
"Homologous recombination"	"-1.572"
"Chemical carcinogenesis"	"-1.582"
"Long-term depression"	"-1.59"
"Pancreatic secretion"	"-1.599"
"Renin-angiotensin system"	"-1.603"
"Axon guidance"	"-1.613"
"Glucagon signaling pathway"	"-1.637"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-1.651"
"Pyrimidine metabolism"	"-1.658"
"Salivary secretion"	"-1.663"
"Basal transcription factors"	"-1.681"
"Vascular smooth muscle contraction"	"-1.703"
"Glycolysis / Gluconeogenesis"	"-1.705"
"Thiamine metabolism"	"-1.715"
"Drug metabolism - cytochrome P450"	"-1.721"
"Tryptophan metabolism"	"-1.724"
"Ovarian steroidogenesis"	"-1.746"
"Oxytocin signaling pathway"	"-1.772"
"Adrenergic signaling in cardiomyocytes"	"-1.893"
"SNARE interactions in vesicular transport"	"-1.901"
"Terpenoid backbone biosynthesis"	"-1.914"
"Morphine addiction"	"-1.957"
"Purine metabolism"	"-1.978"
"Metabolism of xenobiotics by cytochrome P450"	"-1.996"
"Rheumatoid arthritis"	"-2.033"
"Primary bile acid biosynthesis"	"-2.039"
"Fatty acid elongation"	"-2.053"
"Maturity onset diabetes of the young"	"-2.069"
"Propanoate metabolism"	"-2.105"
"Choline metabolism in cancer"	"-2.108"
