goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0060842	arterial endothelial cell differentiation	6	3	RBPJ|0;HEY1|1;HEY2|1	0.009271616211280467	323.5681818181818	6.386060724672404e-8	5.300397342685587e-4
GO:0009653	anatomical structure morphogenesis	2318	15	APP|0;COL4A1|0;GLI1|1;RBPJ|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;TLE1|1;TLE3|1;UNC5C|1;CELSR1|1;HEY1|1;HEY2|1;AMOT|1	3.581934396291354	4.187681386775433	7.785261091353135e-8	5.300397342685587e-4
GO:0035912	dorsal aorta morphogenesis	7	3	RBPJ|0;HEY1|1;HEY2|1	0.010816885579827212	277.3441558441558	1.1164418456388603e-7	5.300397342685587e-4
GO:0035907	dorsal aorta development	8	3	RBPJ|0;HEY1|1;HEY2|1	0.012362154948373956	242.67613636363635	1.7845187127996098e-7	5.300397342685587e-4
GO:0061314	Notch signaling involved in heart development	8	3	RBPJ|0;HEY1|1;HEY2|1	0.012362154948373956	242.67613636363635	1.7845187127996098e-7	5.300397342685587e-4
GO:0007399	nervous system development	2091	14	ACHE|1;APP|0;COL4A1|0;ATN1|0;GLI1|1;RBPJ|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1;CELSR1|1;HEY1|1;HEY2|1	3.2311582496312425	4.3328116168862225	2.0795364963355212e-7	5.300397342685587e-4
GO:0007417	central nervous system development	874	10	APP|0;COL4A1|0;ATN1|0;GLI1|1;RBPJ|0;NKX6-1|1;OPHN1|1;SLIT1|1;UNC5C|1;CELSR1|1	1.3505654281098547	7.404306220095694	2.3729521414495025e-7	5.300397342685587e-4
GO:0060837	blood vessel endothelial cell differentiation	9	3	RBPJ|0;HEY1|1;HEY2|1	0.0139074243169207	215.71212121212122	2.6740984260253953e-7	5.300397342685587e-4
GO:0036304	umbilical cord morphogenesis	2	2	HEY1|1;HEY2|1	0.003090538737093489	647.1363636363636	2.279478557132286e-6	0.00291447462233681
GO:0061027	umbilical cord development	2	2	HEY1|1;HEY2|1	0.003090538737093489	647.1363636363636	2.279478557132286e-6	0.00291447462233681
GO:0007166	cell surface receptor signaling pathway	2546	14	APP|0;COL4A1|0;GLI1|1;RBPJ|0;NKX6-1|1;NTRK1|0;TLE1|1;TLE3|1;TRIM25|0;UNC5C|1;CELSR1|1;HEY1|1;HEY2|1;TMEM17|0	3.9342558123200115	3.558487466971363	2.494633678518099e-6	0.00291447462233681
GO:0023052	signaling	5257	19	ACHE|1;APP|0;COL4A1|0;GLI1|1;RBPJ|0;MTNR1A|0;NKX6-1|1;NPM1|0;NTRK1|0;OPHN1|1;TLE1|1;TLE3|1;TRIM25|0;UNC5C|1;CELSR1|1;HEY1|1;HEY2|1;AMOT|1;TMEM17|0	8.123481070450236	2.3388987843049094	2.496601930968012e-6	0.00291447462233681
