ID	Term	pValue
GO:0048731	system development	8.11857963108889e-11
GO:0009653	anatomical structure morphogenesis	3.2619834492644e-10
GO:0007275	multicellular organism development	8.87997162319073e-10
GO:0044707	single-multicellular organism process	9.31284185236146e-10
GO:0007399	nervous system development	6.29623497182993e-09
GO:0007166	cell surface receptor signaling pathway	7.02487368989698e-09
GO:0048856	anatomical structure development	7.59877349187013e-09
GO:0044767	single-organism developmental process	7.65054035084978e-09
GO:0032502	developmental process	1.293414610258e-08
GO:0032501	multicellular organismal process	2.67001000884423e-08
GO:0009887	organ morphogenesis	5.31079653345596e-08
GO:0003002	regionalization	6.47529726159254e-08
GO:0048513	animal organ development	6.58726838768823e-08
GO:0048699	generation of neurons	7.82296240810642e-08
GO:0022008	neurogenesis	1.51549153382316e-07
GO:0030182	neuron differentiation	3.89479463935384e-07
GO:0007389	pattern specification process	4.38705097513726e-07
GO:0048523	negative regulation of cellular process	5.41337870485807e-07
GO:0030154	cell differentiation	5.62092039622613e-07
GO:0000904	cell morphogenesis involved in differentiation	1.22770479863913e-06
GO:0048519	negative regulation of biological process	1.5698486157748e-06
GO:0048869	cellular developmental process	1.8995459841976e-06
GO:0009798	axis specification	3.65893708677472e-06
GO:0007417	central nervous system development	4.82511073232323e-06
GO:2000026	regulation of multicellular organismal development	8.75799749926322e-06
GO:0051674	localization of cell	8.98362117333196e-06
GO:0048870	cell motility	8.98362117333196e-06
GO:0044700	single organism signaling	1.39965891162591e-05
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1.57663097260807e-05
GO:0023052	signaling	1.59560997319357e-05
GO:0007154	cell communication	1.65550388668672e-05
GO:0048667	cell morphogenesis involved in neuron differentiation	1.7550912167204e-05
GO:0051960	regulation of nervous system development	1.88737172645334e-05
GO:0021517	ventral spinal cord development	2.12281304633263e-05
GO:0008544	epidermis development	2.18977842490763e-05
GO:0009948	anterior/posterior axis specification	2.41504857439689e-05
GO:0045892	negative regulation of transcription, DNA-templated	2.48964543655779e-05
GO:0040011	locomotion	2.80286210013407e-05
GO:0048646	anatomical structure formation involved in morphogenesis	2.84578755219557e-05
GO:0048812	neuron projection morphogenesis	2.92738022523132e-05
GO:0045595	regulation of cell differentiation	3.01599372367381e-05
GO:1903507	negative regulation of nucleic acid-templated transcription	3.34561845365885e-05
GO:0010648	negative regulation of cell communication	3.4497822726894e-05
GO:0023057	negative regulation of signaling	3.53507482049271e-05
GO:1902679	negative regulation of RNA biosynthetic process	3.71101589813449e-05
GO:0007165	signal transduction	3.86123523500741e-05
GO:0021953	central nervous system neuron differentiation	4.63441834798935e-05
GO:0000902	cell morphogenesis	4.87288364908746e-05
GO:0051253	negative regulation of RNA metabolic process	4.87288364908746e-05
GO:0050793	regulation of developmental process	5.78780792974339e-05
GO:0051239	regulation of multicellular organismal process	6.3953097163328e-05
GO:0009790	embryo development	7.53479311924555e-05
GO:0032989	cellular component morphogenesis	7.66531337272318e-05
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	7.79026780846489e-05
GO:0048518	positive regulation of biological process	7.92827309036141e-05
GO:0009952	anterior/posterior pattern specification	8.14738976664708e-05
