"Pathway"	"Z-score"
"Allograft rejection"	"39.263"
"Inflammatory bowel disease (IBD)"	"32.899"
"Graft-versus-host disease"	"32.696"
"Type I diabetes mellitus"	"32.188"
"Cytokine-cytokine receptor interaction"	"30.025"
"Th1 and Th2 cell differentiation"	"29.945"
"Th17 cell differentiation"	"29.665"
"Leishmaniasis"	"29.093"
"Autoimmune thyroid disease"	"27.929"
"Rheumatoid arthritis"	"26.143"
"Intestinal immune network for IgA production"	"24.988"
"Asthma"	"24.316"
"T cell receptor signaling pathway"	"24.122"
"Jak-STAT signaling pathway"	"23.811"
"Measles"	"23.806"
"Herpes simplex infection"	"23.789"
"Viral myocarditis"	"23.684"
"Chagas disease (American trypanosomiasis)"	"23.533"
"Hematopoietic cell lineage"	"23.026"
"Toxoplasmosis"	"23.018"
"Antigen processing and presentation"	"22.716"
"Malaria"	"22.1"
"Primary immunodeficiency"	"21.972"
"African trypanosomiasis"	"21.83"
"Tuberculosis"	"21.616"
"Influenza A"	"20.552"
"Natural killer cell mediated cytotoxicity"	"19.521"
"Toll-like receptor signaling pathway"	"19.326"
"HTLV-I infection"	"18.791"
"Cell adhesion molecules (CAMs)"	"17.719"
"Staphylococcus aureus infection"	"16.459"
"NF-kappa B signaling pathway"	"16.204"
"Chemokine signaling pathway"	"16.138"
"Osteoclast differentiation"	"16.052"
"Pathways in cancer"	"14.561"
"Amoebiasis"	"14.377"
"TNF signaling pathway"	"14.08"
"Kaposi's sarcoma-associated herpesvirus infection"	"13.155"
"Phagosome"	"13.141"
"Systemic lupus erythematosus"	"12.5"
"C-type lectin receptor signaling pathway"	"12.393"
"IL-17 signaling pathway"	"12.373"
"Hepatitis B"	"11.989"
"Pertussis"	"11.488"
"Epstein-Barr virus infection"	"10.44"
"NOD-like receptor signaling pathway"	"10.045"
"AGE-RAGE signaling pathway in diabetic complications"	"9.983"
"Legionellosis"	"9.876"
"HIF-1 signaling pathway"	"9.847"
"Proteoglycans in cancer"	"9.786"
"Salmonella infection"	"9.75"
"Necroptosis"	"9.55"
"PI3K-Akt signaling pathway"	"9.277"
"B cell receptor signaling pathway"	"8.624"
"MAPK signaling pathway"	"8.159"
"Cytosolic DNA-sensing pathway"	"7.893"
"RIG-I-like receptor signaling pathway"	"7.47"
"Cellular senescence"	"7.361"
"Leukocyte transendothelial migration"	"7.316"
"Fluid shear stress and atherosclerosis"	"7.197"
"Pancreatic cancer"	"7.028"
"MicroRNAs in cancer"	"6.848"
"TGF-beta signaling pathway"	"6.694"
"FoxO signaling pathway"	"6.652"
"Hepatitis C"	"6.62"
"Human papillomavirus infection"	"6.513"
"Fc epsilon RI signaling pathway"	"6.463"
