"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0022625"	"cytosolic large ribosomal subunit"	"23.04"	NA
"GO:0042788"	"polysomal ribosome"	"15.883"	NA
"GO:0022627"	"cytosolic small ribosomal subunit"	"15.724"	NA
"GO:0005840"	"ribosome"	"11.5"	NA
"GO:0008282"	"ATP-sensitive potassium channel complex"	"10.765"	NA
"GO:0015935"	"small ribosomal subunit"	"9.329"	NA
"GO:0016021"	"integral component of membrane"	"8.746"	NA
"GO:0005887"	"integral component of plasma membrane"	"8.475"	NA
"GO:0098556"	"cytoplasmic side of rough endoplasmic reticulum membrane"	"7.933"	NA
"GO:0005925"	"focal adhesion"	"7.491"	NA
