GO.ID	GO.Term	Z.Tumor	Z.Normal	Z.Differential
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	-63.372	-59.915	-6.867
GO:0003677	DNA binding	-8.353	-2.286	-13.919
GO:0003723	RNA binding	23.408	25.188	-18.625
GO:0003727	single-stranded RNA binding	11.781	15.024	-6.939
GO:0003729	mRNA binding	21.484	26.319	-8.807
GO:0003735	structural constituent of ribosome	14.629	14.707	-8.927
GO:0004842	ubiquitin-protein transferase activity	-15.192	-15.539	-6.464
GO:0004930	G protein-coupled receptor activity	-45.934	-47.778	-10.972
GO:0004984	olfactory receptor activity	-1.637	-1.579	-7.573
GO:0008009	chemokine activity	-23.827	-24.8	-6.077
GO:0033038	bitter taste receptor activity	-25.037	-26.304	-6.859
GO:0046872	metal ion binding	-42.211	-37.458	-10.916
