"Pathway"	"Z-score"
"Kaposi's sarcoma-associated herpesvirus infection"	"7.662"
"TNF signaling pathway"	"7.573"
"Apoptosis - multiple species"	"7.372"
"Viral carcinogenesis"	"7.363"
"Small cell lung cancer"	"7.305"
"Pathways in cancer"	"7.246"
"HTLV-I infection"	"6.912"
"Legionellosis"	"6.865"
"Cellular senescence"	"6.771"
"Apoptosis"	"6.53"
"Folate biosynthesis"	"6.282"
"Herpes simplex infection"	"6.126"
"IL-17 signaling pathway"	"6.043"
"Epithelial cell signaling in Helicobacter pylori infection"	"5.951"
"p53 signaling pathway"	"5.887"
"Epstein-Barr virus infection"	"5.817"
"Collecting duct acid secretion"	"5.783"
"Cocaine addiction"	"5.739"
"Pertussis"	"5.576"
"Porphyrin and chlorophyll metabolism"	"5.434"
"Base excision repair"	"5.268"
"MicroRNAs in cancer"	"5.257"
"Gastric cancer"	"5.227"
"Viral myocarditis"	"5.224"
"Huntington's disease"	"5.142"
"Alanine, aspartate and glutamate metabolism"	"5.116"
"Rheumatoid arthritis"	"5.059"
"DNA replication"	"5.052"
"Prion diseases"	"5.014"
"Cell cycle"	"4.961"
"D-Glutamine and D-glutamate metabolism"	"4.918"
"Thyroid cancer"	"4.837"
"Synaptic vesicle cycle"	"4.819"
"Caffeine metabolism"	"4.818"
"Influenza A"	"4.747"
"Measles"	"4.736"
"HIF-1 signaling pathway"	"4.647"
"Amphetamine addiction"	"4.635"
"Bile secretion"	"4.528"
"Chemical carcinogenesis"	"4.515"
"Hepatitis B"	"4.494"
"Th17 cell differentiation"	"4.437"
"Phagosome"	"4.315"
"Proximal tubule bicarbonate reclamation"	"4.303"
"Cysteine and methionine metabolism"	"4.3"
"MAPK signaling pathway"	"4.287"
"RNA degradation"	"4.253"
"Endocrine and other factor-regulated calcium reabsorption"	"4.239"
"Vibrio cholerae infection"	"4.039"
"Human papillomavirus infection"	"3.971"
"Colorectal cancer"	"3.903"
"Osteoclast differentiation"	"3.877"
"FoxO signaling pathway"	"3.821"
"NF-kappa B signaling pathway"	"3.708"
"Chemokine signaling pathway"	"3.663"
"Estrogen signaling pathway"	"3.658"
"Sulfur relay system"	"3.593"
"AGE-RAGE signaling pathway in diabetic complications"	"3.531"
"Longevity regulating pathway - multiple species"	"3.5"
"Cytosolic DNA-sensing pathway"	"3.474"
"Sulfur metabolism"	"3.415"
"Central carbon metabolism in cancer"	"3.365"
"C-type lectin receptor signaling pathway"	"3.339"
"Toxoplasmosis"	"3.295"
"African trypanosomiasis"	"3.294"
"Cushing's syndrome"	"3.294"
"B cell receptor signaling pathway"	"3.243"
"Serotonergic synapse"	"3.236"
"Necroptosis"	"3.197"
"Protein processing in endoplasmic reticulum"	"3.179"
"Taurine and hypotaurine metabolism"	"3.154"
"PI3K-Akt signaling pathway"	"3.087"
"Antigen processing and presentation"	"2.966"
"Ferroptosis"	"2.929"
"Tryptophan metabolism"	"2.922"
"Calcium signaling pathway"	"2.913"
"Spliceosome"	"2.886"
"Glycine, serine and threonine metabolism"	"2.881"
"Graft-versus-host disease"	"2.853"
"Dopaminergic synapse"	"2.837"
"Relaxin signaling pathway"	"2.823"
"TGF-beta signaling pathway"	"2.822"
"Endocytosis"	"2.814"
"ABC transporters"	"2.769"
"Vasopressin-regulated water reabsorption"	"2.746"
"Fluid shear stress and atherosclerosis"	"2.744"
"Salmonella infection"	"2.728"
"Non-homologous end-joining"	"2.714"
"GABAergic synapse"	"2.692"
"Nucleotide excision repair"	"2.689"
"Hedgehog signaling pathway"	"2.682"
"Parkinson's disease"	"2.616"
"GnRH signaling pathway"	"2.615"
"Malaria"	"2.602"
"Arginine and proline metabolism"	"2.591"
"Non-alcoholic fatty liver disease (NAFLD)"	"2.531"
"Ovarian steroidogenesis"	"2.527"
"Amoebiasis"	"2.493"
"N-Glycan biosynthesis"	"2.493"
