"ID"	"Pathway"	"Z-score"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"10.499"
"hsa00020"	"Citrate cycle (TCA cycle)"	"9.238"
"hsa00620"	"Pyruvate metabolism"	"8.819"
"hsa00030"	"Pentose phosphate pathway"	"7.503"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"7.177"
"hsa04145"	"Phagosome"	"7.068"
"hsa00500"	"Starch and sucrose metabolism"	"7.015"
"hsa04966"	"Collecting duct acid secretion"	"6.946"
"hsa04922"	"Glucagon signaling pathway"	"6.823"
"hsa00270"	"Cysteine and methionine metabolism"	"6.658"
"hsa00564"	"Glycerophospholipid metabolism"	"6.632"
"hsa00230"	"Purine metabolism"	"6.63"
"hsa00260"	"Glycine, serine and threonine metabolism"	"6.594"
"hsa04210"	"Apoptosis"	"6.535"
"hsa04721"	"Synaptic vesicle cycle"	"6.506"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"6.374"
"hsa00561"	"Glycerolipid metabolism"	"6.302"
"hsa04066"	"HIF-1 signaling pathway"	"6.251"
"hsa04146"	"Peroxisome"	"6.167"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"6.007"
"hsa00051"	"Fructose and mannose metabolism"	"5.944"
"hsa00750"	"Vitamin B6 metabolism"	"5.94"
"hsa04530"	"Tight junction"	"5.894"
"hsa05110"	"Vibrio cholerae infection"	"5.894"
"hsa05230"	"Central carbon metabolism in cancer"	"5.751"
"hsa04218"	"Cellular senescence"	"5.715"
"hsa00052"	"Galactose metabolism"	"5.668"
"hsa00640"	"Propanoate metabolism"	"5.662"
"hsa05130"	"Pathogenic Escherichia coli infection"	"5.617"
"hsa04540"	"Gap junction"	"5.602"
"hsa00480"	"Glutathione metabolism"	"5.486"
"hsa05152"	"Tuberculosis"	"5.48"
"hsa05203"	"Viral carcinogenesis"	"5.478"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"5.46"
"hsa05134"	"Legionellosis"	"5.438"
"hsa00380"	"Tryptophan metabolism"	"5.385"
"hsa00330"	"Arginine and proline metabolism"	"5.366"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"5.34"
"hsa00240"	"Pyrimidine metabolism"	"5.24"
"hsa05034"	"Alcoholism"	"5.149"
"hsa05169"	"Epstein-Barr virus infection"	"5.125"
"hsa03018"	"RNA degradation"	"5.032"
"hsa04217"	"Necroptosis"	"5.002"
"hsa00350"	"Tyrosine metabolism"	"4.984"
"hsa05162"	"Measles"	"4.972"
"hsa04022"	"cGMP-PKG signaling pathway"	"4.948"
"hsa05145"	"Toxoplasmosis"	"4.885"
"hsa05166"	"HTLV-I infection"	"4.861"
"hsa04612"	"Antigen processing and presentation"	"4.829"
"hsa05031"	"Amphetamine addiction"	"4.762"
"hsa05215"	"Prostate cancer"	"4.725"
"hsa03030"	"DNA replication"	"4.672"
"hsa05322"	"Systemic lupus erythematosus"	"4.646"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"4.574"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"4.52"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"4.428"
"hsa05161"	"Hepatitis B"	"4.42"
"hsa04722"	"Neurotrophin signaling pathway"	"4.35"
"hsa04142"	"Lysosome"	"4.343"
"hsa04010"	"MAPK signaling pathway"	"4.275"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"4.259"
"hsa05164"	"Influenza A"	"4.234"
"hsa04931"	"Insulin resistance"	"4.18"
"hsa00220"	"Arginine biosynthesis"	"4.155"
"hsa04625"	"C-type lectin receptor signaling pathway"	"4.128"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"4.038"
"hsa00360"	"Phenylalanine metabolism"	"4.029"
"hsa02010"	"ABC transporters"	"4.005"
"hsa05323"	"Rheumatoid arthritis"	"3.992"
"hsa04720"	"Long-term potentiation"	"3.928"
"hsa00071"	"Fatty acid degradation"	"3.883"
"hsa03050"	"Proteasome"	"3.842"
"hsa04659"	"Th17 cell differentiation"	"3.827"
"hsa04215"	"Apoptosis - multiple species"	"3.781"
"hsa04151"	"PI3K-Akt signaling pathway"	"3.728"
"hsa03410"	"Base excision repair"	"3.665"
"hsa04115"	"p53 signaling pathway"	"3.621"
"hsa04975"	"Fat digestion and absorption"	"3.603"
"hsa04921"	"Oxytocin signaling pathway"	"3.601"
"hsa00190"	"Oxidative phosphorylation"	"3.582"
"hsa00650"	"Butanoate metabolism"	"3.568"
"hsa00410"	"beta-Alanine metabolism"	"3.518"
"hsa00053"	"Ascorbate and aldarate metabolism"	"3.517"
"hsa00340"	"Histidine metabolism"	"3.41"
"hsa04910"	"Insulin signaling pathway"	"3.4"
"hsa00983"	"Drug metabolism - other enzymes"	"3.39"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"3.339"
"hsa04918"	"Thyroid hormone synthesis"	"3.289"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"3.28"
