"ID"	"Pathway"	"Z-score"
"hsa04130"	"SNARE interactions in vesicular transport"	"59.573"
"hsa04144"	"Endocytosis"	"30.663"
"hsa04721"	"Synaptic vesicle cycle"	"27.941"
"hsa04142"	"Lysosome"	"24.444"
"hsa04145"	"Phagosome"	"23.842"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"21.608"
"hsa04640"	"Hematopoietic cell lineage"	"20.868"
"hsa05310"	"Asthma"	"18.415"
"hsa05332"	"Graft-versus-host disease"	"17.022"
"hsa05330"	"Allograft rejection"	"16.436"
"hsa04940"	"Type I diabetes mellitus"	"15.5"
"hsa05320"	"Autoimmune thyroid disease"	"15.363"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"15.251"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"14.006"
"hsa05110"	"Vibrio cholerae infection"	"13.648"
"hsa05323"	"Rheumatoid arthritis"	"13.003"
"hsa04612"	"Antigen processing and presentation"	"11.325"
"hsa05100"	"Bacterial invasion of epithelial cells"	"10.916"
"hsa04966"	"Collecting duct acid secretion"	"10.661"
"hsa05416"	"Viral myocarditis"	"10.416"
"hsa04672"	"Intestinal immune network for IgA production"	"9.89"
"hsa05150"	"Staphylococcus aureus infection"	"9.191"
"hsa05130"	"Pathogenic Escherichia coli infection"	"8.772"
"hsa05134"	"Legionellosis"	"8.141"
"hsa02010"	"ABC transporters"	"7.904"
"hsa04979"	"Cholesterol metabolism"	"7.845"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"7.824"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"7.647"
"hsa04976"	"Bile secretion"	"7.375"
"hsa04010"	"MAPK signaling pathway"	"7.203"
"hsa00562"	"Inositol phosphate metabolism"	"7.199"
"hsa05132"	"Salmonella infection"	"7.051"
"hsa04911"	"Insulin secretion"	"7.033"
"hsa04970"	"Salivary secretion"	"6.819"
"hsa04070"	"Phosphatidylinositol signaling system"	"6.764"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"6.702"
"hsa04913"	"Ovarian steroidogenesis"	"6.697"
"hsa04810"	"Regulation of actin cytoskeleton"	"6.597"
"hsa04150"	"mTOR signaling pathway"	"6.573"
"hsa04658"	"Th1 and Th2 cell differentiation"	"6.521"
"hsa05033"	"Nicotine addiction"	"6.358"
"hsa04540"	"Gap junction"	"6.168"
"hsa05152"	"Tuberculosis"	"6.126"
"hsa04978"	"Mineral absorption"	"5.887"
"hsa05145"	"Toxoplasmosis"	"5.419"
"hsa00510"	"N-Glycan biosynthesis"	"5.125"
"hsa04975"	"Fat digestion and absorption"	"5.077"
"hsa04972"	"Pancreatic secretion"	"4.989"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"4.883"
"hsa04014"	"Ras signaling pathway"	"4.696"
"hsa04977"	"Vitamin digestion and absorption"	"4.678"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"4.604"
"hsa00564"	"Glycerophospholipid metabolism"	"4.466"
"hsa04140"	"Autophagy - animal"	"4.419"
"hsa00190"	"Oxidative phosphorylation"	"4.371"
"hsa05140"	"Leishmaniasis"	"4.177"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"4.013"
"hsa04918"	"Thyroid hormone synthesis"	"3.796"
"hsa05131"	"Shigellosis"	"3.775"
"hsa05340"	"Primary immunodeficiency"	"3.764"
"hsa05164"	"Influenza A"	"3.742"
"hsa04925"	"Aldosterone synthesis and secretion"	"3.732"
"hsa04910"	"Insulin signaling pathway"	"3.657"
"hsa00640"	"Propanoate metabolism"	"3.579"
"hsa04136"	"Autophagy - other"	"3.44"
"hsa04072"	"Phospholipase D signaling pathway"	"3.378"
"hsa04610"	"Complement and coagulation cascades"	"3.301"
"hsa05231"	"Choline metabolism in cancer"	"3.252"
"hsa00100"	"Steroid biosynthesis"	"3.229"
"hsa04659"	"Th17 cell differentiation"	"3.177"
"hsa00270"	"Cysteine and methionine metabolism"	"3.163"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"3.157"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"3.141"
"hsa00511"	"Other glycan degradation"	"3.09"
"hsa04340"	"Hedgehog signaling pathway"	"3.062"
"hsa00620"	"Pyruvate metabolism"	"3.031"
"hsa00020"	"Citrate cycle (TCA cycle)"	"3"
"hsa04971"	"Gastric acid secretion"	"2.922"
"hsa04915"	"Estrogen signaling pathway"	"2.862"
"hsa04213"	"Longevity regulating pathway - multiple species"	"2.729"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"2.654"
"hsa04720"	"Long-term potentiation"	"2.63"
"hsa04974"	"Protein digestion and absorption"	"2.621"
"hsa04740"	"Olfactory transduction"	"2.614"
"hsa00052"	"Galactose metabolism"	"2.497"
"hsa00561"	"Glycerolipid metabolism"	"2.481"
"hsa04727"	"GABAergic synapse"	"2.456"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"2.446"
"hsa00062"	"Fatty acid elongation"	"2.424"
"hsa05166"	"HTLV-I infection"	"2.335"
"hsa00350"	"Tyrosine metabolism"	"2.274"
"hsa04530"	"Tight junction"	"2.248"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"2.182"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"2.108"
"hsa00565"	"Ether lipid metabolism"	"2.03"
"hsa04912"	"GnRH signaling pathway"	"2.013"
"hsa00260"	"Glycine, serine and threonine metabolism"	"1.993"
"hsa04022"	"cGMP-PKG signaling pathway"	"1.981"
"hsa05032"	"Morphine addiction"	"1.976"
"hsa00730"	"Thiamine metabolism"	"1.86"
"hsa05031"	"Amphetamine addiction"	"1.847"
"hsa05205"	"Proteoglycans in cancer"	"1.813"
"hsa04930"	"Type II diabetes mellitus"	"1.801"
