"Pathway"	"Z-score"
"Complement and coagulation cascades"	"36.839"
"Chemokine signaling pathway"	"26.257"
"Focal adhesion"	"23.339"
"Staphylococcus aureus infection"	"23.32"
"Ras signaling pathway"	"22.968"
"Rap1 signaling pathway"	"22.572"
"Pathways in cancer"	"22.49"
"Natural killer cell mediated cytotoxicity"	"21.509"
"Cytokine-cytokine receptor interaction"	"21.239"
"PI3K-Akt signaling pathway"	"21.199"
"Phospholipase D signaling pathway"	"20.928"
"Regulation of actin cytoskeleton"	"20.615"
"Jak-STAT signaling pathway"	"20.33"
"Proteoglycans in cancer"	"19.921"
"T cell receptor signaling pathway"	"19.505"
"ErbB signaling pathway"	"19.069"
"Fc epsilon RI signaling pathway"	"18.875"
"Axon guidance"	"18.771"
"B cell receptor signaling pathway"	"17.654"
"Hematopoietic cell lineage"	"17.532"
"AGE-RAGE signaling pathway in diabetic complications"	"17.459"
"Platelet activation"	"17.411"
"MAPK signaling pathway"	"17.385"
"Osteoclast differentiation"	"16.927"
"Relaxin signaling pathway"	"16.842"
"Cholinergic synapse"	"16.484"
"Fc gamma R-mediated phagocytosis"	"16.456"
"ECM-receptor interaction"	"15.988"
"Toll-like receptor signaling pathway"	"15.95"
"Kaposi's sarcoma-associated herpesvirus infection"	"15.83"
"C-type lectin receptor signaling pathway"	"15.708"
"Hepatitis B"	"15.58"
"Chagas disease (American trypanosomiasis)"	"15.55"
"Pertussis"	"15.359"
"Leukocyte transendothelial migration"	"15.1"
"Neurotrophin signaling pathway"	"15.078"
"Prolactin signaling pathway"	"15.062"
"cAMP signaling pathway"	"14.837"
"Tuberculosis"	"14.795"
"Leishmaniasis"	"14.7"
"Amoebiasis"	"14.635"
"Human papillomavirus infection"	"14.62"
"Hepatitis C"	"14.542"
"Prostate cancer"	"14.455"
"Choline metabolism in cancer"	"14.409"
"Th17 cell differentiation"	"14.176"
"VEGF signaling pathway"	"14.038"
"Neuroactive ligand-receptor interaction"	"14.004"
"Th1 and Th2 cell differentiation"	"13.941"
"Toxoplasmosis"	"13.898"
"Sphingolipid signaling pathway"	"13.873"
"Renal cell carcinoma"	"13.833"
"Glutamatergic synapse"	"13.766"
"Acute myeloid leukemia"	"13.71"
"Graft-versus-host disease"	"13.54"
"Non-small cell lung cancer"	"13.492"
"Chronic myeloid leukemia"	"13.387"
"TNF signaling pathway"	"13.294"
"Taste transduction"	"13.248"
"Melanoma"	"13.13"
"Pancreatic cancer"	"13.04"
"Glioma"	"13.009"
"NF-kappa B signaling pathway"	"12.825"
"Serotonergic synapse"	"12.543"
"Allograft rejection"	"12.451"
"MicroRNAs in cancer"	"12.443"
"Gastric cancer"	"12.145"
"GnRH signaling pathway"	"12.135"
"Estrogen signaling pathway"	"11.859"
"Type I diabetes mellitus"	"11.812"
"Breast cancer"	"11.532"
"Malaria"	"11.51"
"Inflammatory bowel disease (IBD)"	"11.401"
"Colorectal cancer"	"11.27"
"Bacterial invasion of epithelial cells"	"11.25"
"Apoptosis"	"11.244"
"Small cell lung cancer"	"11.088"
"Circadian entrainment"	"11.041"
"Regulation of lipolysis in adipocytes"	"11.027"
"NOD-like receptor signaling pathway"	"11.005"
"Apelin signaling pathway"	"10.976"
"Endometrial cancer"	"10.937"
"Intestinal immune network for IgA production"	"10.928"
"Autoimmune thyroid disease"	"10.872"
"Hepatocellular carcinoma"	"10.809"
"Morphine addiction"	"10.799"
"Autophagy - animal"	"10.539"
"Measles"	"10.385"
"Cell adhesion molecules (CAMs)"	"10.331"
"Long-term depression"	"10.31"
"Asthma"	"10.241"
"IL-17 signaling pathway"	"10.163"
"Type II diabetes mellitus"	"10.099"
"Apoptosis - multiple species"	"9.68"
"Melanogenesis"	"9.629"
"Prion diseases"	"9.612"
"Retrograde endocannabinoid signaling"	"9.441"
"Adherens junction"	"9.406"
"Bladder cancer"	"9.37"
"Inflammatory mediator regulation of TRP channels"	"9.345"
"Salmonella infection"	"9.268"
"Oxytocin signaling pathway"	"9.091"
"FoxO signaling pathway"	"9.081"
"HIF-1 signaling pathway"	"9.03"
"Insulin resistance"	"8.959"
"Adipocytokine signaling pathway"	"8.958"
"Influenza A"	"8.924"
"Shigellosis"	"8.844"
"Aldosterone-regulated sodium reabsorption"	"8.809"
"Long-term potentiation"	"8.706"
"African trypanosomiasis"	"8.621"
"HTLV-I infection"	"8.599"
"Thyroid hormone signaling pathway"	"8.515"
"Epithelial cell signaling in Helicobacter pylori infection"	"8.387"
"RIG-I-like receptor signaling pathway"	"8.386"
"Signaling pathways regulating pluripotency of stem cells"	"8.338"
"Insulin signaling pathway"	"8.253"
"Viral myocarditis"	"8.186"
"Central carbon metabolism in cancer"	"8.173"
"Fluid shear stress and atherosclerosis"	"8.001"
"Non-alcoholic fatty liver disease (NAFLD)"	"7.999"
"Cushing's syndrome"	"7.949"
"GABAergic synapse"	"7.726"
"Vascular smooth muscle contraction"	"7.703"
"Rheumatoid arthritis"	"7.642"
"mTOR signaling pathway"	"7.606"
"cGMP-PKG signaling pathway"	"7.407"
"Pancreatic secretion"	"7.314"
"Alzheimer's disease"	"7.277"
