"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0006958"	"complement activation, classical pathway"	"40.962"	"1.373070209023182E-9"
"GO:0006956"	"complement activation"	"40.201"	"3.337537127564202E-13"
"GO:0030449"	"regulation of complement activation"	"37.156"	"3.119622039440895E-12"
"GO:0050853"	"B cell receptor signaling pathway"	"25.974"	NA
"GO:0050871"	"positive regulation of B cell activation"	"25.898"	NA
"GO:0006910"	"phagocytosis, recognition"	"25.881"	NA
"GO:0006955"	"immune response"	"25.502"	"3.211322576441027E-25"
"GO:0007165"	"signal transduction"	"24.901"	"1.3716525273751802E-15"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"24.328"	"0.009504278189458613"
"GO:0050900"	"leukocyte migration"	"24.079"	"3.6888299713452605E-10"
