"Pathway"	"Z-score"
"Dilated cardiomyopathy (DCM) - Homo sapiens (human)"	"41.149"
"Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)"	"40.821"
"Cardiac muscle contraction - Homo sapiens (human)"	"33.742"
"Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"	"23.79"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)"	"21.425"
"Focal adhesion - Homo sapiens (human)"	"21.026"
"Regulation of actin cytoskeleton - Homo sapiens (human)"	"20.011"
"Vascular smooth muscle contraction - Homo sapiens (human)"	"18.168"
"ECM-receptor interaction - Homo sapiens (human)"	"17.623"
"Oxytocin signaling pathway - Homo sapiens (human)"	"17.465"
"Apelin signaling pathway - Homo sapiens (human)"	"14.286"
"Tight junction - Homo sapiens (human)"	"14.152"
"Leukocyte transendothelial migration - Homo sapiens (human)"	"13.792"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"13.583"
"Aldosterone synthesis and secretion - Homo sapiens (human)"	"12.7"
"Long-term potentiation - Homo sapiens (human)"	"12.389"
"Gastric acid secretion - Homo sapiens (human)"	"12.296"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"12.183"
"Amphetamine addiction - Homo sapiens (human)"	"12.171"
"Circadian entrainment - Homo sapiens (human)"	"12.009"
"Salivary secretion - Homo sapiens (human)"	"11.633"
"Platelet activation - Homo sapiens (human)"	"11.459"
"Glucagon signaling pathway - Homo sapiens (human)"	"11.018"
"Insulin signaling pathway - Homo sapiens (human)"	"10.406"
"Inflammatory mediator regulation of TRP channels - Homo sapiens (human)"	"10.381"
"Proteoglycans in cancer - Homo sapiens (human)"	"10.212"
"Amoebiasis - Homo sapiens (human)"	"9.99"
"Rap1 signaling pathway - Homo sapiens (human)"	"9.95"
"Renin secretion - Homo sapiens (human)"	"9.787"
"Calcium signaling pathway - Homo sapiens (human)"	"9.782"
"GnRH signaling pathway - Homo sapiens (human)"	"9.653"
"Vibrio cholerae infection - Homo sapiens (human)"	"9.019"
"Bacterial invasion of epithelial cells - Homo sapiens (human)"	"8.59"
"Dopaminergic synapse - Homo sapiens (human)"	"8.534"
"Human papillomavirus infection - Homo sapiens (human)"	"8.463"
"Ras signaling pathway - Homo sapiens (human)"	"8.356"
"cAMP signaling pathway - Homo sapiens (human)"	"8.296"
"Melanogenesis - Homo sapiens (human)"	"8.284"
"Alzheimer,s disease - Homo sapiens (human)"	"8.167"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"8.094"
"Pyruvate metabolism - Homo sapiens (human)"	"7.999"
"Salmonella infection - Homo sapiens (human)"	"7.823"
"Thyroid hormone synthesis - Homo sapiens (human)"	"7.8"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"7.703"
"Phosphatidylinositol signaling system - Homo sapiens (human)"	"7.584"
"Glioma - Homo sapiens (human)"	"7.491"
"Prion diseases - Homo sapiens (human)"	"7.469"
"Protein digestion and absorption - Homo sapiens (human)"	"7.445"
"Viral myocarditis - Homo sapiens (human)"	"7.416"
"Estrogen signaling pathway - Homo sapiens (human)"	"7.283"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"7.274"
"Relaxin signaling pathway - Homo sapiens (human)"	"7.269"
"Cholinergic synapse - Homo sapiens (human)"	"7.103"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"7.06"
"Thyroid hormone signaling pathway - Homo sapiens (human)"	"7.054"
"Insulin secretion - Homo sapiens (human)"	"6.998"
"Adherens junction - Homo sapiens (human)"	"6.949"
"Glutamatergic synapse - Homo sapiens (human)"	"6.912"
"Oocyte meiosis - Homo sapiens (human)"	"6.807"
"Axon guidance - Homo sapiens (human)"	"6.654"
"Pancreatic secretion - Homo sapiens (human)"	"6.5"
"Olfactory transduction - Homo sapiens (human)"	"6.447"
"Fc gamma R-mediated phagocytosis - Homo sapiens (human)"	"6.353"
"Choline metabolism in cancer - Homo sapiens (human)"	"6.321"
"Pathways in cancer - Homo sapiens (human)"	"6.303"
"VEGF signaling pathway - Homo sapiens (human)"	"6.266"
"Phototransduction - Homo sapiens (human)"	"6.187"
"Collecting duct acid secretion - Homo sapiens (human)"	"6.136"
"Pertussis - Homo sapiens (human)"	"6.101"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"6.095"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"5.954"
"Aldosterone-regulated sodium reabsorption - Homo sapiens (human)"	"5.941"
"Arginine and proline metabolism - Homo sapiens (human)"	"5.86"
"Long-term depression - Homo sapiens (human)"	"5.825"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"5.814"
"Type II diabetes mellitus - Homo sapiens (human)"	"5.793"
"MicroRNAs in cancer - Homo sapiens (human)"	"5.62"
"Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)"	"5.499"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"5.465"
"Arginine biosynthesis - Homo sapiens (human)"	"5.455"
"Fructose and mannose metabolism - Homo sapiens (human)"	"5.414"
"Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)"	"5.169"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"5.085"
"Shigellosis - Homo sapiens (human)"	"5.039"
"Cellular senescence - Homo sapiens (human)"	"5.029"
"Tuberculosis - Homo sapiens (human)"	"5.022"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"5.006"
"Pentose phosphate pathway - Homo sapiens (human)"	"4.978"
"HIF-1 signaling pathway - Homo sapiens (human)"	"4.87"
"Alcoholism - Homo sapiens (human)"	"4.863"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"4.806"
"Propanoate metabolism - Homo sapiens (human)"	"4.802"
"Longevity regulating pathway - Homo sapiens (human)"	"4.783"
"MAPK signaling pathway - Homo sapiens (human)"	"4.782"
"Tryptophan metabolism - Homo sapiens (human)"	"4.778"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"4.761"
