"ID"	"Pathway"	"Z-score"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"41.149"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"40.821"
"hsa04260"	"Cardiac muscle contraction"	"33.742"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"23.79"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"21.425"
"hsa04510"	"Focal adhesion"	"21.026"
"hsa04810"	"Regulation of actin cytoskeleton"	"20.011"
"hsa04270"	"Vascular smooth muscle contraction"	"18.168"
"hsa04512"	"ECM-receptor interaction"	"17.623"
"hsa04921"	"Oxytocin signaling pathway"	"17.465"
"hsa04371"	"Apelin signaling pathway"	"14.286"
"hsa04530"	"Tight junction"	"14.152"
"hsa04670"	"Leukocyte transendothelial migration"	"13.792"
"hsa04022"	"cGMP-PKG signaling pathway"	"13.583"
"hsa04925"	"Aldosterone synthesis and secretion"	"12.7"
"hsa04720"	"Long-term potentiation"	"12.389"
"hsa04971"	"Gastric acid secretion"	"12.296"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"12.183"
"hsa05031"	"Amphetamine addiction"	"12.171"
"hsa04713"	"Circadian entrainment"	"12.009"
"hsa04970"	"Salivary secretion"	"11.633"
"hsa04611"	"Platelet activation"	"11.459"
"hsa04922"	"Glucagon signaling pathway"	"11.018"
"hsa04910"	"Insulin signaling pathway"	"10.406"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"10.381"
"hsa05205"	"Proteoglycans in cancer"	"10.212"
"hsa05146"	"Amoebiasis"	"9.99"
"hsa04015"	"Rap1 signaling pathway"	"9.95"
"hsa04924"	"Renin secretion"	"9.787"
"hsa04020"	"Calcium signaling pathway"	"9.782"
"hsa04912"	"GnRH signaling pathway"	"9.653"
"hsa05110"	"Vibrio cholerae infection"	"9.019"
"hsa05100"	"Bacterial invasion of epithelial cells"	"8.59"
"hsa04728"	"Dopaminergic synapse"	"8.534"
"hsa05165"	"Human papillomavirus infection"	"8.463"
"hsa04014"	"Ras signaling pathway"	"8.356"
"hsa04024"	"cAMP signaling pathway"	"8.296"
"hsa04916"	"Melanogenesis"	"8.284"
"hsa05010"	"Alzheimer,s disease"	"8.167"
"hsa04151"	"PI3K-Akt signaling pathway"	"8.094"
"hsa00620"	"Pyruvate metabolism"	"7.999"
"hsa05132"	"Salmonella infection"	"7.823"
"hsa04918"	"Thyroid hormone synthesis"	"7.8"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"7.703"
"hsa04070"	"Phosphatidylinositol signaling system"	"7.584"
"hsa05214"	"Glioma"	"7.491"
"hsa05020"	"Prion diseases"	"7.469"
"hsa04974"	"Protein digestion and absorption"	"7.445"
"hsa05416"	"Viral myocarditis"	"7.416"
"hsa04915"	"Estrogen signaling pathway"	"7.283"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"7.274"
"hsa04926"	"Relaxin signaling pathway"	"7.269"
"hsa04725"	"Cholinergic synapse"	"7.103"
"hsa00260"	"Glycine, serine and threonine metabolism"	"7.06"
"hsa04919"	"Thyroid hormone signaling pathway"	"7.054"
"hsa04911"	"Insulin secretion"	"6.998"
"hsa04520"	"Adherens junction"	"6.949"
"hsa04724"	"Glutamatergic synapse"	"6.912"
"hsa04114"	"Oocyte meiosis"	"6.807"
"hsa04360"	"Axon guidance"	"6.654"
"hsa04972"	"Pancreatic secretion"	"6.5"
"hsa04740"	"Olfactory transduction"	"6.447"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"6.353"
"hsa05231"	"Choline metabolism in cancer"	"6.321"
"hsa05200"	"Pathways in cancer"	"6.303"
"hsa04370"	"VEGF signaling pathway"	"6.266"
"hsa04744"	"Phototransduction"	"6.187"
"hsa04966"	"Collecting duct acid secretion"	"6.136"
"hsa05133"	"Pertussis"	"6.101"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"6.095"
"hsa00270"	"Cysteine and methionine metabolism"	"5.954"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"5.941"
"hsa00330"	"Arginine and proline metabolism"	"5.86"
"hsa04730"	"Long-term depression"	"5.825"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"5.814"
"hsa04930"	"Type II diabetes mellitus"	"5.793"
"hsa05206"	"MicroRNAs in cancer"	"5.62"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"5.499"
"hsa00020"	"Citrate cycle (TCA cycle)"	"5.465"
"hsa00220"	"Arginine biosynthesis"	"5.455"
"hsa00051"	"Fructose and mannose metabolism"	"5.414"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"5.169"
"hsa04625"	"C-type lectin receptor signaling pathway"	"5.085"
"hsa05131"	"Shigellosis"	"5.039"
"hsa04218"	"Cellular senescence"	"5.029"
"hsa05152"	"Tuberculosis"	"5.022"
"hsa04722"	"Neurotrophin signaling pathway"	"5.006"
"hsa00030"	"Pentose phosphate pathway"	"4.978"
"hsa04066"	"HIF-1 signaling pathway"	"4.87"
"hsa05034"	"Alcoholism"	"4.863"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"4.806"
"hsa00640"	"Propanoate metabolism"	"4.802"
"hsa04211"	"Longevity regulating pathway"	"4.783"
"hsa04010"	"MAPK signaling pathway"	"4.782"
"hsa00380"	"Tryptophan metabolism"	"4.778"
"hsa05130"	"Pathogenic Escherichia coli infection"	"4.761"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"4.761"
"hsa05033"	"Nicotine addiction"	"4.706"
"hsa04931"	"Insulin resistance"	"4.683"
"hsa04726"	"Serotonergic synapse"	"4.624"
"hsa04721"	"Synaptic vesicle cycle"	"4.553"
"hsa05032"	"Morphine addiction"	"4.524"
"hsa05230"	"Central carbon metabolism in cancer"	"4.52"
"hsa04068"	"FoxO signaling pathway"	"4.514"
"hsa04927"	"Cortisol synthesis and secretion"	"4.508"
"hsa04975"	"Fat digestion and absorption"	"4.473"
"hsa04973"	"Carbohydrate digestion and absorption"	"4.376"
"hsa00071"	"Fatty acid degradation"	"4.282"
"hsa04012"	"ErbB signaling pathway"	"4.188"
"hsa04213"	"Longevity regulating pathway - multiple species"	"4.151"
"hsa00350"	"Tyrosine metabolism"	"4.119"
"hsa04664"	"Fc epsilon RI signaling pathway"	"4.055"
"hsa04150"	"mTOR signaling pathway"	"4.03"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"3.967"
"hsa04923"	"Regulation of lipolysis in adipocytes"	"3.954"
"hsa04390"	"Hippo signaling pathway"	"3.923"
"hsa05215"	"Prostate cancer"	"3.882"
"hsa00500"	"Starch and sucrose metabolism"	"3.859"
"hsa00450"	"Selenocompound metabolism"	"3.837"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"3.83"
"hsa05030"	"Cocaine addiction"	"3.803"
"hsa04913"	"Ovarian steroidogenesis"	"3.753"
"hsa00360"	"Phenylalanine metabolism"	"3.753"
"hsa04140"	"Autophagy - animal"	"3.697"
"hsa04976"	"Bile secretion"	"3.693"
"hsa04145"	"Phagosome"	"3.663"
"hsa00340"	"Histidine metabolism"	"3.605"
"hsa04062"	"Chemokine signaling pathway"	"3.579"
"hsa04727"	"GABAergic synapse"	"3.573"
"hsa04917"	"Prolactin signaling pathway"	"3.56"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"3.546"
"hsa05323"	"Rheumatoid arthritis"	"3.457"
"hsa00514"	"Other types of O-glycan biosynthesis"	"3.4"
"hsa04071"	"Sphingolipid signaling pathway"	"3.4"
"hsa00410"	"beta-Alanine metabolism"	"3.391"
"hsa04072"	"Phospholipase D signaling pathway"	"3.386"
"hsa00052"	"Galactose metabolism"	"3.354"
"hsa04144"	"Endocytosis"	"3.31"
"hsa05225"	"Hepatocellular carcinoma"	"3.19"
"hsa05223"	"Non-small cell lung cancer"	"3.186"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"3.146"
"hsa04978"	"Mineral absorption"	"3.076"
"hsa05218"	"Melanoma"	"3.075"
"hsa05145"	"Toxoplasmosis"	"3.025"
"hsa04934"	"Cushing,s syndrome"	"2.988"
"hsa04540"	"Gap junction"	"2.898"
"hsa00650"	"Butanoate metabolism"	"2.87"
"hsa05211"	"Renal cell carcinoma"	"2.8"
"hsa04723"	"Retrograde endocannabinoid signaling"	"2.798"
"hsa00900"	"Terpenoid backbone biosynthesis"	"2.769"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"2.735"
"hsa04714"	"Thermogenesis"	"2.713"
"hsa05210"	"Colorectal cancer"	"2.678"
"hsa00190"	"Oxidative phosphorylation"	"2.671"
"hsa05143"	"African trypanosomiasis"	"2.527"
"hsa00670"	"One carbon pool by folate"	"2.517"
"hsa04330"	"Notch signaling pathway"	"2.404"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"2.401"
"hsa05213"	"Endometrial cancer"	"2.383"
"hsa05161"	"Hepatitis B"	"2.351"
"hsa00561"	"Glycerolipid metabolism"	"2.334"
"hsa00310"	"Lysine degradation"	"2.32"
"hsa04350"	"TGF-beta signaling pathway"	"2.293"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"2.266"
"hsa04217"	"Necroptosis"	"2.238"
"hsa04142"	"Lysosome"	"2.227"
"hsa05216"	"Thyroid cancer"	"2.217"
"hsa00430"	"Taurine and hypotaurine metabolism"	"2.143"
"hsa04660"	"T cell receptor signaling pathway"	"2.087"
"hsa00983"	"Drug metabolism - other enzymes"	"2.08"
"hsa00562"	"Inositol phosphate metabolism"	"2.03"
"hsa05226"	"Gastric cancer"	"2.029"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"1.88"
"hsa05222"	"Small cell lung cancer"	"1.835"
"hsa05144"	"Malaria"	"1.802"
"hsa05203"	"Viral carcinogenesis"	"1.759"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"1.75"
"hsa04612"	"Antigen processing and presentation"	"1.643"
"hsa04115"	"p53 signaling pathway"	"1.643"
"hsa05220"	"Chronic myeloid leukemia"	"1.53"
"hsa00730"	"Thiamine metabolism"	"1.421"
"hsa04662"	"B cell receptor signaling pathway"	"1.393"
"hsa04977"	"Vitamin digestion and absorption"	"1.357"
"hsa00480"	"Glutathione metabolism"	"1.355"
"hsa05224"	"Breast cancer"	"1.349"
"hsa05166"	"HTLV-I infection"	"1.311"
"hsa04380"	"Osteoclast differentiation"	"1.294"
"hsa04979"	"Cholesterol metabolism"	"1.293"
"hsa00750"	"Vitamin B6 metabolism"	"1.226"
"hsa04146"	"Peroxisome"	"1.207"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"1.202"
"hsa00053"	"Ascorbate and aldarate metabolism"	"1.15"
"hsa05219"	"Bladder cancer"	"1.09"
"hsa00564"	"Glycerophospholipid metabolism"	"1.089"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"1.075"
"hsa04210"	"Apoptosis"	"0.917"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"0.912"
"hsa00061"	"Fatty acid biosynthesis"	"0.878"
"hsa05012"	"Parkinson,s disease"	"0.862"
"hsa04392"	"Hippo signaling pathway - multiple species"	"0.857"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"0.839"
"hsa00780"	"Biotin metabolism"	"0.823"
"hsa05016"	"Huntington,s disease"	"0.808"
"hsa03022"	"Basal transcription factors"	"0.766"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"0.721"
"hsa04152"	"AMPK signaling pathway"	"0.719"
"hsa05221"	"Acute myeloid leukemia"	"0.697"
"hsa05212"	"Pancreatic cancer"	"0.69"
"hsa00062"	"Fatty acid elongation"	"0.675"
"hsa00230"	"Purine metabolism"	"0.651"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"0.644"
"hsa00040"	"Pentose and glucuronate interconversions"	"0.586"
"hsa04310"	"Wnt signaling pathway"	"0.577"
"hsa04630"	"Jak-STAT signaling pathway"	"0.507"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"0.497"
"hsa03320"	"PPAR signaling pathway"	"0.454"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"0.391"
"hsa04920"	"Adipocytokine signaling pathway"	"0.275"
"hsa03050"	"Proteasome"	"0.223"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"0.21"
"hsa04659"	"Th17 cell differentiation"	"0.121"
"hsa04742"	"Taste transduction"	"0.111"
"hsa02010"	"ABC transporters"	"0.102"
"hsa00511"	"Other glycan degradation"	"0.045"
"hsa04110"	"Cell cycle"	"0"
"hsa05169"	"Epstein-Barr virus infection"	"-0.077"
"hsa05140"	"Leishmaniasis"	"-0.156"
"hsa00785"	"Lipoic acid metabolism"	"-0.164"
"hsa04614"	"Renin-angiotensin system"	"-0.204"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.214"
"hsa00510"	"N-Glycan biosynthesis"	"-0.22"
"hsa05134"	"Legionellosis"	"-0.226"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"-0.227"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"-0.308"
"hsa00592"	"alpha-Linolenic acid metabolism"	"-0.333"
"hsa00590"	"Arachidonic acid metabolism"	"-0.358"
"hsa04657"	"IL-17 signaling pathway"	"-0.422"
"hsa00790"	"Folate biosynthesis"	"-0.471"
"hsa00100"	"Steroid biosynthesis"	"-0.48"
"hsa00740"	"Riboflavin metabolism"	"-0.501"
"hsa04340"	"Hedgehog signaling pathway"	"-0.521"
"hsa04621"	"NOD-like receptor signaling pathway"	"-0.541"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.555"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"-0.57"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"-0.612"
"hsa05164"	"Influenza A"	"-0.65"
"hsa00830"	"Retinol metabolism"	"-0.66"
"hsa04620"	"Toll-like receptor signaling pathway"	"-0.675"
"hsa04668"	"TNF signaling pathway"	"-0.709"
"hsa03450"	"Non-homologous end-joining"	"-0.711"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"-0.867"
"hsa05160"	"Hepatitis C"	"-0.87"
"hsa03018"	"RNA degradation"	"-0.879"
"hsa04122"	"Sulfur relay system"	"-0.902"
"hsa00232"	"Caffeine metabolism"	"-0.908"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"-0.992"
"hsa05162"	"Measles"	"-1.017"
"hsa03030"	"DNA replication"	"-1.021"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"-1.072"
"hsa04216"	"Ferroptosis"	"-1.084"
"hsa05204"	"Chemical carcinogenesis"	"-1.11"
