Set	BP1	BP2	BP3	CC1	CC2	CC3	MF1	MF2	MF3	KEGG1	KEGG2	KEGG3
HALLMARK_ADIPOGENESIS	0.073735285	0.069327341	0.0614063	0.128360643	0.123541733	0.09473433	0.070924806	0.053359317	0.046982713	0.104193181	0.103682787	0.077387581
HALLMARK_ALLOGRAFT_REJECTION	0.322011878	0.317835932	0.281704051	0.285111093	0.281346113	0.267505833	0.262169901	0.189488546	0.161072224	0.297459964	0.283255117	0.282598897
HALLMARK_ANDROGEN_RESPONSE	0.044231891	0.038776647	0.038710362	0.012667038	0.01239527	0.009432336	0.038710362	0.03530332	0.029967388	0.019984887	0.008305494	0.005190105
HALLMARK_ANGIOGENESIS	0.168913724	0.089815993	0.085321879	0.108110616	0.103165765	0.074862127	0.114732474	0.071183317	0.062506628	0.097047672	0.09214922	0.087615336
HALLMARK_APICAL_JUNCTION	0.190920299	0.164711263	0.158884823	0.219389649	0.167899565	0.154795047	0.207756655	0.199384876	0.180062838	0.237849984	0.209142009	0.178326175
HALLMARK_APICAL_SURFACE	0.045497932	0.022165659	0.013641425	0.060995334	0.028754375	0.004321773	0.109834023	0.049713649	0.036602503	0.031790222	0.020873104	0.009094284
HALLMARK_APOPTOSIS	0.131601973	0.123886414	0.110185332	0.083439389	0.075365892	0.072489129	0.138078004	0.111676742	0.099844893	0.178186976	0.149399459	0.146907148
HALLMARK_BILE_ACID_METABOLISM	0.217447502	0.198019408	0.197760897	0.236928624	0.121400732	0.119451957	0.298235497	0.281306342	0.275440132	0.130892725	0.124602291	0.09753818
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.028350037	0.028058384	0.013555255	0.027939071	0.027866158	0.021270813	0.021191272	0.015808941	0.009346166	0.063189363	0.015159349	0.007689044
HALLMARK_COAGULATION	0.267923428	0.246652614	0.24343117	0.252465797	0.241601707	0.225269117	0.307164068	0.191728974	0.111093435	0.368789108	0.234317001	0.12096988
HALLMARK_COMPLEMENT	0.223061831	0.218017552	0.197833811	0.240488122	0.157864036	0.145422367	0.19074133	0.12911629	0.117721922	0.19573258	0.125589935	0.106248011
HALLMARK_DNA_REPAIR	0.504149433	0.498694188	0.432840174	0.342301676	0.327612949	0.286151766	0.274936367	0.257993955	0.248415792	0.464842507	0.39628407	0.267963199
HALLMARK_E2F_TARGETS	0.266842984	0.210779245	0.183927246	0.250709248	0.162424435	0.159799555	0.14037146	0.104776487	0.093541203	0.194817849	0.178173719	0.167117404
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.393367536	0.238678545	0.21999947	0.416732952	0.401593488	0.250039771	0.43403993	0.291017075	0.220768374	0.368086488	0.230538763	0.209175151
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.109608654	0.08996182	0.064667515	0.04059948	0.034965267	0.034037279	0.093488175	0.069612366	0.059331583	0.096026885	0.08742311	0.081934723
HALLMARK_ESTROGEN_RESPONSE_LATE	0.058675363	0.057807031	0.055500318	0.088324584	0.058827818	0.039446124	0.060948934	0.051152031	0.041162902	0.105220596	0.098658394	0.069519567
HALLMARK_FATTY_ACID_METABOLISM	0.103517075	0.100057005	0.099957578	0.169583201	0.138409428	0.113764715	0.125338053	0.080085375	0.069340598	0.150307562	0.094727702	0.09385937
HALLMARK_G2M_CHECKPOINT	0.228788843	0.162643175	0.123826758	0.248740588	0.164300297	0.157042104	0.104584261	0.094011825	0.07195885	0.185279457	0.090763867	0.079415898
HALLMARK_GLYCOLYSIS	0.291189416	0.190986584	0.183774791	0.148855923	0.133159667	0.10726217	0.22078826	0.175270442	0.125596564	0.289273783	0.166951692	0.140344946
HALLMARK_HEDGEHOG_SIGNALING	0.164386467	0.099016333	0.097027787	0.138124403	0.030676636	0.025426875	0.138124403	0.051980592	0.046379521	0.084314349	0.061333386	0.052437957
HALLMARK_HEME_METABOLISM	0.055042953	0.035919769	0.030676636	0.031896277	0.019056899	0.01804274	0.041660038	0.018871301	0.013946336	0.018254852	0.007112366	1.3257E-05
HALLMARK_HYPOXIA	0.187579542	0.15132172	0.149982766	0.098969933	0.07165394	0.050906777	0.129852052	0.103689416	0.0971007	0.206311645	0.188282161	0.054863983
