Set	BPob1	CCob1	Mfob1	BPob2	CCob2	MFob2	BPob3	BPob3	MFob3	KEGGob1	KEGGob2	KEGGob3
HALLMARK_ADIPOGENESIS	2.475671188	3.612677918	2.45484486	2.542825427	3.162265614	2.139879086	3.047664195	3.047664195	1.740362689	2.92788341	2.846337112	2.931966115
HALLMARK_ALLOGRAFT_REJECTION	3.054613055	3.884058647	2.465382851	3.144262774	2.392696953	2.170261715	2.857935265	2.857935265	2.595496222	2.614897216	2.572871602	2.574031268
HALLMARK_ANDROGEN_RESPONSE	1.505149978	3.590284404	1.431363764	1.431363764	2.862727528	1.462397998	1.431363764	1.431363764	3.88286592	2.541579244	2.753583059	2.804820679
HALLMARK_ANGIOGENESIS	2.909020854	3.207634367	2.517195898	2.439332694	2.775974331	2.167317335	2.235528447	2.235528447	1.929418926	2.356025857	2.489958479	2.008600172
HALLMARK_APICAL_JUNCTION	3.160168293	3.909449047	3.097604329	2.980911938	3.458939862	2.942504106	3.046495164	3.046495164	3.082066934	3.245512668	3.220631019	3.164650216
HALLMARK_APICAL_SURFACE	2.298853076	3.243038049	1.799340549	2.245512668	2.720985744	1.414973348	1.954242509	1.954242509	1.924279286	2.330413773	2.181843588	2.068185862
HALLMARK_APOPTOSIS	2.72427587	2.017033339	2.152288344	3.256717746	1.826074803	1.973127854	2.382017043	2.382017043	2.117271296	2.557507202	3.120244796	3.437750563
HALLMARK_BILE_ACID_METABOLISM	2.056904851	2.408239965	2.278753601	1.959041392	1.633468456	2.545307116	2.037426498	2.037426498	2.53529412	2.11058971	2.243038049	2.11058971
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.522444234	3.372912003	1.113943352	1.51851394	2.823474229	2.021189299	1.908485019	1.908485019	1	1.740362689	1.113943352	2.530199698
HALLMARK_COAGULATION	2.507855872	3.356025857	2.621176282	2.352182518	2.653212514	2.389166084	2.440909082	2.440909082	2.514547753	2.6599162	2.491361694	2.8162413
HALLMARK_COMPLEMENT	2.571708832	3.86284666	2.646403726	2.46686762	3.497067936	2.322219295	2.595496222	2.595496222	2.181843588	2.622214023	3.07114529	3.023663918
HALLMARK_DNA_REPAIR	3.307709923	3.08170727	2.788168371	3.331022171	2.738780558	2.833147112	3.505556939	3.505556939	3.015359755	3.206556044	3.124830149	3.12515583
HALLMARK_E2F_TARGETS	3.353531559	3.189770956	3.043362278	3.610553705	3.211654401	3.085647288	3.409595019	3.409595019	2.367355921	2.913813852	2.88536122	3.459693976
