"Pathway"	"zscore"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"50.951"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"32.497"
"Glycolysis / Gluconeogenesis"	"28.483"
"Pyruvate metabolism"	"21.925"
"Citrate cycle (TCA cycle)"	"20.26"
"Starch and sucrose metabolism"	"19.055"
"Cysteine and methionine metabolism"	"18.822"
"Glycine, serine and threonine metabolism"	"18.449"
"Propanoate metabolism"	"18.112"
"Aminoacyl-tRNA biosynthesis"	"17.933"
"Valine, leucine and isoleucine degradation"	"17.012"
"Amino sugar and nucleotide sugar metabolism"	"16.929"
"Galactose metabolism"	"16.583"
"Fructose and mannose metabolism"	"16.444"
"Glyoxylate and dicarboxylate metabolism"	"16.134"
"Pentose phosphate pathway"	"15.688"
"Proteasome"	"15.386"
"Glucagon signaling pathway"	"15.123"
"Phagosome"	"14.974"
"Pathogenic Escherichia coli infection"	"14.569"
"Insulin signaling pathway"	"12.661"
"Gap junction"	"12.404"
"Synthesis and degradation of ketone bodies"	"12.274"
"Tryptophan metabolism"	"12.063"
"Arginine and proline metabolism"	"11.887"
"Fatty acid degradation"	"11.755"
"Vibrio cholerae infection"	"11.716"
"Central carbon metabolism in cancer"	"11.541"
"Terpenoid backbone biosynthesis"	"11.51"
"Valine, leucine and isoleucine biosynthesis"	"10.646"
"Glutathione metabolism"	"10.367"
"Oxidative phosphorylation"	"10.249"
"Purine metabolism"	"10.192"
"HIF-1 signaling pathway"	"10.094"
"Butanoate metabolism"	"9.853"
"Tight junction"	"9.813"
"Alanine, aspartate and glutamate metabolism"	"9.743"
"Cholesterol metabolism"	"9.62"
"Fat digestion and absorption"	"9.502"
"Parkinson's disease"	"9.421"
"Pyrimidine metabolism"	"9.405"
"Glycerolipid metabolism"	"9.383"
"Legionellosis"	"9.268"
"Peroxisome"	"9.256"
"Collecting duct acid secretion"	"9.232"
"Protein processing in endoplasmic reticulum"	"9.227"
"Pantothenate and CoA biosynthesis"	"8.886"
"Neomycin, kanamycin and gentamicin biosynthesis"	"8.812"
"Prion diseases"	"8.786"
"Drug metabolism - other enzymes"	"8.712"
"One carbon pool by folate"	"8.624"
"Longevity regulating pathway - multiple species"	"8.458"
"Glycosaminoglycan degradation"	"8.423"
"Lysine degradation"	"8.286"
"Histidine metabolism"	"8.068"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"8.036"
"Mannose type O-glycan biosynthesis"	"8.027"
"Antigen processing and presentation"	"7.836"
"Tyrosine metabolism"	"7.766"
"Fluid shear stress and atherosclerosis"	"7.689"
"Phenylalanine metabolism"	"7.615"
"RNA degradation"	"7.558"
"Insulin resistance"	"7.462"
"beta-Alanine metabolism"	"7.379"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"7.303"
"Epstein-Barr virus infection"	"7.147"
"Oocyte meiosis"	"7.001"
"Arginine biosynthesis"	"6.977"
"Necroptosis"	"6.703"
"mTOR signaling pathway"	"6.462"
"Type II diabetes mellitus"	"6.333"
"Vasopressin-regulated water reabsorption"	"6.319"
"Synaptic vesicle cycle"	"6.28"
"Pentose and glucuronate interconversions"	"6.27"
"AMPK signaling pathway"	"6.24"
"Oxytocin signaling pathway"	"6.015"
"Proteoglycans in cancer"	"5.875"
"Ascorbate and aldarate metabolism"	"5.872"
"Epithelial cell signaling in Helicobacter pylori infection"	"5.846"
"Cellular senescence"	"5.791"
"Fatty acid biosynthesis"	"5.641"
"Vitamin digestion and absorption"	"5.452"
"Progesterone-mediated oocyte maturation"	"5.31"
"Alzheimer's disease"	"5.298"
"Longevity regulating pathway"	"5.253"
"cGMP-PKG signaling pathway"	"5.237"
"Steroid hormone biosynthesis"	"5.223"
"ECM-receptor interaction"	"5.169"
"Toxoplasmosis"	"4.949"
"Influenza A"	"4.742"
"Estrogen signaling pathway"	"4.503"
