"ID"	"Pathway"	"Z-score"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"50.951"
"hsa00532"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"32.497"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"28.483"
"hsa00620"	"Pyruvate metabolism"	"21.925"
"hsa00020"	"Citrate cycle (TCA cycle)"	"20.26"
"hsa00500"	"Starch and sucrose metabolism"	"19.055"
"hsa00270"	"Cysteine and methionine metabolism"	"18.822"
"hsa00260"	"Glycine, serine and threonine metabolism"	"18.449"
"hsa00640"	"Propanoate metabolism"	"18.112"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"17.933"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"17.012"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"16.929"
"hsa00052"	"Galactose metabolism"	"16.583"
"hsa00051"	"Fructose and mannose metabolism"	"16.444"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"16.134"
"hsa00030"	"Pentose phosphate pathway"	"15.688"
"hsa03050"	"Proteasome"	"15.386"
"hsa04922"	"Glucagon signaling pathway"	"15.123"
"hsa04145"	"Phagosome"	"14.974"
"hsa05130"	"Pathogenic Escherichia coli infection"	"14.569"
"hsa04910"	"Insulin signaling pathway"	"12.661"
"hsa04540"	"Gap junction"	"12.404"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"12.274"
"hsa00380"	"Tryptophan metabolism"	"12.063"
"hsa00330"	"Arginine and proline metabolism"	"11.887"
"hsa00071"	"Fatty acid degradation"	"11.755"
"hsa05110"	"Vibrio cholerae infection"	"11.716"
"hsa05230"	"Central carbon metabolism in cancer"	"11.541"
"hsa00900"	"Terpenoid backbone biosynthesis"	"11.51"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"10.646"
"hsa00480"	"Glutathione metabolism"	"10.367"
"hsa00190"	"Oxidative phosphorylation"	"10.249"
"hsa00230"	"Purine metabolism"	"10.192"
"hsa04066"	"HIF-1 signaling pathway"	"10.094"
"hsa00650"	"Butanoate metabolism"	"9.853"
"hsa04530"	"Tight junction"	"9.813"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"9.743"
"hsa04979"	"Cholesterol metabolism"	"9.62"
"hsa04975"	"Fat digestion and absorption"	"9.502"
"hsa05012"	"Parkinson,s disease"	"9.421"
"hsa00240"	"Pyrimidine metabolism"	"9.405"
"hsa00561"	"Glycerolipid metabolism"	"9.383"
"hsa05134"	"Legionellosis"	"9.268"
"hsa04146"	"Peroxisome"	"9.256"
"hsa04966"	"Collecting duct acid secretion"	"9.232"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"9.227"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"8.886"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"8.812"
"hsa05020"	"Prion diseases"	"8.786"
"hsa00983"	"Drug metabolism - other enzymes"	"8.712"
"hsa00670"	"One carbon pool by folate"	"8.624"
"hsa04213"	"Longevity regulating pathway - multiple species"	"8.458"
"hsa00531"	"Glycosaminoglycan degradation"	"8.423"
"hsa00310"	"Lysine degradation"	"8.286"
"hsa00340"	"Histidine metabolism"	"8.068"
"hsa00533"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"8.036"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"8.027"
"hsa04612"	"Antigen processing and presentation"	"7.836"
"hsa00350"	"Tyrosine metabolism"	"7.766"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"7.689"
"hsa00360"	"Phenylalanine metabolism"	"7.615"
"hsa03018"	"RNA degradation"	"7.558"
"hsa04931"	"Insulin resistance"	"7.462"
"hsa00410"	"beta-Alanine metabolism"	"7.379"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"7.303"
"hsa05169"	"Epstein-Barr virus infection"	"7.147"
"hsa04114"	"Oocyte meiosis"	"7.001"
"hsa00220"	"Arginine biosynthesis"	"6.977"
"hsa04217"	"Necroptosis"	"6.703"
"hsa04150"	"mTOR signaling pathway"	"6.462"
"hsa04930"	"Type II diabetes mellitus"	"6.333"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"6.319"
"hsa04721"	"Synaptic vesicle cycle"	"6.28"
"hsa00040"	"Pentose and glucuronate interconversions"	"6.27"
"hsa04152"	"AMPK signaling pathway"	"6.24"
"hsa04921"	"Oxytocin signaling pathway"	"6.015"
"hsa05205"	"Proteoglycans in cancer"	"5.875"
"hsa00053"	"Ascorbate and aldarate metabolism"	"5.872"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"5.846"
"hsa04218"	"Cellular senescence"	"5.791"
"hsa00061"	"Fatty acid biosynthesis"	"5.641"
"hsa04977"	"Vitamin digestion and absorption"	"5.452"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"5.31"
"hsa05010"	"Alzheimer,s disease"	"5.298"
