"ID"	"Pathway"	"Z-score"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"9.722"
"hsa00564"	"Glycerophospholipid metabolism"	"8.561"
"hsa04742"	"Taste transduction"	"8.387"
"hsa04114"	"Oocyte meiosis"	"8.042"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"7.539"
"hsa03050"	"Proteasome"	"7.279"
"hsa05034"	"Alcoholism"	"6.956"
"hsa00030"	"Pentose phosphate pathway"	"6.913"
"hsa04110"	"Cell cycle"	"6.83"
"hsa00730"	"Thiamine metabolism"	"6.789"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"6.748"
"hsa00051"	"Fructose and mannose metabolism"	"6.349"
"hsa04146"	"Peroxisome"	"6.322"
"hsa03018"	"RNA degradation"	"6.086"
"hsa00561"	"Glycerolipid metabolism"	"5.941"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"5.874"
"hsa00260"	"Glycine, serine and threonine metabolism"	"5.597"
"hsa00500"	"Starch and sucrose metabolism"	"5.509"
"hsa05322"	"Systemic lupus erythematosus"	"5.478"
"hsa00480"	"Glutathione metabolism"	"5.468"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"5.423"
"hsa00620"	"Pyruvate metabolism"	"5.406"
"hsa04540"	"Gap junction"	"5.369"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"5.141"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"5.054"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"4.914"
"hsa00510"	"N-Glycan biosynthesis"	"4.905"
"hsa03030"	"DNA replication"	"4.871"
"hsa05130"	"Pathogenic Escherichia coli infection"	"4.829"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"4.647"
"hsa03440"	"Homologous recombination"	"4.637"
"hsa00900"	"Terpenoid backbone biosynthesis"	"4.495"
"hsa04218"	"Cellular senescence"	"4.478"
"hsa04728"	"Dopaminergic synapse"	"4.453"
"hsa00020"	"Citrate cycle (TCA cycle)"	"4.438"
"hsa00052"	"Galactose metabolism"	"4.369"
"hsa04922"	"Glucagon signaling pathway"	"4.329"
"hsa00350"	"Tyrosine metabolism"	"4.209"
"hsa00640"	"Propanoate metabolism"	"4.152"
"hsa04071"	"Sphingolipid signaling pathway"	"4.132"
"hsa00670"	"One carbon pool by folate"	"4.128"
"hsa00330"	"Arginine and proline metabolism"	"3.924"
"hsa03010"	"Ribosome"	"3.825"
"hsa04217"	"Necroptosis"	"3.715"
"hsa04724"	"Glutamatergic synapse"	"3.673"
"hsa00750"	"Vitamin B6 metabolism"	"3.66"
"hsa05020"	"Prion diseases"	"3.627"
"hsa04062"	"Chemokine signaling pathway"	"3.614"
"hsa05134"	"Legionellosis"	"3.594"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"3.468"
"hsa00230"	"Purine metabolism"	"3.407"
"hsa04145"	"Phagosome"	"3.397"
"hsa05110"	"Vibrio cholerae infection"	"3.363"
"hsa03420"	"Nucleotide excision repair"	"3.331"
"hsa03430"	"Mismatch repair"	"3.287"
"hsa03460"	"Fanconi anemia pathway"	"3.217"
"hsa03410"	"Base excision repair"	"3.158"
"hsa05032"	"Morphine addiction"	"3.154"
"hsa04122"	"Sulfur relay system"	"3.119"
"hsa00071"	"Fatty acid degradation"	"3.073"
"hsa00220"	"Arginine biosynthesis"	"3.004"
"hsa04115"	"p53 signaling pathway"	"2.967"
"hsa04152"	"AMPK signaling pathway"	"2.895"
"hsa00340"	"Histidine metabolism"	"2.889"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"2.884"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"2.798"
"hsa00380"	"Tryptophan metabolism"	"2.774"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"2.765"
