"Pathway"	"Z-score"
"Longevity regulating pathway - multiple species"	"6.985"
"Progesterone-mediated oocyte maturation"	"6.367"
"Cell cycle"	"5.497"
"Glycolysis / Gluconeogenesis"	"5.093"
"Cellular senescence"	"4.689"
"Pentose phosphate pathway"	"3.957"
"Glucagon signaling pathway"	"3.802"
"Acute myeloid leukemia"	"3.771"
"Jak-STAT signaling pathway"	"3.615"
"AMPK signaling pathway"	"3.403"
"Calcium signaling pathway"	"3.362"
"Oocyte meiosis"	"3.362"
"Taurine and hypotaurine metabolism"	"3.307"
"Pyruvate metabolism"	"3.269"
"Ferroptosis"	"3.231"
"Insulin signaling pathway"	"3.155"
"Colorectal cancer"	"3.153"
"Epstein-Barr virus infection"	"3.137"
"Longevity regulating pathway"	"2.977"
"Vibrio cholerae infection"	"2.741"
"Amyotrophic lateral sclerosis (ALS)"	"2.739"
"Legionellosis"	"2.644"
"Tight junction"	"2.531"
"Serotonergic synapse"	"2.512"
"Long-term depression"	"2.47"
"Central carbon metabolism in cancer"	"2.337"
"Arginine biosynthesis"	"2.303"
"Renin secretion"	"2.296"
"p53 signaling pathway"	"2.255"
"FoxO signaling pathway"	"2.248"
"Neuroactive ligand-receptor interaction"	"2.22"
"cAMP signaling pathway"	"2.212"
"Measles"	"2.199"
"Long-term potentiation"	"2.192"
"Glioma"	"2.161"
"Adipocytokine signaling pathway"	"2.156"
"Amphetamine addiction"	"2.153"
"Renin-angiotensin system"	"2.109"
"Pancreatic cancer"	"2.093"
"Apelin signaling pathway"	"2.067"
"Mismatch repair"	"2.048"
"Apoptosis"	"2.047"
"Antigen processing and presentation"	"2.022"
"MicroRNAs in cancer"	"1.965"
"mTOR signaling pathway"	"1.941"
"ErbB signaling pathway"	"1.871"
"Hypertrophic cardiomyopathy (HCM)"	"1.86"
"Fatty acid elongation"	"1.851"
"Linoleic acid metabolism"	"1.822"
"Hippo signaling pathway - multiple species"	"1.799"
"Butanoate metabolism"	"1.798"
"Necroptosis"	"1.759"
"Gap junction"	"1.749"
"Hepatocellular carcinoma"	"1.742"
"Protein processing in endoplasmic reticulum"	"1.717"
"Citrate cycle (TCA cycle)"	"1.711"
"Salivary secretion"	"1.711"
"Propanoate metabolism"	"1.666"
"Influenza A"	"1.635"
"Prostate cancer"	"1.635"
"Pancreatic secretion"	"1.623"
"beta-Alanine metabolism"	"1.62"
"Autophagy - other"	"1.614"
"Glycerophospholipid metabolism"	"1.601"
"Circadian entrainment"	"1.581"
"Alanine, aspartate and glutamate metabolism"	"1.58"
"Aldosterone synthesis and secretion"	"1.571"
"Apoptosis - multiple species"	"1.565"
"Base excision repair"	"1.565"
"HIF-1 signaling pathway"	"1.556"
"DNA replication"	"1.477"
"Thyroid cancer"	"1.467"
"Toxoplasmosis"	"1.381"
"Viral carcinogenesis"	"1.367"
"Homologous recombination"	"1.366"
