"Pathway"	"zscore"
"Steroid biosynthesis"	"16.843"
"Glycosaminoglycan degradation"	"9.597"
"Phagosome"	"8.47"
"Gap junction"	"8.325"
"Fat digestion and absorption"	"7.74"
"Other glycan degradation"	"7.675"
"Toxoplasmosis"	"7.35"
"Glycolysis / Gluconeogenesis"	"7.282"
"Protein processing in endoplasmic reticulum"	"6.925"
"Antigen processing and presentation"	"6.919"
"Steroid hormone biosynthesis"	"6.705"
"Cholesterol metabolism"	"6.659"
"Legionellosis"	"6.567"
"Thyroid hormone synthesis"	"6.471"
"Valine, leucine and isoleucine degradation"	"6.379"
"Pathogenic Escherichia coli infection"	"6.323"
"Lysosome"	"6.212"
"Galactose metabolism"	"6.158"
"Estrogen signaling pathway"	"6.109"
"Prion diseases"	"6.092"
"Aminoacyl-tRNA biosynthesis"	"6.071"
"Metabolism of xenobiotics by cytochrome P450"	"5.864"
"Pantothenate and CoA biosynthesis"	"5.837"
"Glutathione metabolism"	"5.76"
"PPAR signaling pathway"	"5.569"
"Arginine and proline metabolism"	"5.536"
"Drug metabolism - other enzymes"	"5.467"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"5.309"
"Riboflavin metabolism"	"5.299"
"Relaxin signaling pathway"	"5.238"
"Influenza A"	"5.214"
"Ovarian steroidogenesis"	"5.182"
"Lysine degradation"	"5.158"
"Chemical carcinogenesis"	"5.102"
"Pyruvate metabolism"	"5.078"
"Fructose and mannose metabolism"	"5.067"
"Longevity regulating pathway - multiple species"	"5.042"
"Glyoxylate and dicarboxylate metabolism"	"5.007"
"Amino sugar and nucleotide sugar metabolism"	"4.973"
"Epithelial cell signaling in Helicobacter pylori infection"	"4.955"
"Pathways in cancer"	"4.947"
"ECM-receptor interaction"	"4.941"
"Endocytosis"	"4.901"
"Tryptophan metabolism"	"4.894"
"beta-Alanine metabolism"	"4.794"
"Drug metabolism - cytochrome P450"	"4.782"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"4.763"
"Starch and sucrose metabolism"	"4.735"
"MAPK signaling pathway"	"4.665"
"Cortisol synthesis and secretion"	"4.572"
"Glycerolipid metabolism"	"4.529"
"Histidine metabolism"	"4.523"
"IL-17 signaling pathway"	"4.515"
"Fatty acid degradation"	"4.486"
"Cysteine and methionine metabolism"	"4.439"
"Central carbon metabolism in cancer"	"4.433"
"Arginine biosynthesis"	"4.374"
"Vitamin digestion and absorption"	"4.365"
"Citrate cycle (TCA cycle)"	"4.209"
"Adherens junction"	"4.193"
"Bile secretion"	"4.164"
"Prostate cancer"	"4.116"
"Taste transduction"	"4.112"
"HIF-1 signaling pathway"	"4.11"
"Phenylalanine metabolism"	"4.069"
"Tyrosine metabolism"	"4.047"
"Fluid shear stress and atherosclerosis"	"3.974"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"3.962"
"Cushing's syndrome"	"3.961"
"Primary bile acid biosynthesis"	"3.894"
"Arachidonic acid metabolism"	"3.893"
"Neomycin, kanamycin and gentamicin biosynthesis"	"3.842"
"PI3K-Akt signaling pathway"	"3.802"
"Retinol metabolism"	"3.721"
"Synthesis and degradation of ketone bodies"	"3.683"
"Rap1 signaling pathway"	"3.668"
"TNF signaling pathway"	"3.635"
"Glycine, serine and threonine metabolism"	"3.633"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"3.625"
"N-Glycan biosynthesis"	"3.624"
"Leishmaniasis"	"3.619"
"Complement and coagulation cascades"	"3.576"
"Phospholipase D signaling pathway"	"3.567"
"Aldosterone synthesis and secretion"	"3.5"
"Tuberculosis"	"3.488"
"Insulin secretion"	"3.471"
"Alanine, aspartate and glutamate metabolism"	"3.448"
"Cocaine addiction"	"3.431"
"Butanoate metabolism"	"3.391"
"Mannose type O-glycan biosynthesis"	"3.345"
"Pancreatic secretion"	"3.344"
"cGMP-PKG signaling pathway"	"3.329"
"One carbon pool by folate"	"3.325"
"Cytokine-cytokine receptor interaction"	"3.295"
"Terpenoid backbone biosynthesis"	"3.287"
"Focal adhesion"	"3.26"
"Glycerophospholipid metabolism"	"3.228"
