"Pathway"	"Z-score"
"Steroid biosynthesis - Homo sapiens (human)"	"16.843"
"Glycosaminoglycan degradation - Homo sapiens (human)"	"9.597"
"Phagosome - Homo sapiens (human)"	"8.47"
"Gap junction - Homo sapiens (human)"	"8.325"
"Fat digestion and absorption - Homo sapiens (human)"	"7.74"
"Other glycan degradation - Homo sapiens (human)"	"7.675"
"Toxoplasmosis - Homo sapiens (human)"	"7.35"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"7.282"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"6.925"
"Antigen processing and presentation - Homo sapiens (human)"	"6.919"
"Steroid hormone biosynthesis - Homo sapiens (human)"	"6.705"
"Cholesterol metabolism - Homo sapiens (human)"	"6.659"
"Legionellosis - Homo sapiens (human)"	"6.567"
"Thyroid hormone synthesis - Homo sapiens (human)"	"6.471"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"6.379"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"6.323"
"Lysosome - Homo sapiens (human)"	"6.212"
"Galactose metabolism - Homo sapiens (human)"	"6.158"
"Estrogen signaling pathway - Homo sapiens (human)"	"6.109"
"Prion diseases - Homo sapiens (human)"	"6.092"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"6.071"
"Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)"	"5.864"
"Pantothenate and CoA biosynthesis - Homo sapiens (human)"	"5.837"
"Glutathione metabolism - Homo sapiens (human)"	"5.76"
"PPAR signaling pathway - Homo sapiens (human)"	"5.569"
"Arginine and proline metabolism - Homo sapiens (human)"	"5.536"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"5.467"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"5.309"
"Riboflavin metabolism - Homo sapiens (human)"	"5.299"
"Relaxin signaling pathway - Homo sapiens (human)"	"5.238"
"Influenza A - Homo sapiens (human)"	"5.214"
"Ovarian steroidogenesis - Homo sapiens (human)"	"5.182"
"Lysine degradation - Homo sapiens (human)"	"5.158"
"Chemical carcinogenesis - Homo sapiens (human)"	"5.102"
"Pyruvate metabolism - Homo sapiens (human)"	"5.078"
"Fructose and mannose metabolism - Homo sapiens (human)"	"5.067"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"5.042"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"5.007"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"4.973"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"4.955"
"Pathways in cancer - Homo sapiens (human)"	"4.947"
"ECM-receptor interaction - Homo sapiens (human)"	"4.941"
"Endocytosis - Homo sapiens (human)"	"4.901"
"Tryptophan metabolism - Homo sapiens (human)"	"4.894"
"beta-Alanine metabolism - Homo sapiens (human)"	"4.794"
"Drug metabolism - cytochrome P450 - Homo sapiens (human)"	"4.782"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)"	"4.763"
"Starch and sucrose metabolism - Homo sapiens (human)"	"4.735"
"MAPK signaling pathway - Homo sapiens (human)"	"4.665"
"Cortisol synthesis and secretion - Homo sapiens (human)"	"4.572"
"Glycerolipid metabolism - Homo sapiens (human)"	"4.529"
"Histidine metabolism - Homo sapiens (human)"	"4.523"
"IL-17 signaling pathway - Homo sapiens (human)"	"4.515"
"Fatty acid degradation - Homo sapiens (human)"	"4.486"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"4.439"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"4.433"
"Arginine biosynthesis - Homo sapiens (human)"	"4.374"
"Vitamin digestion and absorption - Homo sapiens (human)"	"4.365"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"4.209"
"Adherens junction - Homo sapiens (human)"	"4.193"
"Bile secretion - Homo sapiens (human)"	"4.164"
"Prostate cancer - Homo sapiens (human)"	"4.116"
"Taste transduction - Homo sapiens (human)"	"4.112"
"HIF-1 signaling pathway - Homo sapiens (human)"	"4.11"
"Phenylalanine metabolism - Homo sapiens (human)"	"4.069"
"Tyrosine metabolism - Homo sapiens (human)"	"4.047"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"3.974"
"Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)"	"3.962"
"Cushing,s syndrome - Homo sapiens (human)"	"3.961"
"Primary bile acid biosynthesis - Homo sapiens (human)"	"3.894"
"Arachidonic acid metabolism - Homo sapiens (human)"	"3.893"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"3.842"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"3.802"
"Retinol metabolism - Homo sapiens (human)"	"3.721"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"3.683"
"Rap1 signaling pathway - Homo sapiens (human)"	"3.668"
"TNF signaling pathway - Homo sapiens (human)"	"3.635"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"3.633"
"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"	"3.625"
"N-Glycan biosynthesis - Homo sapiens (human)"	"3.624"
"Leishmaniasis - Homo sapiens (human)"	"3.619"
"Complement and coagulation cascades - Homo sapiens (human)"	"3.576"
"Phospholipase D signaling pathway - Homo sapiens (human)"	"3.567"
"Aldosterone synthesis and secretion - Homo sapiens (human)"	"3.5"
"Tuberculosis - Homo sapiens (human)"	"3.488"
"Insulin secretion - Homo sapiens (human)"	"3.471"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"3.448"
"Cocaine addiction - Homo sapiens (human)"	"3.431"
"Butanoate metabolism - Homo sapiens (human)"	"3.391"
"Mannose type O-glycan biosynthesis - Homo sapiens (human)"	"3.345"
"Pancreatic secretion - Homo sapiens (human)"	"3.344"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"3.329"
"One carbon pool by folate - Homo sapiens (human)"	"3.325"
"Cytokine-cytokine receptor interaction - Homo sapiens (human)"	"3.295"
"Terpenoid backbone biosynthesis - Homo sapiens (human)"	"3.287"
"Focal adhesion - Homo sapiens (human)"	"3.26"
"Glycerophospholipid metabolism - Homo sapiens (human)"	"3.228"
"Small cell lung cancer - Homo sapiens (human)"	"3.213"
"Human papillomavirus infection - Homo sapiens (human)"	"3.211"
"Shigellosis - Homo sapiens (human)"	"3.178"
