"Pathway"	"Z-score"
"Ribosome"	"35.618"
"Systemic lupus erythematosus"	"20.239"
"Alcoholism"	"14.564"
"Necroptosis"	"9.904"
"Ribosome biogenesis in eukaryotes"	"9.829"
"RNA degradation"	"9.282"
"RNA transport"	"8.643"
"Glycolysis / Gluconeogenesis"	"7.563"
"Pathogenic Escherichia coli infection"	"7.504"
"Amino sugar and nucleotide sugar metabolism"	"7.246"
"Proteasome"	"6.071"
"Gap junction"	"5.687"
"Phagosome"	"5.686"
"Legionellosis"	"5.66"
"Glycine, serine and threonine metabolism"	"5.394"
"Alanine, aspartate and glutamate metabolism"	"5.1"
"Antigen processing and presentation"	"5.086"
"Cysteine and methionine metabolism"	"4.935"
"Histidine metabolism"	"4.72"
"Fructose and mannose metabolism"	"4.448"
"beta-Alanine metabolism"	"4.274"
"Starch and sucrose metabolism"	"4.046"
"Galactose metabolism"	"4"
"Glycerolipid metabolism"	"3.923"
"Fatty acid degradation"	"3.914"
"Valine, leucine and isoleucine degradation"	"3.892"
"Ascorbate and aldarate metabolism"	"3.803"
"Protein processing in endoplasmic reticulum"	"3.793"
"Neomycin, kanamycin and gentamicin biosynthesis"	"3.759"
"Aminoacyl-tRNA biosynthesis"	"3.659"
"Arginine and proline metabolism"	"3.609"
"mRNA surveillance pathway"	"3.587"
"Cell cycle"	"3.585"
"DNA replication"	"3.145"
"Tryptophan metabolism"	"3.065"
"Pyruvate metabolism"	"3.043"
"Citrate cycle (TCA cycle)"	"2.877"
"Longevity regulating pathway - multiple species"	"2.685"
"Circadian rhythm"	"2.614"
"Measles"	"2.573"
"Pentose phosphate pathway"	"2.488"
"Lysine degradation"	"2.364"
"alpha-Linolenic acid metabolism"	"2.279"
"Sulfur relay system"	"2.226"
"Central carbon metabolism in cancer"	"2.183"
"Oxidative phosphorylation"	"2.092"
"Tight junction"	"2.017"
"Glyoxylate and dicarboxylate metabolism"	"1.903"
"One carbon pool by folate"	"1.685"
"Lipoic acid metabolism"	"1.657"
"Transcriptional misregulation in cancer"	"1.657"
"Hedgehog signaling pathway"	"1.595"
"Terpenoid backbone biosynthesis"	"1.575"
"Fatty acid biosynthesis"	"1.431"
"Apoptosis"	"1.371"
"Vibrio cholerae infection"	"1.347"
"Phosphonate and phosphinate metabolism"	"1.331"
"Viral carcinogenesis"	"1.258"
"Glycosaminoglycan degradation"	"1.16"
"Sulfur metabolism"	"1.15"
"Parkinson's disease"	"1.082"
"Influenza A"	"1.068"
"Mitophagy - animal"	"1.061"
"PPAR signaling pathway"	"1.058"
"Base excision repair"	"0.97"
"Collecting duct acid secretion"	"0.872"
"Selenocompound metabolism"	"0.865"
"Fluid shear stress and atherosclerosis"	"0.784"
"Drug metabolism - other enzymes"	"0.781"
"Pantothenate and CoA biosynthesis"	"0.759"
"Glutathione metabolism"	"0.674"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.646"
"Biotin metabolism"	"0.637"
"Cellular senescence"	"0.618"
"Lysosome"	"0.593"
"Riboflavin metabolism"	"0.534"
"Insulin signaling pathway"	"0.524"
"Arginine biosynthesis"	"0.486"
"Amphetamine addiction"	"0.475"
"Propanoate metabolism"	"0.459"
"Valine, leucine and isoleucine biosynthesis"	"0.44"
"Vitamin B6 metabolism"	"0.36"
"Nicotinate and nicotinamide metabolism"	"0.35"
"Glycosphingolipid biosynthesis - ganglio series"	"0.328"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"0.299"
"Sphingolipid metabolism"	"0.257"
"Glycerophospholipid metabolism"	"0.224"
"Purine metabolism"	"0.116"
"Thiamine metabolism"	"0.083"
"Oocyte meiosis"	"0.062"
"Epstein-Barr virus infection"	"0.042"
"Tyrosine metabolism"	"0.027"
"Homologous recombination"	"-0.013"
"Hippo signaling pathway - multiple species"	"-0.023"
"Ether lipid metabolism"	"-0.044"
"Oxytocin signaling pathway"	"-0.052"
"p53 signaling pathway"	"-0.06"
"Peroxisome"	"-0.069"
"D-Arginine and D-ornithine metabolism"	"-0.115"
"Maturity onset diabetes of the young"	"-0.137"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.142"
"HIF-1 signaling pathway"	"-0.143"
"Mismatch repair"	"-0.155"
"Fat digestion and absorption"	"-0.191"
"Nitrogen metabolism"	"-0.195"
"Estrogen signaling pathway"	"-0.202"
"Caffeine metabolism"	"-0.21"
"Taurine and hypotaurine metabolism"	"-0.215"
"Non-homologous end-joining"	"-0.337"
"Phenylalanine metabolism"	"-0.352"
"Retinol metabolism"	"-0.365"
"Thyroid cancer"	"-0.378"
"Steroid biosynthesis"	"-0.407"
"Prion diseases"	"-0.422"
"Glucagon signaling pathway"	"-0.454"
"Wnt signaling pathway"	"-0.503"
"Biosynthesis of unsaturated fatty acids"	"-0.53"
"Pentose and glucuronate interconversions"	"-0.543"
"Fanconi anemia pathway"	"-0.553"
"Folate biosynthesis"	"-0.56"
"Other glycan degradation"	"-0.57"
"Pyrimidine metabolism"	"-0.578"
