"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005813"	"centrosome"	"66.347"	"2.2331253643072192E-41"
"GO:0000777"	"condensed chromosome kinetochore"	"59.075"	"1.1783679510338206E-9"
"GO:0005814"	"centriole"	"49.77"	"2.0096824979379957E-11"
"GO:0000922"	"spindle pole"	"43.496"	"2.0061322772660227E-21"
"GO:0000776"	"kinetochore"	"43.241"	"6.789410335274105E-14"
"GO:0036064"	"ciliary basal body"	"41.173"	"1.0624089340221138E-4"
"GO:0005938"	"cell cortex"	"38.126"	"2.0693201270549853E-25"
"GO:0070652"	"HAUS complex"	"37.662"	NA
"GO:0005874"	"microtubule"	"36.672"	"4.9183457259381183E-60"
"GO:0005819"	"spindle"	"34.503"	"9.21028193805743E-51"
