"Pathway"	"Z-score"
"Regulation of actin cytoskeleton"	"27.658"
"Focal adhesion"	"22.635"
"Axon guidance"	"22.195"
"Bacterial invasion of epithelial cells"	"21.406"
"Oocyte meiosis"	"20.702"
"Fc gamma R-mediated phagocytosis"	"19.515"
"Ras signaling pathway"	"19.134"
"Leukocyte transendothelial migration"	"17.417"
"Vasopressin-regulated water reabsorption"	"17.248"
"Cell cycle"	"15.969"
"Rap1 signaling pathway"	"15.346"
"Progesterone-mediated oocyte maturation"	"15.041"
"Proteoglycans in cancer"	"14.845"
"Salmonella infection"	"14.839"
"VEGF signaling pathway"	"14.511"
"Adherens junction"	"13.302"
"Shigellosis"	"13.265"
"Hippo signaling pathway"	"13.226"
"Fc epsilon RI signaling pathway"	"12.535"
"Hippo signaling pathway - multiple species"	"12.374"
"Natural killer cell mediated cytotoxicity"	"12.195"
"Tight junction"	"12.13"
"Choline metabolism in cancer"	"11.59"
"Neurotrophin signaling pathway"	"11.48"
"ErbB signaling pathway"	"11.095"
"Endocytosis"	"10.784"
"Pathogenic Escherichia coli infection"	"10.346"
"Colorectal cancer"	"10.337"
"MAPK signaling pathway"	"10.188"
"Pancreatic secretion"	"10.116"
"Pancreatic cancer"	"10.021"
"T cell receptor signaling pathway"	"9.898"
"Platelet activation"	"9.772"
"B cell receptor signaling pathway"	"9.635"
"MicroRNAs in cancer"	"9.107"
"Ether lipid metabolism"	"8.998"
"Phosphatidylinositol signaling system"	"8.856"
"Vascular smooth muscle contraction"	"8.706"
"Insulin signaling pathway"	"8.601"
"Renal cell carcinoma"	"8.591"
"GnRH signaling pathway"	"8.224"
"Human papillomavirus infection"	"7.945"
"PI3K-Akt signaling pathway"	"7.939"
"Viral myocarditis"	"7.939"
"Glioma"	"7.814"
"FoxO signaling pathway"	"7.762"
"Endometrial cancer"	"7.668"
"Inflammatory mediator regulation of TRP channels"	"7.262"
"Cellular senescence"	"7.067"
"Gastric cancer"	"6.935"
"AGE-RAGE signaling pathway in diabetic complications"	"6.684"
"Oxytocin signaling pathway"	"6.556"
"Long-term potentiation"	"6.524"
"Non-small cell lung cancer"	"6.4"
"Melanoma"	"6.348"
"Pathways in cancer"	"6.057"
"p53 signaling pathway"	"6.004"
"Breast cancer"	"5.982"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"5.973"
"Endocrine and other factor-regulated calcium reabsorption"	"5.693"
"C-type lectin receptor signaling pathway"	"5.541"
"Gap junction"	"5.386"
