"Pathway"	"Z-score"
"Transcriptional misregulation in cancer"	"11.016"
"TNF signaling pathway"	"10.407"
"Complement and coagulation cascades"	"9.135"
"Cytokine-cytokine receptor interaction"	"7.295"
"Pathways in cancer"	"6.709"
"IL-17 signaling pathway"	"6.186"
"NF-kappa B signaling pathway"	"6.141"
"Small cell lung cancer"	"5.24"
"MAPK signaling pathway"	"5.21"
"Malaria"	"5.085"
"Hematopoietic cell lineage"	"5.058"
"PI3K-Akt signaling pathway"	"5.002"
"Proteoglycans in cancer"	"4.916"
"Jak-STAT signaling pathway"	"4.877"
"Toll-like receptor signaling pathway"	"4.717"
"Staphylococcus aureus infection"	"4.593"
"ErbB signaling pathway"	"4.408"
"Neomycin, kanamycin and gentamicin biosynthesis"	"4.19"
"Prostate cancer"	"4.054"
"Acute myeloid leukemia"	"4.037"
"HTLV-I infection"	"3.925"
"Signaling pathways regulating pluripotency of stem cells"	"3.86"
"Bile secretion"	"3.851"
"Apoptosis"	"3.829"
"Chemokine signaling pathway"	"3.698"
"Gastric cancer"	"3.682"
"Pertussis"	"3.668"
"MicroRNAs in cancer"	"3.608"
"Focal adhesion"	"3.464"
"Rheumatoid arthritis"	"3.247"
"Regulation of lipolysis in adipocytes"	"3.239"
"Tuberculosis"	"3.089"
"Measles"	"3.058"
"Amoebiasis"	"3.051"
"Ras signaling pathway"	"3.013"
"Fluid shear stress and atherosclerosis"	"3.012"
"Basal cell carcinoma"	"2.902"
"Cytosolic DNA-sensing pathway"	"2.854"
"C-type lectin receptor signaling pathway"	"2.836"
"Breast cancer"	"2.819"
"p53 signaling pathway"	"2.802"
"Fc epsilon RI signaling pathway"	"2.8"
"African trypanosomiasis"	"2.788"
"Hippo signaling pathway"	"2.78"
"Glycolysis / Gluconeogenesis"	"2.77"
"Primary immunodeficiency"	"2.676"
"Toxoplasmosis"	"2.667"
"Leukocyte transendothelial migration"	"2.661"
"Melanoma"	"2.655"
"Human papillomavirus infection"	"2.643"
"Chemical carcinogenesis"	"2.636"
"Leishmaniasis"	"2.633"
"Cellular senescence"	"2.626"
"Chronic myeloid leukemia"	"2.551"
"Bladder cancer"	"2.483"
"Platelet activation"	"2.453"
"ECM-receptor interaction"	"2.388"
"Hypertrophic cardiomyopathy (HCM)"	"2.358"
"Type I diabetes mellitus"	"2.35"
"FoxO signaling pathway"	"2.315"
"TGF-beta signaling pathway"	"2.315"
"Carbohydrate digestion and absorption"	"2.253"
"Intestinal immune network for IgA production"	"2.214"
"Colorectal cancer"	"2.209"
"Apelin signaling pathway"	"2.206"
"Ubiquitin mediated proteolysis"	"2.189"
"Amino sugar and nucleotide sugar metabolism"	"2.134"
"Inflammatory mediator regulation of TRP channels"	"2.011"
"Nitrogen metabolism"	"2.005"
"Other glycan degradation"	"1.998"
"Rap1 signaling pathway"	"1.984"
"Phenylalanine metabolism"	"1.949"
"Legionellosis"	"1.898"
"Chagas disease (American trypanosomiasis)"	"1.891"
"VEGF signaling pathway"	"1.831"
"Necroptosis"	"1.812"
"Endometrial cancer"	"1.791"
"Arginine biosynthesis"	"1.722"
"Hepatocellular carcinoma"	"1.722"
"Serotonergic synapse"	"1.696"
"Metabolism of xenobiotics by cytochrome P450"	"1.665"
"Axon guidance"	"1.646"
"Influenza A"	"1.642"
"Inflammatory bowel disease (IBD)"	"1.63"
"Central carbon metabolism in cancer"	"1.62"
"Non-small cell lung cancer"	"1.618"
"Renin secretion"	"1.615"
"Histidine metabolism"	"1.6"
"Other types of O-glycan biosynthesis"	"1.599"
"Neurotrophin signaling pathway"	"1.581"
"Proximal tubule bicarbonate reclamation"	"1.566"
"Epithelial cell signaling in Helicobacter pylori infection"	"1.547"
"Renal cell carcinoma"	"1.537"
"Renin-angiotensin system"	"1.537"
"Glioma"	"1.529"
"Adipocytokine signaling pathway"	"1.525"
"Lysosome"	"1.52"
"Kaposi's sarcoma-associated herpesvirus infection"	"1.508"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"1.481"
"RIG-I-like receptor signaling pathway"	"1.48"
"Folate biosynthesis"	"1.475"
"Prolactin signaling pathway"	"1.465"
"Natural killer cell mediated cytotoxicity"	"1.437"
"Pancreatic cancer"	"1.428"
"Relaxin signaling pathway"	"1.42"
"Dopaminergic synapse"	"1.398"
"Collecting duct acid secretion"	"1.37"
"Viral carcinogenesis"	"1.366"
"Insulin signaling pathway"	"1.347"
"Epstein-Barr virus infection"	"1.338"
"Estrogen signaling pathway"	"1.323"
"Cell adhesion molecules (CAMs)"	"1.265"
"Mucin type O-glycan biosynthesis"	"1.242"
"Hepatitis B"	"1.241"
"Adrenergic signaling in cardiomyocytes"	"1.236"
"Asthma"	"1.235"
"Insulin secretion"	"1.226"
"Retrograde endocannabinoid signaling"	"1.209"
"beta-Alanine metabolism"	"1.199"
"Autophagy - other"	"1.185"
"Salmonella infection"	"1.169"
"Apoptosis - multiple species"	"1.156"
"Fructose and mannose metabolism"	"1.155"
"mTOR signaling pathway"	"1.15"
"Galactose metabolism"	"1.144"
"Phagosome"	"1.137"
"Dilated cardiomyopathy (DCM)"	"1.134"
"GABAergic synapse"	"1.111"
"Salivary secretion"	"1.103"
"GnRH signaling pathway"	"1.096"
"Fc gamma R-mediated phagocytosis"	"1.089"
"Prion diseases"	"1.057"
"Morphine addiction"	"1.055"
"Alanine, aspartate and glutamate metabolism"	"1.053"
"Tyrosine metabolism"	"1.042"
"Circadian entrainment"	"1.011"
"Thyroid cancer"	"1.007"
"Starch and sucrose metabolism"	"1.003"
"NOD-like receptor signaling pathway"	"0.972"
"AGE-RAGE signaling pathway in diabetic complications"	"0.965"
"HIF-1 signaling pathway"	"0.963"
"Endocytosis"	"0.949"
"T cell receptor signaling pathway"	"0.948"
"Graft-versus-host disease"	"0.907"
"Nicotine addiction"	"0.902"
"Glycine, serine and threonine metabolism"	"0.9"
"Tryptophan metabolism"	"0.891"
"Insulin resistance"	"0.875"
"Th17 cell differentiation"	"0.87"
"ABC transporters"	"0.835"
"Alcoholism"	"0.831"
"Proteasome"	"0.779"
"Cholinergic synapse"	"0.777"
"Type II diabetes mellitus"	"0.759"
"Hedgehog signaling pathway"	"0.739"
"Steroid hormone biosynthesis"	"0.71"
"Arginine and proline metabolism"	"0.706"
"AMPK signaling pathway"	"0.692"
"Notch signaling pathway"	"0.692"
"Ovarian steroidogenesis"	"0.686"
"Sphingolipid signaling pathway"	"0.681"
"N-Glycan biosynthesis"	"0.678"
"Cholesterol metabolism"	"0.672"
"Amyotrophic lateral sclerosis (ALS)"	"0.667"
"Retinol metabolism"	"0.635"
"Cell cycle"	"0.617"
"Autophagy - animal"	"0.599"
"Osteoclast differentiation"	"0.598"
"Regulation of actin cytoskeleton"	"0.581"
"Pathogenic Escherichia coli infection"	"0.546"
"Viral myocarditis"	"0.515"
"Drug metabolism - cytochrome P450"	"0.501"
"Arachidonic acid metabolism"	"0.5"
"Long-term depression"	"0.481"
"Longevity regulating pathway - multiple species"	"0.454"
"Synaptic vesicle cycle"	"0.419"
"Phospholipase D signaling pathway"	"0.41"
"Wnt signaling pathway"	"0.392"
"Non-alcoholic fatty liver disease (NAFLD)"	"0.387"
"B cell receptor signaling pathway"	"0.311"
"PPAR signaling pathway"	"0.287"
"Gastric acid secretion"	"0.255"
"Bacterial invasion of epithelial cells"	"0.253"
"Antigen processing and presentation"	"0.244"
"cGMP-PKG signaling pathway"	"0.23"
"Cardiac muscle contraction"	"0.208"
"Alzheimer's disease"	"0.189"
"Peroxisome"	"0.155"
"Taste transduction"	"0.137"
"Longevity regulating pathway"	"0.1"
"Gap junction"	"0.087"
"Neuroactive ligand-receptor interaction"	"0.063"
"Protein digestion and absorption"	"0.059"
"mRNA surveillance pathway"	"0.053"
"Herpes simplex infection"	"0.05"
"Th1 and Th2 cell differentiation"	"0.045"
"Pancreatic secretion"	"0.019"
"Progesterone-mediated oocyte maturation"	"0.002"
"Choline metabolism in cancer"	"-0.023"
"cAMP signaling pathway"	"-0.042"
"Melanogenesis"	"-0.046"
"Glucagon signaling pathway"	"-0.067"
