"ID"	"Pathway"	"Z-score"
"hsa03040"	"Spliceosome"	"28.748"
"hsa03015"	"mRNA surveillance pathway"	"21.311"
"hsa03050"	"Proteasome"	"17.772"
"hsa03013"	"RNA transport"	"17.363"
"hsa03008"	"Ribosome biogenesis in eukaryotes"	"17.158"
"hsa03018"	"RNA degradation"	"16.573"
"hsa05322"	"Systemic lupus erythematosus"	"15.562"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"13.416"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"12.931"
"hsa03010"	"Ribosome"	"12.641"
"hsa00020"	"Citrate cycle (TCA cycle)"	"11.234"
"hsa00052"	"Galactose metabolism"	"10.498"
"hsa00230"	"Purine metabolism"	"10.424"
"hsa00051"	"Fructose and mannose metabolism"	"9.916"
"hsa00240"	"Pyrimidine metabolism"	"9.659"
"hsa00260"	"Glycine, serine and threonine metabolism"	"9.627"
"hsa00030"	"Pentose phosphate pathway"	"9.176"
"hsa00620"	"Pyruvate metabolism"	"8.117"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"8.107"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"7.893"
"hsa03030"	"DNA replication"	"7.886"
"hsa00500"	"Starch and sucrose metabolism"	"7.772"
"hsa05034"	"Alcoholism"	"6.748"
"hsa04136"	"Autophagy - other"	"6.588"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"6.529"
"hsa00270"	"Cysteine and methionine metabolism"	"6.509"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"6.446"
"hsa03020"	"RNA polymerase"	"6.01"
"hsa05169"	"Epstein-Barr virus infection"	"5.982"
"hsa04216"	"Ferroptosis"	"5.969"
"hsa04217"	"Necroptosis"	"5.646"
"hsa03430"	"Mismatch repair"	"5.613"
"hsa05134"	"Legionellosis"	"5.514"
"hsa00330"	"Arginine and proline metabolism"	"5.466"
"hsa05130"	"Pathogenic Escherichia coli infection"	"5.35"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"5.248"
"hsa00670"	"One carbon pool by folate"	"5.198"
"hsa03420"	"Nucleotide excision repair"	"5.044"
"hsa03060"	"Protein export"	"5.03"
"hsa00340"	"Histidine metabolism"	"4.85"
"hsa04110"	"Cell cycle"	"4.73"
"hsa00380"	"Tryptophan metabolism"	"4.702"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"4.51"
"hsa00561"	"Glycerolipid metabolism"	"4.501"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"4.442"
"hsa04612"	"Antigen processing and presentation"	"4.399"
"hsa00310"	"Lysine degradation"	"3.735"
"hsa00410"	"beta-Alanine metabolism"	"3.694"
"hsa05202"	"Transcriptional misregulation in cancer"	"3.653"
"hsa04145"	"Phagosome"	"3.611"
"hsa00220"	"Arginine biosynthesis"	"3.59"
"hsa05230"	"Central carbon metabolism in cancer"	"3.468"
"hsa05168"	"Herpes simplex infection"	"3.423"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"3.31"
"hsa04120"	"Ubiquitin mediated proteolysis"	"3.268"
"hsa00071"	"Fatty acid degradation"	"3.254"
"hsa04710"	"Circadian rhythm"	"3.247"
"hsa05164"	"Influenza A"	"3.104"
"hsa04137"	"Mitophagy - animal"	"2.915"
"hsa00640"	"Propanoate metabolism"	"2.848"
"hsa00480"	"Glutathione metabolism"	"2.846"
"hsa04146"	"Peroxisome"	"2.747"
"hsa04066"	"HIF-1 signaling pathway"	"2.664"
"hsa05162"	"Measles"	"2.644"
"hsa04115"	"p53 signaling pathway"	"2.573"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"2.518"
"hsa04966"	"Collecting duct acid secretion"	"2.483"
"hsa00061"	"Fatty acid biosynthesis"	"2.447"
"hsa00053"	"Ascorbate and aldarate metabolism"	"2.389"
"hsa00983"	"Drug metabolism - other enzymes"	"2.18"
"hsa05203"	"Viral carcinogenesis"	"2.139"
"hsa03410"	"Base excision repair"	"2.111"
"hsa00900"	"Terpenoid backbone biosynthesis"	"2.045"
"hsa04114"	"Oocyte meiosis"	"2.039"
"hsa04152"	"AMPK signaling pathway"	"1.952"
"hsa04540"	"Gap junction"	"1.871"
"hsa00785"	"Lipoic acid metabolism"	"1.849"
"hsa04340"	"Hedgehog signaling pathway"	"1.825"
"hsa00730"	"Thiamine metabolism"	"1.803"
"hsa04122"	"Sulfur relay system"	"1.757"
"hsa00650"	"Butanoate metabolism"	"1.688"
"hsa04213"	"Longevity regulating pathway - multiple species"	"1.558"
"hsa05143"	"African trypanosomiasis"	"1.544"
"hsa03440"	"Homologous recombination"	"1.192"
"hsa03460"	"Fanconi anemia pathway"	"1.184"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"1.184"
"hsa00750"	"Vitamin B6 metabolism"	"1.144"
"hsa04218"	"Cellular senescence"	"1.124"
"hsa00450"	"Selenocompound metabolism"	"1.073"
"hsa05144"	"Malaria"	"1.031"
"hsa05140"	"Leishmaniasis"	"1.029"
"hsa00360"	"Phenylalanine metabolism"	"1.025"
"hsa05110"	"Vibrio cholerae infection"	"0.981"
"hsa00790"	"Folate biosynthesis"	"0.94"
"hsa05216"	"Thyroid cancer"	"0.933"
"hsa00350"	"Tyrosine metabolism"	"0.91"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"0.836"
"hsa04621"	"NOD-like receptor signaling pathway"	"0.736"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"0.686"
"hsa03320"	"PPAR signaling pathway"	"0.68"
"hsa03450"	"Non-homologous end-joining"	"0.661"
"hsa04210"	"Apoptosis"	"0.592"
"hsa00430"	"Taurine and hypotaurine metabolism"	"0.564"
"hsa00920"	"Sulfur metabolism"	"0.518"
"hsa04530"	"Tight junction"	"0.378"
"hsa00780"	"Biotin metabolism"	"0.333"
"hsa04922"	"Glucagon signaling pathway"	"0.102"
"hsa00592"	"alpha-Linolenic acid metabolism"	"0.063"
"hsa04975"	"Fat digestion and absorption"	"0.044"
"hsa00531"	"Glycosaminoglycan degradation"	"0.019"
"hsa00510"	"N-Glycan biosynthesis"	"0.005"
"hsa03022"	"Basal transcription factors"	"-0.006"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"-0.085"
"hsa00564"	"Glycerophospholipid metabolism"	"-0.102"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.168"
"hsa00040"	"Pentose and glucuronate interconversions"	"-0.182"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.326"
"hsa00511"	"Other glycan degradation"	"-0.378"
"hsa05222"	"Small cell lung cancer"	"-0.381"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"-0.472"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"-0.536"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.556"
"hsa00740"	"Riboflavin metabolism"	"-0.568"
"hsa00910"	"Nitrogen metabolism"	"-0.657"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.692"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"-0.699"
"hsa04657"	"IL-17 signaling pathway"	"-0.707"
"hsa05145"	"Toxoplasmosis"	"-0.843"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"-0.89"
"hsa05160"	"Hepatitis C"	"-0.984"
"hsa05020"	"Prion diseases"	"-1.005"
"hsa04140"	"Autophagy - animal"	"-1.062"
"hsa00232"	"Caffeine metabolism"	"-1.141"
"hsa04350"	"TGF-beta signaling pathway"	"-1.16"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"-1.339"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"-1.36"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"-1.384"
"hsa00600"	"Sphingolipid metabolism"	"-1.43"
"hsa05016"	"Huntington,s disease"	"-1.474"
"hsa02010"	"ABC transporters"	"-1.494"
"hsa05340"	"Primary immunodeficiency"	"-1.546"
"hsa05166"	"HTLV-I infection"	"-1.598"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-1.614"
"hsa04068"	"FoxO signaling pathway"	"-1.62"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-1.682"
"hsa04512"	"ECM-receptor interaction"	"-1.685"
"hsa00830"	"Retinol metabolism"	"-1.904"
"hsa05219"	"Bladder cancer"	"-1.932"
"hsa00100"	"Steroid biosynthesis"	"-2.134"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"-2.149"
"hsa00120"	"Primary bile acid biosynthesis"	"-2.194"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"-2.217"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"-2.295"
"hsa04625"	"C-type lectin receptor signaling pathway"	"-2.433"
"hsa05165"	"Human papillomavirus infection"	"-2.467"
"hsa04910"	"Insulin signaling pathway"	"-2.561"
"hsa05132"	"Salmonella infection"	"-2.591"
"hsa05323"	"Rheumatoid arthritis"	"-2.601"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"-2.653"
"hsa00514"	"Other types of O-glycan biosynthesis"	"-2.674"
"hsa04930"	"Type II diabetes mellitus"	"-2.746"
"hsa00590"	"Arachidonic acid metabolism"	"-2.766"
"hsa00062"	"Fatty acid elongation"	"-2.809"
"hsa04977"	"Vitamin digestion and absorption"	"-2.849"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"-2.893"
"hsa04950"	"Maturity onset diabetes of the young"	"-2.905"
"hsa00565"	"Ether lipid metabolism"	"-2.923"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"-2.934"
"hsa04310"	"Wnt signaling pathway"	"-3.01"
"hsa04390"	"Hippo signaling pathway"	"-3.125"
"hsa05133"	"Pertussis"	"-3.18"
"hsa00532"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-3.202"
"hsa04371"	"Apelin signaling pathway"	"-3.207"
"hsa00601"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-3.26"
"hsa04721"	"Synaptic vesicle cycle"	"-3.264"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"-3.267"
"hsa00512"	"Mucin type O-glycan biosynthesis"	"-3.275"
"hsa04658"	"Th1 and Th2 cell differentiation"	"-3.297"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"-3.401"
"hsa04940"	"Type I diabetes mellitus"	"-3.455"
"hsa05131"	"Shigellosis"	"-3.47"
"hsa04915"	"Estrogen signaling pathway"	"-3.475"
"hsa05031"	"Amphetamine addiction"	"-3.476"
"hsa00982"	"Drug metabolism - cytochrome P450"	"-3.51"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"-3.53"
"hsa05416"	"Viral myocarditis"	"-3.635"
"hsa04142"	"Lysosome"	"-3.66"
"hsa04064"	"NF-kappa B signaling pathway"	"-3.661"
"hsa04921"	"Oxytocin signaling pathway"	"-3.676"
"hsa04330"	"Notch signaling pathway"	"-3.728"
"hsa04260"	"Cardiac muscle contraction"	"-3.858"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"-3.913"
"hsa05204"	"Chemical carcinogenesis"	"-3.916"
"hsa04668"	"TNF signaling pathway"	"-3.988"
"hsa04919"	"Thyroid hormone signaling pathway"	"-4.034"
"hsa04150"	"mTOR signaling pathway"	"-4.059"
"hsa00533"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"-4.082"
"hsa04211"	"Longevity regulating pathway"	"-4.084"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"-4.113"
"hsa04010"	"MAPK signaling pathway"	"-4.125"
"hsa04392"	"Hippo signaling pathway - multiple species"	"-4.22"
"hsa04151"	"PI3K-Akt signaling pathway"	"-4.256"
"hsa04931"	"Insulin resistance"	"-4.286"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"-4.333"
"hsa05206"	"MicroRNAs in cancer"	"-4.375"
"hsa00562"	"Inositol phosphate metabolism"	"-4.389"
"hsa00591"	"Linoleic acid metabolism"	"-4.49"
"hsa04974"	"Protein digestion and absorption"	"-4.519"
"hsa04722"	"Neurotrophin signaling pathway"	"-4.538"
"hsa04978"	"Mineral absorption"	"-4.679"
"hsa05215"	"Prostate cancer"	"-4.688"
"hsa04659"	"Th17 cell differentiation"	"-4.819"
"hsa05211"	"Renal cell carcinoma"	"-4.825"
"hsa04728"	"Dopaminergic synapse"	"-4.849"
"hsa05221"	"Acute myeloid leukemia"	"-4.874"
"hsa04979"	"Cholesterol metabolism"	"-4.906"
"hsa04215"	"Apoptosis - multiple species"	"-4.965"
"hsa05220"	"Chronic myeloid leukemia"	"-4.969"
"hsa04672"	"Intestinal immune network for IgA production"	"-4.995"
"hsa05012"	"Parkinson,s disease"	"-5.034"
"hsa04918"	"Thyroid hormone synthesis"	"-5.068"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-5.07"
"hsa05161"	"Hepatitis B"	"-5.106"
"hsa04727"	"GABAergic synapse"	"-5.156"
"hsa00140"	"Steroid hormone biosynthesis"	"-5.189"
"hsa00190"	"Oxidative phosphorylation"	"-5.248"
"hsa04976"	"Bile secretion"	"-5.344"
"hsa04920"	"Adipocytokine signaling pathway"	"-5.402"
"hsa04620"	"Toll-like receptor signaling pathway"	"-5.433"
"hsa04912"	"GnRH signaling pathway"	"-5.478"
"hsa05030"	"Cocaine addiction"	"-5.541"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"-5.591"
"hsa05210"	"Colorectal cancer"	"-5.601"
"hsa04071"	"Sphingolipid signaling pathway"	"-5.688"
"hsa05214"	"Glioma"	"-5.689"
"hsa05332"	"Graft-versus-host disease"	"-5.691"
"hsa04720"	"Long-term potentiation"	"-5.695"
"hsa04730"	"Long-term depression"	"-5.726"
"hsa04670"	"Leukocyte transendothelial migration"	"-5.77"
"hsa04740"	"Olfactory transduction"	"-5.805"
"hsa05330"	"Allograft rejection"	"-5.83"
"hsa05213"	"Endometrial cancer"	"-5.88"
"hsa04380"	"Osteoclast differentiation"	"-5.888"
"hsa04640"	"Hematopoietic cell lineage"	"-5.919"
"hsa04917"	"Prolactin signaling pathway"	"-5.939"
"hsa05033"	"Nicotine addiction"	"-6.006"
"hsa05224"	"Breast cancer"	"-6.025"
"hsa05100"	"Bacterial invasion of epithelial cells"	"-6.103"
"hsa05205"	"Proteoglycans in cancer"	"-6.195"
"hsa04270"	"Vascular smooth muscle contraction"	"-6.23"
"hsa04614"	"Renin-angiotensin system"	"-6.298"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"-6.366"
"hsa05146"	"Amoebiasis"	"-6.402"
"hsa05212"	"Pancreatic cancer"	"-6.41"
"hsa04913"	"Ovarian steroidogenesis"	"-6.428"
"hsa05218"	"Melanoma"	"-6.471"
"hsa04662"	"B cell receptor signaling pathway"	"-6.565"
"hsa04973"	"Carbohydrate digestion and absorption"	"-6.589"
"hsa05152"	"Tuberculosis"	"-6.645"
"hsa04744"	"Phototransduction"	"-6.708"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"-6.871"
"hsa05223"	"Non-small cell lung cancer"	"-6.936"
"hsa05217"	"Basal cell carcinoma"	"-6.964"
"hsa05310"	"Asthma"	"-7.015"
"hsa04971"	"Gastric acid secretion"	"-7.024"
"hsa04660"	"T cell receptor signaling pathway"	"-7.059"
"hsa05231"	"Choline metabolism in cancer"	"-7.226"
"hsa04927"	"Cortisol synthesis and secretion"	"-7.361"
"hsa04520"	"Adherens junction"	"-7.469"
"hsa04925"	"Aldosterone synthesis and secretion"	"-7.477"
"hsa04970"	"Salivary secretion"	"-7.478"
"hsa04022"	"cGMP-PKG signaling pathway"	"-7.56"
"hsa04012"	"ErbB signaling pathway"	"-7.572"
"hsa04070"	"Phosphatidylinositol signaling system"	"-7.624"
"hsa05320"	"Autoimmune thyroid disease"	"-7.863"
"hsa04370"	"VEGF signaling pathway"	"-7.932"
"hsa04934"	"Cushing,s syndrome"	"-8.095"
"hsa04924"	"Renin secretion"	"-8.182"
"hsa05225"	"Hepatocellular carcinoma"	"-8.189"
"hsa04144"	"Endocytosis"	"-8.24"
"hsa04714"	"Thermogenesis"	"-8.319"
"hsa04911"	"Insulin secretion"	"-8.378"
"hsa05226"	"Gastric cancer"	"-8.862"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"-9.101"
"hsa04510"	"Focal adhesion"	"-9.2"
"hsa04972"	"Pancreatic secretion"	"-9.215"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"-9.321"
"hsa04926"	"Relaxin signaling pathway"	"-9.385"
"hsa04611"	"Platelet activation"	"-9.447"
"hsa04664"	"Fc epsilon RI signaling pathway"	"-9.759"
"hsa05010"	"Alzheimer,s disease"	"-9.832"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"-10.128"
"hsa05032"	"Morphine addiction"	"-10.213"
"hsa05200"	"Pathways in cancer"	"-10.335"
"hsa04916"	"Melanogenesis"	"-10.371"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"-10.466"
"hsa04020"	"Calcium signaling pathway"	"-10.871"
"hsa05150"	"Staphylococcus aureus infection"	"-11.063"
"hsa04713"	"Circadian entrainment"	"-11.236"
"hsa04630"	"Jak-STAT signaling pathway"	"-11.551"
