"GO.ID"	"GO.Term"	"Z-score"
"GO:0052812"	"phosphatidylinositol-3,4-bisphosphate 5-kinase activity"	"11.946"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"10.769"
"GO:0000285"	"1-phosphatidylinositol-3-phosphate 5-kinase activity"	"10.352"
"GO:0052810"	"1-phosphatidylinositol-5-kinase activity"	"10.352"
"GO:0008146"	"sulfotransferase activity"	"10.066"
"GO:0005005"	"transmembrane-ephrin receptor activity"	"9.827"
"GO:0005158"	"insulin receptor binding"	"9.197"
"GO:0046875"	"ephrin receptor binding"	"9.116"
"GO:0052811"	"1-phosphatidylinositol-3-phosphate 4-kinase activity"	"9.048"
"GO:0001784"	"phosphotyrosine binding"	"8.945"
"GO:0030021"	"extracellular matrix structural constituent conferring compression resistance"	"8.738"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"8.659"
"GO:0008194"	"UDP-glycosyltransferase activity"	"8.627"
"GO:0004713"	"protein tyrosine kinase activity"	"8.234"
"GO:0004062"	"aryl sulfotransferase activity"	"8.066"
"GO:0046332"	"SMAD binding"	"8.002"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"7.93"
"GO:0043560"	"insulin receptor substrate binding"	"7.757"
"GO:0016308"	"1-phosphatidylinositol-4-phosphate 5-kinase activity"	"7.614"
"GO:0017124"	"SH3 domain binding"	"7.343"
"GO:0005070"	"SH3/SH2 adaptor activity"	"7.298"
"GO:0005160"	"transforming growth factor beta receptor binding"	"7.292"
"GO:0030372"	"high molecular weight B cell growth factor receptor binding"	"7.243"
"GO:0005127"	"ciliary neurotrophic factor receptor binding"	"7.183"
"GO:0042802"	"identical protein binding"	"7.015"
"GO:0071532"	"ankyrin repeat binding"	"7.008"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"7.005"
"GO:0015020"	"glucuronosyltransferase activity"	"6.865"
"GO:0070411"	"I-SMAD binding"	"6.847"
"GO:0003712"	"transcription cofactor activity"	"6.841"
"GO:0044325"	"ion channel binding"	"6.787"
"GO:0005154"	"epidermal growth factor receptor binding"	"6.728"
"GO:0005518"	"collagen binding"	"6.678"
"GO:0070700"	"BMP receptor binding"	"6.575"
"GO:0017151"	"DEAD/H-box RNA helicase binding"	"6.567"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"6.551"
"GO:0005515"	"protein binding"	"6.545"
"GO:0005168"	"neurotrophin TRKA receptor binding"	"6.502"
"GO:0005138"	"interleukin-6 receptor binding"	"6.476"
"GO:0031013"	"troponin I binding"	"6.437"
"GO:0005201"	"extracellular matrix structural constituent"	"6.416"
"GO:0030899"	"calcium-dependent ATPase activity"	"6.409"
"GO:0008134"	"transcription factor binding"	"6.404"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"6.391"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"6.38"
"GO:0042609"	"CD4 receptor binding"	"6.286"
"GO:0016167"	"glial cell-derived neurotrophic factor receptor activity"	"6.229"
"GO:0035004"	"phosphatidylinositol 3-kinase activity"	"6.208"
"GO:0001972"	"retinoic acid binding"	"6.156"
"GO:0003713"	"transcription coactivator activity"	"6.073"
"GO:0050693"	"LBD domain binding"	"6.02"
"GO:0042608"	"T cell receptor binding"	"6.018"
"GO:0008467"	"[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity"	"5.92"
"GO:0005164"	"tumor necrosis factor receptor binding"	"5.915"
"GO:0030618"	"transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"	"5.894"
"GO:0005024"	"transforming growth factor beta-activated receptor activity"	"5.846"
"GO:0031490"	"chromatin DNA binding"	"5.841"
"GO:0032395"	"MHC class II receptor activity"	"5.826"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"5.78"
"GO:0005003"	"ephrin receptor activity"	"5.76"
"GO:0005159"	"insulin-like growth factor receptor binding"	"5.711"
"GO:0003708"	"retinoic acid receptor activity"	"5.706"
"GO:0035005"	"1-phosphatidylinositol-4-phosphate 3-kinase activity"	"5.694"
"GO:0030375"	"thyroid hormone receptor coactivator activity"	"5.686"
"GO:0003714"	"transcription corepressor activity"	"5.652"
