"Pathway"	"zscore"
"Metabolism of xenobiotics by cytochrome P450"	"39.389"
"Chemical carcinogenesis"	"39.221"
"Drug metabolism - cytochrome P450"	"38.885"
"Steroid hormone biosynthesis"	"33.971"
"Retinol metabolism"	"32.789"
"Linoleic acid metabolism"	"29.176"
"Arachidonic acid metabolism"	"27.19"
"Primary bile acid biosynthesis"	"22.135"
"Drug metabolism - other enzymes"	"19.516"
"Glycolysis / Gluconeogenesis"	"17.482"
"Glutathione metabolism"	"15.422"
"Tryptophan metabolism"	"15.025"
"Pyruvate metabolism"	"14.751"
"Valine, leucine and isoleucine degradation"	"14.422"
"Caffeine metabolism"	"13.726"
"Antigen processing and presentation"	"13.7"
"Citrate cycle (TCA cycle)"	"13.096"
"Amino sugar and nucleotide sugar metabolism"	"12.534"
"Protein processing in endoplasmic reticulum"	"12.459"
"Legionellosis"	"12.14"
"Galactose metabolism"	"12.119"
"Maturity onset diabetes of the young"	"11.817"
"Phagosome"	"11.784"
"Fatty acid degradation"	"11.708"
"Steroid biosynthesis"	"11.416"
"Pentose and glucuronate interconversions"	"11.078"
"Aminoacyl-tRNA biosynthesis"	"10.727"
"Glyoxylate and dicarboxylate metabolism"	"10.722"
"Fructose and mannose metabolism"	"10.371"
"Propanoate metabolism"	"10.292"
"Ovarian steroidogenesis"	"10.177"
"Starch and sucrose metabolism"	"10.062"
"Cysteine and methionine metabolism"	"9.739"
"Alanine, aspartate and glutamate metabolism"	"9.629"
"Toxoplasmosis"	"9.377"
"Tyrosine metabolism"	"9.255"
"Longevity regulating pathway - multiple species"	"8.997"
"Glycine, serine and threonine metabolism"	"8.919"
"Pentose phosphate pathway"	"8.887"
"Ascorbate and aldarate metabolism"	"8.818"
"Peroxisome"	"8.696"
"Lysine degradation"	"8.632"
"Fluid shear stress and atherosclerosis"	"8.389"
"Complement and coagulation cascades"	"8.302"
"Glycerolipid metabolism"	"8.297"
"Butanoate metabolism"	"7.902"
"Arginine and proline metabolism"	"7.8"
"Pathogenic Escherichia coli infection"	"7.782"
"beta-Alanine metabolism"	"7.766"
"Terpenoid backbone biosynthesis"	"7.623"
"Synthesis and degradation of ketone bodies"	"7.595"
"Histidine metabolism"	"7.508"
"Estrogen signaling pathway"	"7.48"
"Arginine biosynthesis"	"7.451"
"AMPK signaling pathway"	"7.415"
"PPAR signaling pathway"	"7.237"
"Phenylalanine metabolism"	"7.236"
"Influenza A"	"7.029"
"Proteasome"	"7.017"
"Cholesterol metabolism"	"6.944"
"Glucagon signaling pathway"	"6.823"
"Gap junction"	"6.642"
"Prion diseases"	"6.634"
"Bile secretion"	"6.615"
"Fat digestion and absorption"	"6.479"
"One carbon pool by folate"	"6.303"
"Measles"	"6.266"
"HIF-1 signaling pathway"	"6.237"
"Central carbon metabolism in cancer"	"5.857"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"5.835"
"RNA degradation"	"5.626"
"Neomycin, kanamycin and gentamicin biosynthesis"	"5.605"
"MAPK signaling pathway"	"5.568"
"Fatty acid biosynthesis"	"5.56"
"Insulin signaling pathway"	"5.55"
"Type II diabetes mellitus"	"5.42"
"Pantothenate and CoA biosynthesis"	"5.196"
"Porphyrin and chlorophyll metabolism"	"5.172"
"Tight junction"	"4.997"
"Apoptosis"	"4.953"
"Collecting duct acid secretion"	"4.935"
"Vibrio cholerae infection"	"4.899"
"Tuberculosis"	"4.78"
"Pertussis"	"4.71"
"Selenocompound metabolism"	"4.69"
"Epstein-Barr virus infection"	"4.635"
"Adipocytokine signaling pathway"	"4.607"
"Insulin resistance"	"4.533"
"Type I diabetes mellitus"	"4.279"
"Valine, leucine and isoleucine biosynthesis"	"4.053"
"Rheumatoid arthritis"	"4.045"
"Folate biosynthesis"	"3.906"
"NOD-like receptor signaling pathway"	"3.884"
"Necroptosis"	"3.806"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"3.778"
"Glycerophospholipid metabolism"	"3.686"
"alpha-Linolenic acid metabolism"	"3.57"
"Cortisol synthesis and secretion"	"3.551"
"Biosynthesis of unsaturated fatty acids"	"3.522"
"Leishmaniasis"	"3.498"
"Autophagy - animal"	"3.205"
"ECM-receptor interaction"	"3.175"
"Synaptic vesicle cycle"	"3.149"
