"Pathway"	"zscore"
"Peroxisome"	"27.134"
"Glycolysis / Gluconeogenesis"	"10.061"
"Necroptosis"	"9.114"
"Nucleotide excision repair"	"8.838"
"Drug metabolism - other enzymes"	"8.709"
"Pyruvate metabolism"	"8.436"
"D-Arginine and D-ornithine metabolism"	"8.388"
"Citrate cycle (TCA cycle)"	"8.012"
"Fatty acid degradation"	"7.687"
"Legionellosis"	"7.396"
"Valine, leucine and isoleucine degradation"	"7.276"
"Glycine, serine and threonine metabolism"	"6.649"
"Drug metabolism - cytochrome P450"	"6.451"
"Glyoxylate and dicarboxylate metabolism"	"6.415"
"Fructose and mannose metabolism"	"6.38"
"Longevity regulating pathway - multiple species"	"6.273"
"Primary bile acid biosynthesis"	"6.037"
"Phagosome"	"5.965"
"PPAR signaling pathway"	"5.964"
"Glycerolipid metabolism"	"5.721"
"Gap junction"	"5.689"
"Chemical carcinogenesis"	"5.682"
"Cysteine and methionine metabolism"	"5.667"
"Mismatch repair"	"5.608"
"RNA degradation"	"5.597"
"Purine metabolism"	"5.52"
"Metabolism of xenobiotics by cytochrome P450"	"5.485"
"Propanoate metabolism"	"5.428"
"Pentose phosphate pathway"	"5.42"
"Protein processing in endoplasmic reticulum"	"5.317"
"Ascorbate and aldarate metabolism"	"5.252"
"Basal transcription factors"	"5.228"
"Retinol metabolism"	"5.175"
"Antigen processing and presentation"	"5.171"
"Glutathione metabolism"	"5.155"
"Pathogenic Escherichia coli infection"	"5.141"
"Pentose and glucuronate interconversions"	"5.041"
"Arginine and proline metabolism"	"4.968"
"Aminoacyl-tRNA biosynthesis"	"4.779"
"Synthesis and degradation of ketone bodies"	"4.753"
"Glucagon signaling pathway"	"4.751"
"Cholesterol metabolism"	"4.717"
"Starch and sucrose metabolism"	"4.668"
"Butanoate metabolism"	"4.663"
"Systemic lupus erythematosus"	"4.611"
"Amino sugar and nucleotide sugar metabolism"	"4.504"
"Oxytocin signaling pathway"	"4.498"
"Fat digestion and absorption"	"4.449"
"Steroid hormone biosynthesis"	"4.381"
"Central carbon metabolism in cancer"	"4.336"
"alpha-Linolenic acid metabolism"	"4.265"
"Amyotrophic lateral sclerosis (ALS)"	"4.198"
"Parkinson's disease"	"4.198"
"Lysine degradation"	"4.19"
"Tryptophan metabolism"	"4.188"
"Tyrosine metabolism"	"4.175"
"Estrogen signaling pathway"	"4.133"
"Long-term potentiation"	"4.101"
"Alcoholism"	"4.084"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"4.06"
"Galactose metabolism"	"4.055"
"MAPK signaling pathway"	"3.93"
"Homologous recombination"	"3.892"
"Pyrimidine metabolism"	"3.835"
"Toxoplasmosis"	"3.777"
"Fanconi anemia pathway"	"3.759"
"RNA transport"	"3.673"
"Glycerophospholipid metabolism"	"3.647"
"Porphyrin and chlorophyll metabolism"	"3.614"
"Collecting duct acid secretion"	"3.538"
"Valine, leucine and isoleucine biosynthesis"	"3.425"
"Ferroptosis"	"3.39"
"Terpenoid backbone biosynthesis"	"3.365"
"Insulin signaling pathway"	"3.359"
"Histidine metabolism"	"3.357"
"Biosynthesis of unsaturated fatty acids"	"3.327"
"Bile secretion"	"3.293"
"Phenylalanine metabolism"	"3.279"
"beta-Alanine metabolism"	"3.242"
"Vibrio cholerae infection"	"3.227"
"Tight junction"	"3.178"
"Cellular senescence"	"3.176"
"Influenza A"	"3.173"
