"Pathway"	"Z-score"
"Peroxisome - Homo sapiens (human)"	"27.134"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"10.061"
"Necroptosis - Homo sapiens (human)"	"9.114"
"Nucleotide excision repair - Homo sapiens (human)"	"8.838"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"8.709"
"Pyruvate metabolism - Homo sapiens (human)"	"8.436"
"D-Arginine and D-ornithine metabolism - Homo sapiens (human)"	"8.388"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"8.012"
"Fatty acid degradation - Homo sapiens (human)"	"7.687"
"Legionellosis - Homo sapiens (human)"	"7.396"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"7.276"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"6.649"
"Drug metabolism - cytochrome P450 - Homo sapiens (human)"	"6.451"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"6.415"
"Fructose and mannose metabolism - Homo sapiens (human)"	"6.38"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"6.273"
"Primary bile acid biosynthesis - Homo sapiens (human)"	"6.037"
"Phagosome - Homo sapiens (human)"	"5.965"
"PPAR signaling pathway - Homo sapiens (human)"	"5.964"
"Glycerolipid metabolism - Homo sapiens (human)"	"5.721"
"Gap junction - Homo sapiens (human)"	"5.689"
"Chemical carcinogenesis - Homo sapiens (human)"	"5.682"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"5.667"
"Mismatch repair - Homo sapiens (human)"	"5.608"
"RNA degradation - Homo sapiens (human)"	"5.597"
"Purine metabolism - Homo sapiens (human)"	"5.52"
"Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)"	"5.485"
"Propanoate metabolism - Homo sapiens (human)"	"5.428"
"Pentose phosphate pathway - Homo sapiens (human)"	"5.42"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"5.317"
"Ascorbate and aldarate metabolism - Homo sapiens (human)"	"5.252"
"Basal transcription factors - Homo sapiens (human)"	"5.228"
"Retinol metabolism - Homo sapiens (human)"	"5.175"
"Antigen processing and presentation - Homo sapiens (human)"	"5.171"
"Glutathione metabolism - Homo sapiens (human)"	"5.155"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"5.141"
"Pentose and glucuronate interconversions - Homo sapiens (human)"	"5.041"
"Arginine and proline metabolism - Homo sapiens (human)"	"4.968"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"4.779"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"4.753"
"Glucagon signaling pathway - Homo sapiens (human)"	"4.751"
"Cholesterol metabolism - Homo sapiens (human)"	"4.717"
"Starch and sucrose metabolism - Homo sapiens (human)"	"4.668"
"Butanoate metabolism - Homo sapiens (human)"	"4.663"
"Systemic lupus erythematosus - Homo sapiens (human)"	"4.611"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"4.504"
"Oxytocin signaling pathway - Homo sapiens (human)"	"4.498"
"Fat digestion and absorption - Homo sapiens (human)"	"4.449"
"Steroid hormone biosynthesis - Homo sapiens (human)"	"4.381"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"4.336"
"alpha-Linolenic acid metabolism - Homo sapiens (human)"	"4.265"
"Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)"	"4.198"
"Parkinson,s disease - Homo sapiens (human)"	"4.198"
"Lysine degradation - Homo sapiens (human)"	"4.19"
"Tryptophan metabolism - Homo sapiens (human)"	"4.188"
"Tyrosine metabolism - Homo sapiens (human)"	"4.175"
"Estrogen signaling pathway - Homo sapiens (human)"	"4.133"
"Long-term potentiation - Homo sapiens (human)"	"4.101"
"Alcoholism - Homo sapiens (human)"	"4.084"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"4.06"
"Galactose metabolism - Homo sapiens (human)"	"4.055"
"MAPK signaling pathway - Homo sapiens (human)"	"3.93"
"Homologous recombination - Homo sapiens (human)"	"3.892"
"Pyrimidine metabolism - Homo sapiens (human)"	"3.835"
"Toxoplasmosis - Homo sapiens (human)"	"3.777"
"Fanconi anemia pathway - Homo sapiens (human)"	"3.759"
"RNA transport - Homo sapiens (human)"	"3.673"
"Glycerophospholipid metabolism - Homo sapiens (human)"	"3.647"
"Porphyrin and chlorophyll metabolism - Homo sapiens (human)"	"3.614"
"Collecting duct acid secretion - Homo sapiens (human)"	"3.538"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"3.425"
"Ferroptosis - Homo sapiens (human)"	"3.39"
"Terpenoid backbone biosynthesis - Homo sapiens (human)"	"3.365"
"Insulin signaling pathway - Homo sapiens (human)"	"3.359"
"Histidine metabolism - Homo sapiens (human)"	"3.357"
"Biosynthesis of unsaturated fatty acids - Homo sapiens (human)"	"3.327"
"Bile secretion - Homo sapiens (human)"	"3.293"
"Phenylalanine metabolism - Homo sapiens (human)"	"3.279"
"beta-Alanine metabolism - Homo sapiens (human)"	"3.242"
"Vibrio cholerae infection - Homo sapiens (human)"	"3.227"
"Tight junction - Homo sapiens (human)"	"3.178"
"Cellular senescence - Homo sapiens (human)"	"3.176"
"Influenza A - Homo sapiens (human)"	"3.173"
