"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"arappathway"	"adp-ribosylation factor"	"19.843"	"34"	"2.61"	"1.582"
"lis1pathway"	"lissencephaly gene (lis1) in neuronal migration and development"	"3.955"	"10"	"3.181"	"1.724"
"rhopathway"	"rho cell motility signaling pathway"	"3.754"	"8"	"2.411"	"1.489"
"intrinsicpathway"	"intrinsic prothrombin activation pathway"	"3.008"	"4"	"0.992"	"0.944"
"rac1pathway"	"rac1 cell motility signaling pathway"	"2.809"	"8"	"3.197"	"1.71"
"akapcentrosomepathway"	"protein kinase a at the centrosome"	"2.434"	"8"	"3.538"	"1.833"
"deathpathway"	"induction of apoptosis through dr3 and dr4/5 death receptors"	"2.367"	"7"	"2.966"	"1.704"
"stathminpathway"	"stathmin and breast cancer resistance to antimicrotubule agents"	"2.361"	"14"	"7.822"	"2.617"
"plcepathway"	"phospholipase c-epsilon pathway"	"2.27"	"6"	"2.623"	"1.488"
"akap13pathway"	"rho-selective guanine exchange factor akap13 mediates stress fiber formation"	"2.178"	"6"	"2.628"	"1.549"
"akap95pathway"	"akap95 role in mitosis and chromosome dynamics"	"2.099"	"8"	"3.946"	"1.931"
"gata3pathway"	"gata3 participate in activating the th2 cytokine genes expression"	"2.083"	"6"	"2.772"	"1.549"
"par1pathway"	"thrombin signaling and protease-activated receptors"	"1.594"	"8"	"4.615"	"2.123"
"badpathway"	"regulation of bad phosphorylation"	"1.548"	"7"	"4.146"	"1.844"
"extrinsicpathway"	"extrinsic prothrombin activation pathway"	"1.487"	"2"	"0.513"	"0.687"
"ck1pathway"	"regulation of ck1/cdk5 by type 1 glutamate receptors"	"1.367"	"9"	"5.888"	"2.277"
"dreampathway"	"repression of pain sensation by the transcriptional regulator dream"	"1.306"	"8"	"5.287"	"2.078"
"wnvpathway"	"west nile virus"	"1.179"	"3"	"1.572"	"1.211"
"plk3pathway"	"regulation of cell cycle progression by plk3"	"1.136"	"6"	"3.847"	"1.895"
"ucalpainpathway"	"ucalpain and friends in cell spread"	"1.101"	"6"	"3.869"	"1.935"
"agpcrpathway"	"attenuation of gpcr signaling"	"1.095"	"6"	"3.9"	"1.918"
"carm1pathway"	"transcription regulation by methyltransferase of carm1"	"1.087"	"6"	"3.946"	"1.89"
"nos1pathway"	"nitric oxide signaling pathway"	"1.082"	"6"	"4.018"	"1.832"
"ptc1pathway"	"sonic hedgehog receptor ptc1 regulates cell cycle"	"1.065"	"5"	"3.203"	"1.688"
"setpathway"	"granzyme a mediated apoptosis pathway"	"1.023"	"2"	"0.977"	"0.965"
"plateletapppathway"	"platelet amyloid precursor protein pathway"	"0.961"	"3"	"1.849"	"1.197"
"apppathway"	"generation of amyloid b-peptide by ps1"	"0.832"	"3"	"1.975"	"1.232"
"mprpathway"	"how progesterone initiates the oocyte maturation"	"0.791"	"9"	"6.957"	"2.583"
"insulinpathway"	"insulin signaling pathway"	"0.714"	"4"	"2.869"	"1.585"
"tidpathway"	"chaperones modulate interferon signaling pathway"	"0.663"	"8"	"6.437"	"2.359"
"mcalpainpathway"	"mcalpain and friends in cell motility"	"0.654"	"10"	"8.234"	"2.699"
"hsp27pathway"	"stress induction of hsp regulation"	"0.639"	"3"	"2.1"	"1.409"
"cftrpathway"	"cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway"	"0.591"	"6"	"4.732"	"2.146"
"dnafragmentpathway"	"apoptotic dna-fragmentation and tissue homeostasis"	"0.456"	"1"	"0.544"	"0.747"
"cdc25pathway"	"cdc25 and chk1 regulatory pathway in response to dna damage"	"0.424"	"2"	"1.502"	"1.174"
"ppargpathway"	"role of ppar-gamma coactivators in obesity and thermogenesis"	"0.385"	"1"	"0.615"	"0.773"
"ctbp1pathway"	"sumoylation as a mechanism to modulate ctbp-dependent gene responses"	"0.323"	"3"	"2.527"	"1.465"
"notchpathway"	"proteolysis and signaling pathway of notch"	"0.295"	"1"	"0.705"	"0.857"
"gpcrpathway"	"signaling pathway from g-protein families"	"0.23"	"7"	"6.442"	"2.423"
"achpathway"	"role of nicotinic acetylcholine receptors in the regulation of apoptosis"	"0.222"	"3"	"2.654"	"1.562"
"mitrpathway"	"signal dependent regulation of myogenesis by corepressor mitr"	"0.127"	"1"	"0.873"	"0.923"
"tcrpathway"	"t cell receptor signaling pathway"	"0.082"	"10"	"9.763"	"2.902"
"eradpathway"	"er associated degradation (erad) pathway"	"0.07"	"3"	"2.883"	"1.665"
"ndkdynaminpathway"	"endocytotic role of ndk phosphins and dynamin"	"0.067"	"3"	"2.889"	"1.659"
"crempathway"	"regulation of spermatogenesis by crem"	"0.031"	"3"	"2.952"	"1.561"
"parkinpathway"	"role of parkin in ubiquitin-proteasomal pathway"	"0.016"	"2"	"1.979"	"1.281"
"gspathway"	"activation of camp-dependent protein kinase pka"	"-0.017"	"6"	"6.04"	"2.36"
"tnfr2pathway"	"tnfr2 signaling pathway"	"-0.062"	"2"	"2.09"	"1.449"
"dicerpathway"	"dicer pathway"	"-0.081"	"0"	"0.081"	"0.287"
"g2pathway"	"cell cycle: g2/m checkpoint"	"-0.085"	"6"	"6.209"	"2.446"
"ghpathway"	"growth hormone signaling pathway"	"-0.086"	"4"	"4.163"	"1.885"
"wntlrp6pathway"	"wnt lrp6 signalling"	"-0.086"	"0"	"0.086"	"0.288"
"btg2pathway"	"btg family proteins and cell cycle regulation"	"-0.1"	"2"	"2.135"	"1.35"
"reckpathway"	"inhibition of matrix metalloproteinases"	"-0.113"	"0"	"0.113"	"0.326"
"cell2cellpathway"	"cell to cell adhesion signaling"	"-0.114"	"2"	"2.163"	"1.431"
"tall1pathway"	"yaci and bcma stimulation of b cell immune responses"	"-0.117"	"1"	"1.118"	"1.008"
"fibrinolysispathway"	"fibrinolysis pathway"	"-0.139"	"1"	"1.139"	"0.993"
"pparapathway"	"mechanism of gene regulation by peroxisome proliferators via ppara"	"-0.156"	"15"	"15.558"	"3.57"
"hoppathway"	"hop pathway in cardiac development"	"-0.161"	"0"	"0.161"	"0.407"
"mrppathway"	"multi-drug resistance factors"	"-0.171"	"0"	"0.171"	"0.405"
"crebpathway"	"transcription factor creb and its extracellular signals"	"-0.182"	"7"	"7.456"	"2.511"
"pcsynthesispathway"	"phosphatidylcholine biosynthesis pathway"	"-0.194"	"0"	"0.194"	"0.446"
"anthraxpathway"	"anthrax toxin mechanism of action"	"-0.218"	"0"	"0.218"	"0.45"
"plcdpathway"	"phospholipase c delta in phospholipid associated cell signaling"	"-0.226"	"0"	"0.226"	"0.462"
"dsppathway"	"regulation of map kinase pathways through dual specificity phosphatases"	"-0.226"	"1"	"1.227"	"1.003"
