"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"acetaminophenpathway"	"mechanism of acetaminophen activity and toxicity"	"14.15"	"41"	"6.44"	"2.442"
"parkinsonspathway"	"alpha-synuclein and parkin-mediated proteolysis in parkinson`s disease"	"13.02"	"50"	"10.68"	"3.02"
"mta3pathway"	"downregulated of mta-3 in er-negative breast tumors"	"10.318"	"295"	"180.9"	"11.059"
"mitochondriapathway"	"role of mitochondria in apoptotic signaling"	"8.741"	"78"	"31.76"	"5.29"
"flumazenilpathway"	"cardiac protection against ros"	"8.485"	"55"	"20.8"	"4.03"
"wnvpathway"	"west nile virus"	"8.061"	"86"	"40.96"	"5.588"
"dnafragmentpathway"	"apoptotic dna-fragmentation and tissue homeostasis"	"7.695"	"43"	"14.8"	"3.665"
"stathminpathway"	"stathmin and breast cancer resistance to antimicrotubule agents"	"7.694"	"333"	"214.52"	"15.4"
"plcepathway"	"phospholipase c-epsilon pathway"	"7.497"	"125"	"73.82"	"6.826"
"proteasomepathway"	"proteasome complex"	"5.614"	"244"	"165.82"	"13.925"
"setpathway"	"granzyme a mediated apoptosis pathway"	"4.966"	"54"	"27.24"	"5.389"
"nos1pathway"	"nitric oxide signaling pathway"	"4.689"	"167"	"111.9"	"11.751"
"hsp27pathway"	"stress induction of hsp regulation"	"4.648"	"88"	"55.4"	"7.013"
"pparapathway"	"mechanism of gene regulation by peroxisome proliferators via ppara"	"4.431"	"513"	"424.86"	"19.893"
"arappathway"	"adp-ribosylation factor"	"3.988"	"105"	"70.66"	"8.611"
"dreampathway"	"repression of pain sensation by the transcriptional regulator dream"	"3.813"	"191"	"146.08"	"11.78"
"cdmacpathway"	"cadmium induces dna synthesis and proliferation in macrophages"	"3.772"	"217"	"165.74"	"13.588"
"huntingtonpathway"	"inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors"	"3.737"	"43"	"27.54"	"4.136"
"pgc1apathway"	"regulation of pgc-1a"	"3.615"	"88"	"62.08"	"7.171"
"pcsynthesispathway"	"phosphatidylcholine biosynthesis pathway"	"3.495"	"13"	"5.18"	"2.238"
"ahsppathway"	"hemoglobins chaperone"	"3.321"	"27"	"16.32"	"3.216"
"d4gdipathway"	"d4gdi signaling pathway"	"3.137"	"75"	"53.96"	"6.707"
"p53hypoxiapathway"	"hypoxia and p53 in the cardiovascular system"	"3.132"	"354"	"304.26"	"15.882"
"caspasepathway"	"caspase cascade in apoptosis"	"3.006"	"84"	"61.42"	"7.511"
"eifpathway"	"eukaryotic protein translation"	"2.896"	"148"	"115.88"	"11.091"
"arfpathway"	"tumor suppressor arf inhibits ribosomal biogenesis"	"2.732"	"371"	"326.08"	"16.441"
"mapkpathway"	"mapkinase signaling pathway"	"2.708"	"377"	"322.88"	"19.985"
"ptdinspathway"	"phosphoinositides and their downstream targets"	"2.687"	"174"	"142.58"	"11.695"
