"Pathway"	"zscore"
"Nucleotide excision repair"	"77.438"
"Basal transcription factors"	"67.095"
"Pyrimidine metabolism"	"47.736"
"RNA polymerase"	"46.512"
"Mismatch repair"	"43.533"
"Purine metabolism"	"43.371"
"DNA replication"	"41.895"
"Base excision repair"	"41.196"
"Spliceosome"	"39.717"
"Fanconi anemia pathway"	"34.44"
"Homologous recombination"	"32.292"
"Cytosolic DNA-sensing pathway"	"23.492"
"Huntington's disease"	"16.068"
"Epstein-Barr virus infection"	"13.04"
"mRNA surveillance pathway"	"12.951"
"Herpes simplex infection"	"10.629"
"RNA transport"	"8.828"
"Viral carcinogenesis"	"8.04"
"Systemic lupus erythematosus"	"7.975"
"Transcriptional misregulation in cancer"	"7.859"
"RNA degradation"	"7.435"
"Non-homologous end-joining"	"5.14"
"Ubiquitin mediated proteolysis"	"4.506"
"Legionellosis"	"3.409"
"p53 signaling pathway"	"3.054"
"Antigen processing and presentation"	"2.434"
"Cell cycle"	"1.793"
"Galactose metabolism"	"1.711"
"HTLV-I infection"	"1.519"
"Glycine, serine and threonine metabolism"	"1.39"
"Basal cell carcinoma"	"1.376"
"Thyroid cancer"	"1.121"
"Other glycan degradation"	"1.076"
"Riboflavin metabolism"	"1.069"
"Fructose and mannose metabolism"	"0.801"
"Pentose phosphate pathway"	"0.676"
"Phenylalanine metabolism"	"0.674"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"0.668"
"Valine, leucine and isoleucine biosynthesis"	"0.634"
"Influenza A"	"0.516"
"Glycolysis / Gluconeogenesis"	"0.505"
"Lysine degradation"	"0.484"
"Neomycin, kanamycin and gentamicin biosynthesis"	"0.45"
"Tyrosine metabolism"	"0.435"
"N-Glycan biosynthesis"	"0.119"
"Biotin metabolism"	"0.114"
"Ferroptosis"	"0.114"
"Longevity regulating pathway - multiple species"	"0.055"
"Protein processing in endoplasmic reticulum"	"-0.037"
"D-Arginine and D-ornithine metabolism"	"-0.123"
"Glyoxylate and dicarboxylate metabolism"	"-0.18"
"Caffeine metabolism"	"-0.187"
"Maturity onset diabetes of the young"	"-0.238"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.256"
"Notch signaling pathway"	"-0.263"
"Cysteine and methionine metabolism"	"-0.303"
"Ascorbate and aldarate metabolism"	"-0.318"
"Histidine metabolism"	"-0.331"
"One carbon pool by folate"	"-0.331"
"Thiamine metabolism"	"-0.339"
"D-Glutamine and D-glutamate metabolism"	"-0.385"
"Amino sugar and nucleotide sugar metabolism"	"-0.414"
"Alcoholism"	"-0.486"
"Collecting duct acid secretion"	"-0.565"
"Synthesis and degradation of ketone bodies"	"-0.688"
"Taurine and hypotaurine metabolism"	"-0.7"
"Pathogenic Escherichia coli infection"	"-0.705"
"Selenocompound metabolism"	"-0.733"
"Other types of O-glycan biosynthesis"	"-0.779"
"Fatty acid biosynthesis"	"-0.803"
"Valine, leucine and isoleucine degradation"	"-0.821"
"Phagosome"	"-0.851"
"Lipoic acid metabolism"	"-0.875"
"Butanoate metabolism"	"-0.915"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-1.007"
"Ether lipid metabolism"	"-1.026"
"Glycosphingolipid biosynthesis - ganglio series"	"-1.035"
"beta-Alanine metabolism"	"-1.15"
"Sulfur metabolism"	"-1.174"
"Sulfur relay system"	"-1.198"
"Nitrogen metabolism"	"-1.207"
"Alanine, aspartate and glutamate metabolism"	"-1.256"
"Nicotinate and nicotinamide metabolism"	"-1.362"
"Arginine biosynthesis"	"-1.427"
"Citrate cycle (TCA cycle)"	"-1.464"
"Fatty acid degradation"	"-1.5"
"Vibrio cholerae infection"	"-1.579"
"Tryptophan metabolism"	"-1.634"
"Drug metabolism - other enzymes"	"-1.659"
"PPAR signaling pathway"	"-1.674"
"Vitamin digestion and absorption"	"-1.677"
"Vitamin B6 metabolism"	"-1.702"
"Glutathione metabolism"	"-1.766"
"Arginine and proline metabolism"	"-1.822"
"Starch and sucrose metabolism"	"-1.842"
