"ID"	"Pathway"	"Z-score"
"hsa03460"	"Fanconi anemia pathway"	"36.701"
"hsa03440"	"Homologous recombination"	"34.19"
"hsa04110"	"Cell cycle"	"32.522"
"hsa03030"	"DNA replication"	"31.647"
"hsa03430"	"Mismatch repair"	"26.752"
"hsa03420"	"Nucleotide excision repair"	"24.223"
"hsa03410"	"Base excision repair"	"20.634"
"hsa04115"	"p53 signaling pathway"	"19.036"
"hsa05322"	"Systemic lupus erythematosus"	"16.418"
"hsa04218"	"Cellular senescence"	"13.681"
"hsa03013"	"RNA transport"	"13.64"
"hsa03450"	"Non-homologous end-joining"	"13.319"
"hsa04114"	"Oocyte meiosis"	"12.2"
"hsa05202"	"Transcriptional misregulation in cancer"	"11.474"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"10.32"
"hsa05034"	"Alcoholism"	"9.474"
"hsa05203"	"Viral carcinogenesis"	"8.841"
"hsa00240"	"Pyrimidine metabolism"	"8.371"
"hsa04120"	"Ubiquitin mediated proteolysis"	"7.351"
"hsa03040"	"Spliceosome"	"7.32"
"hsa05166"	"HTLV-I infection"	"6.974"
"hsa00230"	"Purine metabolism"	"6.202"
"hsa05222"	"Small cell lung cancer"	"5.567"
"hsa05206"	"MicroRNAs in cancer"	"4.371"
"hsa05219"	"Bladder cancer"	"3.649"
"hsa04217"	"Necroptosis"	"3.643"
"hsa05169"	"Epstein-Barr virus infection"	"3.326"
"hsa00565"	"Ether lipid metabolism"	"2.941"
"hsa05216"	"Thyroid cancer"	"2.933"
"hsa03018"	"RNA degradation"	"2.888"
"hsa05168"	"Herpes simplex infection"	"2.735"
"hsa03020"	"RNA polymerase"	"2.732"
"hsa04068"	"FoxO signaling pathway"	"2.602"
"hsa00310"	"Lysine degradation"	"2.326"
"hsa04210"	"Apoptosis"	"2.311"
"hsa03022"	"Basal transcription factors"	"2.244"
"hsa05161"	"Hepatitis B"	"2.196"
"hsa05130"	"Pathogenic Escherichia coli infection"	"2.178"
"hsa00232"	"Caffeine metabolism"	"2.044"
"hsa00430"	"Taurine and hypotaurine metabolism"	"2.012"
"hsa03015"	"mRNA surveillance pathway"	"1.975"
"hsa00340"	"Histidine metabolism"	"1.907"
"hsa05212"	"Pancreatic cancer"	"1.621"
"hsa05134"	"Legionellosis"	"1.597"
"hsa04330"	"Notch signaling pathway"	"1.573"
"hsa00531"	"Glycosaminoglycan degradation"	"1.487"
"hsa04710"	"Circadian rhythm"	"1.433"
"hsa04612"	"Antigen processing and presentation"	"1.428"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"1.423"
"hsa05162"	"Measles"	"1.418"
"hsa04137"	"Mitophagy - animal"	"1.317"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"1.19"
"hsa05218"	"Melanoma"	"1.032"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"1.021"
"hsa00785"	"Lipoic acid metabolism"	"1.004"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"0.971"
"hsa05220"	"Chronic myeloid leukemia"	"0.957"
"hsa00410"	"beta-Alanine metabolism"	"0.791"
"hsa00740"	"Riboflavin metabolism"	"0.736"
"hsa05215"	"Prostate cancer"	"0.619"
"hsa05224"	"Breast cancer"	"0.44"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"0.399"
"hsa05164"	"Influenza A"	"0.399"
"hsa00511"	"Other glycan degradation"	"0.386"
"hsa00053"	"Ascorbate and aldarate metabolism"	"0.38"
"hsa05223"	"Non-small cell lung cancer"	"0.361"
"hsa00910"	"Nitrogen metabolism"	"0.349"
"hsa00750"	"Vitamin B6 metabolism"	"0.346"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"0.253"
"hsa04350"	"TGF-beta signaling pathway"	"0.248"
"hsa03010"	"Ribosome"	"0.237"
"hsa00071"	"Fatty acid degradation"	"0.22"
"hsa04392"	"Hippo signaling pathway - multiple species"	"0.131"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"0.068"
"hsa00330"	"Arginine and proline metabolism"	"0.024"
"hsa00670"	"One carbon pool by folate"	"0.019"
"hsa05165"	"Human papillomavirus infection"	"-0.022"
"hsa00730"	"Thiamine metabolism"	"-0.05"
"hsa00061"	"Fatty acid biosynthesis"	"-0.067"
"hsa04215"	"Apoptosis - multiple species"	"-0.103"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"-0.168"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.19"
