"Pathway"	"zscore"
"Fanconi anemia pathway"	"36.701"
"Homologous recombination"	"34.19"
"Cell cycle"	"32.522"
"DNA replication"	"31.647"
"Mismatch repair"	"26.752"
"Nucleotide excision repair"	"24.223"
"Base excision repair"	"20.634"
"p53 signaling pathway"	"19.036"
"Systemic lupus erythematosus"	"16.418"
"Cellular senescence"	"13.681"
"RNA transport"	"13.64"
"Non-homologous end-joining"	"13.319"
"Oocyte meiosis"	"12.2"
"Transcriptional misregulation in cancer"	"11.474"
"Progesterone-mediated oocyte maturation"	"10.32"
"Alcoholism"	"9.474"
"Viral carcinogenesis"	"8.841"
"Pyrimidine metabolism"	"8.371"
"Ubiquitin mediated proteolysis"	"7.351"
"Spliceosome"	"7.32"
"HTLV-I infection"	"6.974"
"Purine metabolism"	"6.202"
"Small cell lung cancer"	"5.567"
"MicroRNAs in cancer"	"4.371"
"Bladder cancer"	"3.649"
"Necroptosis"	"3.643"
"Epstein-Barr virus infection"	"3.326"
"Ether lipid metabolism"	"2.941"
"Thyroid cancer"	"2.933"
"RNA degradation"	"2.888"
"Herpes simplex infection"	"2.735"
"RNA polymerase"	"2.732"
"FoxO signaling pathway"	"2.602"
"Lysine degradation"	"2.326"
"Apoptosis"	"2.311"
"Basal transcription factors"	"2.244"
"Hepatitis B"	"2.196"
"Pathogenic Escherichia coli infection"	"2.178"
"Caffeine metabolism"	"2.044"
"Taurine and hypotaurine metabolism"	"2.012"
"mRNA surveillance pathway"	"1.975"
"Histidine metabolism"	"1.907"
"Pancreatic cancer"	"1.621"
"Legionellosis"	"1.597"
"Notch signaling pathway"	"1.573"
"Glycosaminoglycan degradation"	"1.487"
"Circadian rhythm"	"1.433"
"Antigen processing and presentation"	"1.428"
"Glycosphingolipid biosynthesis - ganglio series"	"1.423"
"Measles"	"1.418"
"Mitophagy - animal"	"1.317"
"Neomycin, kanamycin and gentamicin biosynthesis"	"1.19"
"Melanoma"	"1.032"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"1.021"
"Lipoic acid metabolism"	"1.004"
"Alanine, aspartate and glutamate metabolism"	"0.971"
"Chronic myeloid leukemia"	"0.957"
"beta-Alanine metabolism"	"0.791"
"Riboflavin metabolism"	"0.736"
"Prostate cancer"	"0.619"
"Breast cancer"	"0.44"
"Fluid shear stress and atherosclerosis"	"0.399"
"Influenza A"	"0.399"
"Other glycan degradation"	"0.386"
"Ascorbate and aldarate metabolism"	"0.38"
"Non-small cell lung cancer"	"0.361"
"Nitrogen metabolism"	"0.349"
"Vitamin B6 metabolism"	"0.346"
"Amino sugar and nucleotide sugar metabolism"	"0.253"
"TGF-beta signaling pathway"	"0.248"
"Ribosome"	"0.237"
"Fatty acid degradation"	"0.22"
"Hippo signaling pathway - multiple species"	"0.131"
"Protein processing in endoplasmic reticulum"	"0.068"
"Arginine and proline metabolism"	"0.024"
"One carbon pool by folate"	"0.019"
"Human papillomavirus infection"	"-0.022"
"Thiamine metabolism"	"-0.05"
"Fatty acid biosynthesis"	"-0.067"
"Apoptosis - multiple species"	"-0.103"
"Glycolysis / Gluconeogenesis"	"-0.168"
"D-Arginine and D-ornithine metabolism"	"-0.19"
"Longevity regulating pathway - multiple species"	"-0.207"
"Ferroptosis"	"-0.26"
"Tryptophan metabolism"	"-0.285"
"Galactose metabolism"	"-0.301"
"Other types of O-glycan biosynthesis"	"-0.317"
"Basal cell carcinoma"	"-0.348"
"Wnt signaling pathway"	"-0.348"
"PPAR signaling pathway"	"-0.358"
"alpha-Linolenic acid metabolism"	"-0.363"
"Biotin metabolism"	"-0.464"
"Glycerolipid metabolism"	"-0.485"
"Cushing's syndrome"	"-0.492"
"Sulfur relay system"	"-0.535"
"D-Glutamine and D-glutamate metabolism"	"-0.576"
"Starch and sucrose metabolism"	"-0.692"
"Cytosolic DNA-sensing pathway"	"-0.751"
"Glutathione metabolism"	"-0.772"
"Glioma"	"-0.817"
"Tyrosine metabolism"	"-0.873"
"Pyruvate metabolism"	"-0.9"
"Phenylalanine metabolism"	"-0.903"
"Cysteine and methionine metabolism"	"-0.919"
"Sphingolipid metabolism"	"-0.92"
"Gastric cancer"	"-1.022"
"Glycine, serine and threonine metabolism"	"-1.076"
"Valine, leucine and isoleucine degradation"	"-1.128"
"Colorectal cancer"	"-1.164"
"Drug metabolism - other enzymes"	"-1.191"
"Fatty acid elongation"	"-1.229"
"Sulfur metabolism"	"-1.241"
"Pantothenate and CoA biosynthesis"	"-1.245"
"Glyoxylate and dicarboxylate metabolism"	"-1.255"
"Pentose phosphate pathway"	"-1.293"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-1.309"
