"Pathway"	"Z-score"
"Focal adhesion"	"12.79"
"Proteoglycans in cancer"	"10.998"
"Fluid shear stress and atherosclerosis"	"9.559"
"Cholesterol metabolism"	"9.342"
"PI3K-Akt signaling pathway"	"9.34"
"Human papillomavirus infection"	"8.477"
"Regulation of actin cytoskeleton"	"7.578"
"Complement and coagulation cascades"	"7.558"
"ECM-receptor interaction"	"7.485"
"Pathways in cancer"	"7.22"
"AGE-RAGE signaling pathway in diabetic complications"	"6.693"
"Cytokine-cytokine receptor interaction"	"6.345"
"Chemokine signaling pathway"	"6.217"
"Notch signaling pathway"	"6.031"
"Rap1 signaling pathway"	"5.898"
"VEGF signaling pathway"	"5.843"
"Breast cancer"	"5.264"
"MicroRNAs in cancer"	"5.111"
"PPAR signaling pathway"	"5.101"
"HTLV-I infection"	"5.087"
"Melanoma"	"5.063"
"Protein digestion and absorption"	"4.569"
"Transcriptional misregulation in cancer"	"4.555"
"Rheumatoid arthritis"	"4.46"
"Small cell lung cancer"	"4.423"
"Amoebiasis"	"4.418"
"Th1 and Th2 cell differentiation"	"4.402"
"Prostate cancer"	"4.278"
"HIF-1 signaling pathway"	"4.242"
"Leukocyte transendothelial migration"	"3.993"
"Ras signaling pathway"	"3.993"
"Asthma"	"3.987"
"Relaxin signaling pathway"	"3.595"
"Apelin signaling pathway"	"3.424"
"Cell adhesion molecules (CAMs)"	"3.352"
"MAPK signaling pathway"	"3.347"
"Phagosome"	"3.306"
"Bladder cancer"	"3.265"
"Hedgehog signaling pathway"	"3.143"
"Jak-STAT signaling pathway"	"3.094"
"Alzheimer's disease"	"3.016"
"Axon guidance"	"2.96"
"Glycerolipid metabolism"	"2.702"
"Fc epsilon RI signaling pathway"	"2.584"
"Central carbon metabolism in cancer"	"2.49"
"Renal cell carcinoma"	"2.47"
"Bacterial invasion of epithelial cells"	"2.414"
"Prolactin signaling pathway"	"2.412"
"B cell receptor signaling pathway"	"2.41"
"p53 signaling pathway"	"2.408"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"2.378"
"Glioma"	"2.377"
"Pertussis"	"2.328"
"Adherens junction"	"2.319"
"Pancreatic cancer"	"2.312"
"ErbB signaling pathway"	"2.131"
"Fc gamma R-mediated phagocytosis"	"2.126"
"Hypertrophic cardiomyopathy (HCM)"	"2.119"
"Gap junction"	"2.048"
"IL-17 signaling pathway"	"2.039"
"Dilated cardiomyopathy (DCM)"	"1.992"
"Choline metabolism in cancer"	"1.951"
"T cell receptor signaling pathway"	"1.909"
"Toll-like receptor signaling pathway"	"1.836"
"TNF signaling pathway"	"1.821"
"Serotonergic synapse"	"1.717"
"Thyroid hormone signaling pathway"	"1.64"
"Platelet activation"	"1.629"
"Cell cycle"	"1.601"
"FoxO signaling pathway"	"1.544"
"Natural killer cell mediated cytotoxicity"	"1.533"
"Measles"	"1.527"
"Phospholipase D signaling pathway"	"1.457"
"Signaling pathways regulating pluripotency of stem cells"	"1.452"
"Wnt signaling pathway"	"1.376"
"Hippo signaling pathway"	"1.323"
"Cellular senescence"	"1.264"
"cGMP-PKG signaling pathway"	"1.255"
"Kaposi's sarcoma-associated herpesvirus infection"	"1.104"
"Viral carcinogenesis"	"1.038"
"cAMP signaling pathway"	"1.032"
"Thermogenesis"	"0.872"
"D-Arginine and D-ornithine metabolism"	"-0.049"
"Lipoic acid metabolism"	"-0.072"
"Biotin metabolism"	"-0.077"
"Valine, leucine and isoleucine biosynthesis"	"-0.081"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.092"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.094"
