"Pathway"	"Z-score"
"Cytokine-cytokine receptor interaction - Homo sapiens (human)"	"21.951"
"Focal adhesion - Homo sapiens (human)"	"21.212"
"ECM-receptor interaction - Homo sapiens (human)"	"20.528"
"Chemokine signaling pathway - Homo sapiens (human)"	"20.482"
"Neuroactive ligand-receptor interaction - Homo sapiens (human)"	"18.766"
"Axon guidance - Homo sapiens (human)"	"18.195"
"Rap1 signaling pathway - Homo sapiens (human)"	"17.501"
"Taste transduction - Homo sapiens (human)"	"16.315"
"Regulation of actin cytoskeleton - Homo sapiens (human)"	"15.366"
"Phospholipase D signaling pathway - Homo sapiens (human)"	"14.215"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"13.972"
"Proteoglycans in cancer - Homo sapiens (human)"	"13.654"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"13.258"
"Natural killer cell mediated cytotoxicity - Homo sapiens (human)"	"13.008"
"Complement and coagulation cascades - Homo sapiens (human)"	"12.853"
"Ras signaling pathway - Homo sapiens (human)"	"12.799"
"Renal cell carcinoma - Homo sapiens (human)"	"12.382"
"ErbB signaling pathway - Homo sapiens (human)"	"11.7"
"Leukocyte transendothelial migration - Homo sapiens (human)"	"11.217"
"Pathways in cancer - Homo sapiens (human)"	"11.162"
"MicroRNAs in cancer - Homo sapiens (human)"	"11.11"
"Choline metabolism in cancer - Homo sapiens (human)"	"10.695"
"Fc epsilon RI signaling pathway - Homo sapiens (human)"	"10.603"
"Melanoma - Homo sapiens (human)"	"10.589"
"Relaxin signaling pathway - Homo sapiens (human)"	"10.464"
"Malaria - Homo sapiens (human)"	"10.452"
"VEGF signaling pathway - Homo sapiens (human)"	"10.397"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"9.785"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)"	"9.455"
"Human papillomavirus infection - Homo sapiens (human)"	"9.45"
"Bacterial invasion of epithelial cells - Homo sapiens (human)"	"9.12"
"Gastric cancer - Homo sapiens (human)"	"9.075"
"T cell receptor signaling pathway - Homo sapiens (human)"	"8.938"
"Glioma - Homo sapiens (human)"	"8.27"
"Fc gamma R-mediated phagocytosis - Homo sapiens (human)"	"8.254"
"Colorectal cancer - Homo sapiens (human)"	"8.178"
"Prolactin signaling pathway - Homo sapiens (human)"	"7.898"
"MAPK signaling pathway - Homo sapiens (human)"	"7.728"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"7.642"
"Platelet activation - Homo sapiens (human)"	"7.632"
"Chronic myeloid leukemia - Homo sapiens (human)"	"7.621"
"Prostate cancer - Homo sapiens (human)"	"7.477"
"Non-small cell lung cancer - Homo sapiens (human)"	"7.409"
"B cell receptor signaling pathway - Homo sapiens (human)"	"7.331"
"Pancreatic cancer - Homo sapiens (human)"	"7.307"
"Bladder cancer - Homo sapiens (human)"	"7.258"
"Breast cancer - Homo sapiens (human)"	"7.184"
"Amoebiasis - Homo sapiens (human)"	"7.161"
"cAMP signaling pathway - Homo sapiens (human)"	"7.124"
"Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)"	"7.02"
"Cholesterol metabolism - Homo sapiens (human)"	"6.683"
"Endometrial cancer - Homo sapiens (human)"	"6.59"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"6.569"
"Protein digestion and absorption - Homo sapiens (human)"	"6.523"
"Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)"	"6.33"
"Hepatitis B - Homo sapiens (human)"	"6.152"
"Sphingolipid signaling pathway - Homo sapiens (human)"	"6.131"
"Osteoclast differentiation - Homo sapiens (human)"	"5.985"
"FoxO signaling pathway - Homo sapiens (human)"	"5.963"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"5.775"
"Hepatocellular carcinoma - Homo sapiens (human)"	"5.734"
"Acute myeloid leukemia - Homo sapiens (human)"	"5.638"
"Cholinergic synapse - Homo sapiens (human)"	"5.553"
"Cell adhesion molecules (CAMs) - Homo sapiens (human)"	"5.306"
"Hypertrophic cardiomyopathy (HCM) - Homo sapiens (human)"	"5.134"
"Chagas disease (American trypanosomiasis) - Homo sapiens (human)"	"5.014"
"Regulation of lipolysis in adipocytes - Homo sapiens (human)"	"4.99"
"TNF signaling pathway - Homo sapiens (human)"	"4.93"
"Dilated cardiomyopathy (DCM) - Homo sapiens (human)"	"4.864"
"Intestinal immune network for IgA production - Homo sapiens (human)"	"4.837"
"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"	"4.79"
"Carbohydrate digestion and absorption - Homo sapiens (human)"	"4.649"
"Serotonergic synapse - Homo sapiens (human)"	"4.51"
"Toll-like receptor signaling pathway - Homo sapiens (human)"	"4.494"
"Aldosterone-regulated sodium reabsorption - Homo sapiens (human)"	"4.437"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)"	"4.416"
"Staphylococcus aureus infection - Homo sapiens (human)"	"4.312"
"Mannose type O-glycan biosynthesis - Homo sapiens (human)"	"4.311"
"Hepatitis C - Homo sapiens (human)"	"4.234"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"4.161"
"Type II diabetes mellitus - Homo sapiens (human)"	"4.127"
"Thyroid hormone signaling pathway - Homo sapiens (human)"	"4.117"
"Small cell lung cancer - Homo sapiens (human)"	"4.115"
"Rheumatoid arthritis - Homo sapiens (human)"	"3.725"
"Pertussis - Homo sapiens (human)"	"3.553"
"Adherens junction - Homo sapiens (human)"	"3.519"
"TGF-beta signaling pathway - Homo sapiens (human)"	"3.442"
"GnRH signaling pathway - Homo sapiens (human)"	"3.429"
"Vitamin digestion and absorption - Homo sapiens (human)"	"3.337"
"Shigellosis - Homo sapiens (human)"	"3.224"
"Phosphatidylinositol signaling system - Homo sapiens (human)"	"3.184"
"Hematopoietic cell lineage - Homo sapiens (human)"	"3.177"
"Inflammatory bowel disease (IBD) - Homo sapiens (human)"	"3.14"
"Insulin signaling pathway - Homo sapiens (human)"	"3.11"
"Cocaine addiction - Homo sapiens (human)"	"3.105"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"3.048"
"Renin-angiotensin system - Homo sapiens (human)"	"2.973"
"Longevity regulating pathway - Homo sapiens (human)"	"2.962"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"2.941"
"IL-17 signaling pathway - Homo sapiens (human)"	"2.899"
